ObjectName, MOS, LPIPS
bike_bakedUV2_simpL1_qp10_qt10_decompJPEG_712x712_Q50, 4.05, 0.315524
bike_bakedUV2_simpL1_qp10_qt6_decompJPEG_1440x1440_Q75, 2.92, 0.710365
bike_bakedUV2_simpL1_qp10_qt6_decompJPEG_1440x1440_Q90, 2.76, 0.710172
bike_bakedUV2_simpL1_qp11_qt10_decompJPEG_1024x1024_Q75, 4.67, 0.211480
bike_bakedUV2_simpL1_qp11_qt10_decompJPEG_2048x2048_Q90, 4.80, 0.179363
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_1024x1024_Q50, 2.66, 0.691492
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_1440x1440_Q50, 3.26, 0.696654
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_1440x1440_Q75, 2.84, 0.693354
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_1440x1440_Q90, 2.91, 0.693457
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_512x512_Q75, 3.12, 0.682904
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_712x712_Q25, 2.82, 0.699917
bike_bakedUV2_simpL1_qp11_qt6_decompJPEG_712x712_Q75, 2.68, 0.686242
bike_bakedUV2_simpL1_qp11_qt7_decompJPEG_1440x1440_Q90, 3.74, 0.416944
bike_bakedUV2_simpL1_qp8_qt6_decompJPEG_2048x2048_Q10, 2.31, 0.843418
bike_bakedUV2_simpL1_qp9_qt6_decompJPEG_1440x1440_Q75, 2.57, 0.748582
bike_bakedUV2_simpL2_qp10_qt6_decompJPEG_1440x1440_Q25, 3.17, 0.714787
bike_bakedUV2_simpL2_qp10_qt6_decompJPEG_1440x1440_Q90, 3.02, 0.719888
bike_bakedUV2_simpL2_qp11_qt10_decompJPEG_512x512_Q90, 3.95, 0.330995
bike_bakedUV2_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.04, 0.703306
bike_bakedUV2_simpL2_qp11_qt6_decompJPEG_1440x1440_Q90, 3.29, 0.703770
bike_bakedUV2_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 2.20, 0.850992
bike_bakedUV2_simpL3_qp10_qt10_decompJPEG_712x712_Q75, 4.40, 0.295819
bike_bakedUV2_simpL3_qp10_qt6_decompJPEG_1440x1440_Q75, 2.70, 0.717883
bike_bakedUV2_simpL3_qp10_qt6_decompJPEG_1440x1440_Q90, 3.07, 0.716312
bike_bakedUV2_simpL3_qp10_qt9_decompJPEG_2048x2048_Q90, 4.50, 0.235852
bike_bakedUV2_simpL3_qp10_qt9_decompJPEG_512x512_Q90, 3.91, 0.367218
bike_bakedUV2_simpL3_qp11_qt10_decompJPEG_512x512_Q90, 4.03, 0.340743
bike_bakedUV2_simpL3_qp11_qt10_decompJPEG_712x712_Q50, 4.20, 0.302264
bike_bakedUV2_simpL3_qp11_qt6_decompJPEG_1440x1440_Q90, 2.77, 0.708575
bike_bakedUV2_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 2.75, 0.696753
bike_bakedUV2_simpL3_qp11_qt9_decompJPEG_1440x1440_Q25, 4.58, 0.247499
bike_bakedUV2_simpL3_qp8_qt6_decompJPEG_512x512_Q25, 2.26, 0.857735
bike_bakedUV2_simpL3_qp9_qt6_decompJPEG_2048x2048_Q10, 2.71, 0.763018
bike_bakedUV2_simpL4_qp11_qt6_decompJPEG_1440x1440_Q75, 3.05, 0.709252
bike_bakedUV2_simpL4_qp11_qt9_decompJPEG_1024x1024_Q25, 3.98, 0.295711
bike_bakedUV2_simpL4_qp11_qt9_decompJPEG_2048x2048_Q90, 4.36, 0.225468
bike_bakedUV2_simpL4_qp8_qt6_decompJPEG_1024x1024_Q75, 2.31, 0.819076
bike_bakedUV2_simpL4_qp8_qt6_decompJPEG_1440x1440_Q75, 2.21, 0.821425
bike_bakedUV2_simpL4_qp8_qt6_decompJPEG_2048x2048_Q25, 2.10, 0.822994
bike_bakedUV2_simpL4_qp9_qt6_decompJPEG_1440x1440_Q10, 2.37, 0.764170
bike_bakedUV2_simpL4_qp9_qt6_decompJPEG_1440x1440_Q75, 2.70, 0.748492
bike_bakedUV2_simpL4_qp9_qt6_decompJPEG_1440x1440_Q90, 2.57, 0.748132
bike_bakedUV2_simpL4_qp9_qt6_decompJPEG_2048x2048_Q10, 2.39, 0.757926
bike_bakedUV2_simpL4_qp9_qt6_decompJPEG_512x512_Q25, 2.60, 0.774397
bike_bakedUV2_simpL5_qp11_qt6_decompJPEG_1440x1440_Q75, 2.88, 0.718478
bike_bakedUV2_simpL5_qp8_qt6_decompJPEG_2048x2048_Q10, 2.17, 0.847261
bike_bakedUV2_simpL5_qp8_qt6_decompJPEG_512x512_Q25, 2.04, 0.861819
bike_bakedUV2_simpL5_qp8_qt6_decompJPEG_512x512_Q75, 1.91, 0.842851
bike_bakedUV2_simpL5_qp8_qt6_decompJPEG_512x512_Q90, 2.23, 0.841039
bike_bakedUV2_simpL5_qp8_qt6_decompJPEG_712x712_Q90, 2.12, 0.840202
bike_bakedUV2_simpL5_qp9_qt6_decompJPEG_2048x2048_Q10, 2.56, 0.765383
bike_bakedUV2_simpL6_qp9_qt6_decompJPEG_1024x1024_Q25, 2.52, 0.761875
bike_bakedUV2_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 2.16, 0.815921
