ObjectName, MOS, LPIPS
statue_simpL1_qp10_qt6_decompJPEG_2048x2048_Q75, 1.45, 0.924004
statue_simpL1_qp10_qt6_decompJPEG_512x512_Q25, 1.64, 0.898431
statue_simpL1_qp11_qt6_decompJPEG_512x512_Q25, 1.51, 0.861219
statue_simpL1_qp8_qt8_decompJPEG_1024x1024_Q25, 2.14, 0.872326
statue_simpL1_qp9_qt6_decompJPEG_1440x1440_Q10, 1.43, 0.979358
statue_simpL2_qp10_qt6_decompJPEG_712x712_Q90, 1.59, 0.892934
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q10, 2.12, 0.883200
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q25, 2.44, 0.852211
statue_simpL2_qp8_qt8_decompJPEG_712x712_Q90, 2.36, 0.855402
statue_simpL2_qp9_qt6_decompJPEG_1024x1024_Q90, 1.60, 0.961292
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 1.49, 0.966248
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 1.54, 0.965753
statue_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 1.60, 0.887187
statue_simpL3_qp10_qt6_decompJPEG_712x712_Q10, 1.66, 0.922739
statue_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.83, 0.847429
statue_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.38, 0.966338
statue_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 1.44, 0.958161
statue_simpL4_qp10_qt6_decompJPEG_512x512_Q50, 1.57, 0.873343
statue_simpL4_qp11_qt6_decompJPEG_712x712_Q10, 1.37, 0.896428
statue_simpL4_qp8_qt10_decompJPEG_1024x1024_Q75, 2.39, 0.821925
statue_simpL4_qp8_qt8_decompJPEG_1024x1024_Q10, 2.26, 0.883131
statue_simpL4_qp9_qt6_decompJPEG_2048x2048_Q90, 1.26, 0.951948
statue_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.50, 0.947248
statue_simpL5_qp10_qt6_decompJPEG_1024x1024_Q50, 1.84, 0.883037
statue_simpL5_qp10_qt6_decompJPEG_1440x1440_Q50, 1.51, 0.893541
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q75, 1.35, 0.891680
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 1.52, 0.891739
statue_simpL5_qp10_qt6_decompJPEG_512x512_Q50, 1.84, 0.868741
statue_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.78, 0.408755
statue_simpL5_qp11_qt6_decompJPEG_1024x1024_Q50, 1.55, 0.866297
statue_simpL5_qp11_qt6_decompJPEG_1440x1440_Q50, 1.61, 0.877099
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q75, 1.41, 0.875514
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 1.58, 0.875526
statue_simpL5_qp11_qt6_decompJPEG_712x712_Q25, 1.51, 0.862491
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.26, 0.976796
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q75, 1.40, 0.978631
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.37, 0.977807
statue_simpL5_qp8_qt8_decompJPEG_1024x1024_Q90, 2.38, 0.846924
statue_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 2.52, 0.867934
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q25, 1.60, 0.951503
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 1.69, 0.950753
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 1.42, 0.948635
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.949242
statue_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.50, 0.963781
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.69, 0.800362
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q50, 2.71, 0.786768
statue_simpL6_qp8_qt6_decompJPEG_2048x2048_Q90, 1.34, 0.976173
statue_simpL7_qp11_qt6_decompJPEG_1440x1440_Q75, 1.57, 0.881205
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q50, 1.21, 0.968118
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q75, 1.16, 0.969965
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q90, 1.34, 0.969442
statue_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.972270
statue_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 3.40, 0.306639
