ObjectName, MOS, LPIPS
GoldenStatueModel_simpL1_qp10_qt6_decompJPEG_1440x1440_Q50, 3.36, 0.515545
GoldenStatueModel_simpL1_qp10_qt7_decompJPEG_1440x1440_Q10, 3.30, 0.454856
GoldenStatueModel_simpL1_qp10_qt7_decompJPEG_712x712_Q25, 3.33, 0.442388
GoldenStatueModel_simpL1_qp9_qt10_decompJPEG_512x512_Q10, 2.20, 0.792813
GoldenStatueModel_simpL1_qp9_qt6_decompJPEG_1024x1024_Q25, 2.41, 0.871298
GoldenStatueModel_simpL2_qp10_qt10_decompJPEG_2048x2048_Q50, 3.43, 0.362640
GoldenStatueModel_simpL2_qp10_qt7_decompJPEG_712x712_Q90, 3.50, 0.419290
GoldenStatueModel_simpL2_qp10_qt9_decompJPEG_1440x1440_Q75, 3.55, 0.363096
GoldenStatueModel_simpL2_qp11_qt10_decompJPEG_1440x1440_Q90, 4.43, 0.131347
GoldenStatueModel_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.55, 0.285520
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_1024x1024_Q25, 2.07, 0.851137
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_1024x1024_Q50, 2.29, 0.844944
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 2.55, 0.849237
GoldenStatueModel_simpL2_qp9_qt8_decompJPEG_1024x1024_Q75, 2.30, 0.754839
GoldenStatueModel_simpL3_qp9_qt10_decompJPEG_1440x1440_Q25, 2.25, 0.732138
GoldenStatueModel_simpL4_qp8_qt10_decompJPEG_2048x2048_Q10, 1.39, 0.948127
GoldenStatueModel_simpL4_qp8_qt9_decompJPEG_2048x2048_Q10, 1.33, 0.949059
GoldenStatueModel_simpL5_qp9_qt10_decompJPEG_712x712_Q10, 2.45, 0.740893
GoldenStatueModel_simpL6_qp10_qt8_decompJPEG_1024x1024_Q25, 3.38, 0.381725
GoldenStatueModel_simpL6_qp11_qt6_decompJPEG_512x512_Q50, 3.89, 0.287473
GoldenStatueModel_simpL6_qp7_qt10_decompJPEG_712x712_Q10, 1.16, 0.995855
GoldenStatueModel_simpL6_qp8_qt10_decompJPEG_2048x2048_Q10, 1.51, 0.944892
GoldenStatueModel_simpL6_qp8_qt10_decompJPEG_512x512_Q10, 1.73, 0.962488
GoldenStatueModel_simpL6_qp8_qt6_decompJPEG_512x512_Q10, 1.63, 0.981923
GoldenStatueModel_simpL6_qp8_qt7_decompJPEG_512x512_Q10, 1.67, 0.974139
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_1024x1024_Q90, 2.65, 0.800052
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_1440x1440_Q25, 2.51, 0.805035
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_712x712_Q10, 2.55, 0.798732
GoldenStatueModel_simpL7_qp7_qt6_decompJPEG_1024x1024_Q10, 1.00, 0.999873
GoldenStatueModel_simpL7_qp8_qt10_decompJPEG_2048x2048_Q10, 1.79, 0.950732
GoldenStatueModel_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 1.56, 0.953074
GoldenStatueModel_simpL7_qp9_qt10_decompJPEG_512x512_Q10, 2.58, 0.717428
GoldenStatueModel_simpL7_qp9_qt7_decompJPEG_512x512_Q90, 2.64, 0.710729
GoldenStatueModel_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 2.86, 0.718211
GoldenStatueModel_simpL8_qp10_qt6_decompJPEG_1440x1440_Q10, 3.52, 0.465093
GoldenStatueModel_simpL8_qp9_qt8_decompJPEG_512x512_Q10, 3.02, 0.677162
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_1024x1024_Q75, 1.19, 0.996847
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q10, 1.13, 0.997801
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q50, 1.16, 0.997722
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q75, 1.18, 0.996949
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_712x712_Q25, 1.28, 0.997544
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1024x1024_Q25, 1.20, 0.998112
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1024x1024_Q50, 1.10, 0.998112
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1440x1440_Q10, 1.14, 0.997825
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1440x1440_Q25, 1.14, 0.998198
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_2048x2048_Q25, 1.14, 0.998240
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_512x512_Q25, 1.25, 0.998230
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_512x512_Q90, 1.14, 0.998132
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_712x712_Q10, 1.16, 0.998036
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_712x712_Q50, 1.07, 0.998417
GoldenStatueModel_simpL9_qp7_qt9_decompJPEG_512x512_Q10, 1.07, 0.997646
GoldenStatueModel_simpL9_qp7_qt9_decompJPEG_712x712_Q10, 1.16, 0.997360
GoldenStatueModel_simpL9_qp8_qt8_decompJPEG_2048x2048_Q90, 2.20, 0.903924
