ObjectName, MOS, LPIPS
Beethoven_bakedUV2_simpL10_qp10_qt10_decompJPEG_512x512_Q10, 1.70, 0.728082
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q50, 1.40, 0.712954
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q90, 1.31, 0.708751
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1440x1440_Q90, 1.34, 0.709353
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q75, 1.33, 0.707796
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q90, 1.20, 0.706537
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_512x512_Q10, 1.33, 0.761172
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q10, 1.38, 0.760549
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q25, 1.39, 0.718907
Beethoven_bakedUV2_simpL10_qp10_qt9_decompJPEG_512x512_Q10, 1.57, 0.728260
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_512x512_Q10, 1.43, 0.763385
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q10, 1.26, 0.755864
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q25, 1.36, 0.718562
Beethoven_bakedUV2_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 1.32, 0.735266
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_1024x1024_Q10, 1.31, 0.818816
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q10, 1.23, 0.809712
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q50, 1.37, 0.795341
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_512x512_Q10, 1.43, 0.850291
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_712x712_Q10, 1.21, 0.840786
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_512x512_Q10, 1.50, 0.781387
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_512x512_Q50, 1.51, 0.754388
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_712x712_Q10, 1.38, 0.781894
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_712x712_Q25, 1.46, 0.751283
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_512x512_Q10, 1.27, 0.778267
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_712x712_Q10, 1.41, 0.766405
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 1.21, 0.729644
Beethoven_bakedUV2_simpL1_qp9_qt10_decompJPEG_2048x2048_Q90, 2.90, 0.665377
Beethoven_bakedUV2_simpL1_qp9_qt10_decompJPEG_512x512_Q75, 2.86, 0.684259
Beethoven_bakedUV2_simpL1_qp9_qt7_decompJPEG_1440x1440_Q50, 2.56, 0.791941
Beethoven_bakedUV2_simpL2_qp10_qt7_decompJPEG_512x512_Q90, 3.28, 0.487633
Beethoven_bakedUV2_simpL2_qp8_qt8_decompJPEG_1024x1024_Q25, 1.64, 0.882637
Beethoven_bakedUV2_simpL2_qp9_qt8_decompJPEG_712x712_Q75, 2.81, 0.719425
Beethoven_bakedUV2_simpL2_qp9_qt9_decompJPEG_512x512_Q75, 2.88, 0.694771
Beethoven_bakedUV2_simpL3_qp9_qt9_decompJPEG_512x512_Q75, 2.85, 0.685521
Beethoven_bakedUV2_simpL4_qp8_qt8_decompJPEG_1024x1024_Q25, 1.84, 0.877767
Beethoven_bakedUV2_simpL4_qp9_qt6_decompJPEG_1024x1024_Q75, 2.18, 0.870964
Beethoven_bakedUV2_simpL4_qp9_qt9_decompJPEG_512x512_Q50, 3.10, 0.686086
Beethoven_bakedUV2_simpL4_qp9_qt9_decompJPEG_512x512_Q75, 2.88, 0.676077
Beethoven_bakedUV2_simpL5_qp11_qt6_decompJPEG_2048x2048_Q10, 2.26, 0.530050
Beethoven_bakedUV2_simpL5_qp8_qt8_decompJPEG_712x712_Q10, 1.80, 0.905148
Beethoven_bakedUV2_simpL5_qp8_qt9_decompJPEG_1440x1440_Q10, 1.91, 0.876521
Beethoven_bakedUV2_simpL6_qp8_qt8_decompJPEG_1024x1024_Q50, 1.60, 0.870157
Beethoven_bakedUV2_simpL6_qp9_qt6_decompJPEG_2048x2048_Q90, 1.80, 0.858572
Beethoven_bakedUV2_simpL7_qp11_qt6_decompJPEG_2048x2048_Q50, 1.91, 0.514627
Beethoven_bakedUV2_simpL7_qp11_qt6_decompJPEG_2048x2048_Q90, 2.18, 0.521334
Beethoven_bakedUV2_simpL7_qp8_qt8_decompJPEG_512x512_Q90, 1.88, 0.877561
Beethoven_bakedUV2_simpL8_qp10_qt6_decompJPEG_1024x1024_Q10, 2.02, 0.615881
Beethoven_bakedUV2_simpL8_qp11_qt10_decompJPEG_2048x2048_Q25, 4.31, 0.124067
Beethoven_bakedUV2_simpL8_qp8_qt6_decompJPEG_2048x2048_Q50, 1.39, 0.931784
Beethoven_bakedUV2_simpL8_qp9_qt8_decompJPEG_712x712_Q50, 3.16, 0.594126
Beethoven_bakedUV2_simpL9_qp10_qt6_decompJPEG_1440x1440_Q25, 2.05, 0.563772
Beethoven_bakedUV2_simpL9_qp7_qt10_decompJPEG_512x512_Q10, 1.21, 0.934695
Beethoven_bakedUV2_simpL9_qp8_qt7_decompJPEG_712x712_Q90, 2.12, 0.796364
