ObjectName, MOS, LPIPS
statue_simpL1_qp10_qt6_decompJPEG_2048x2048_Q75, 1.45, 0.922996
statue_simpL1_qp10_qt6_decompJPEG_512x512_Q25, 1.64, 0.889665
statue_simpL1_qp11_qt6_decompJPEG_512x512_Q25, 1.51, 0.863098
statue_simpL1_qp8_qt8_decompJPEG_1024x1024_Q25, 2.14, 0.777500
statue_simpL1_qp9_qt6_decompJPEG_1440x1440_Q10, 1.43, 0.973123
statue_simpL2_qp10_qt6_decompJPEG_712x712_Q90, 1.59, 0.894296
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q10, 2.12, 0.795234
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q25, 2.44, 0.765869
statue_simpL2_qp8_qt8_decompJPEG_712x712_Q90, 2.36, 0.769581
statue_simpL2_qp9_qt6_decompJPEG_1024x1024_Q90, 1.60, 0.954717
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 1.49, 0.959772
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 1.54, 0.958850
statue_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 1.60, 0.875456
statue_simpL3_qp10_qt6_decompJPEG_712x712_Q10, 1.66, 0.910062
statue_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.83, 0.848686
statue_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.38, 0.958836
statue_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 1.44, 0.948216
statue_simpL4_qp10_qt6_decompJPEG_512x512_Q50, 1.57, 0.862686
statue_simpL4_qp11_qt6_decompJPEG_712x712_Q10, 1.37, 0.891024
statue_simpL4_qp8_qt10_decompJPEG_1024x1024_Q75, 2.39, 0.728039
statue_simpL4_qp8_qt8_decompJPEG_1024x1024_Q10, 2.26, 0.790464
statue_simpL4_qp9_qt6_decompJPEG_2048x2048_Q90, 1.26, 0.946339
statue_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.50, 0.936660
statue_simpL5_qp10_qt6_decompJPEG_1024x1024_Q50, 1.84, 0.881860
statue_simpL5_qp10_qt6_decompJPEG_1440x1440_Q50, 1.51, 0.892551
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q75, 1.35, 0.895551
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 1.52, 0.895177
statue_simpL5_qp10_qt6_decompJPEG_512x512_Q50, 1.84, 0.857354
statue_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.78, 0.343645
statue_simpL5_qp11_qt6_decompJPEG_1024x1024_Q50, 1.55, 0.871935
statue_simpL5_qp11_qt6_decompJPEG_1440x1440_Q50, 1.61, 0.884901
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q75, 1.41, 0.888628
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 1.58, 0.888427
statue_simpL5_qp11_qt6_decompJPEG_712x712_Q25, 1.51, 0.864638
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.26, 0.983273
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q75, 1.40, 0.984337
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.37, 0.983556
statue_simpL5_qp8_qt8_decompJPEG_1024x1024_Q90, 2.38, 0.745784
statue_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 2.52, 0.768007
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q25, 1.60, 0.944574
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 1.69, 0.944706
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 1.42, 0.942311
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.942624
statue_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.50, 0.945384
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.69, 0.705977
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q50, 2.71, 0.691936
statue_simpL6_qp8_qt6_decompJPEG_2048x2048_Q90, 1.34, 0.980970
statue_simpL7_qp11_qt6_decompJPEG_1440x1440_Q75, 1.57, 0.878098
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q50, 1.21, 0.966341
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q75, 1.16, 0.970681
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q90, 1.34, 0.969421
statue_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.972757
statue_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 3.40, 0.278124
