ObjectName, MOS, LPIPS
Graphosoma_simpL10_qp11_qt7_decompJPEG_1024x1024_Q50, 4.16, 0.539413
Graphosoma_simpL10_qp11_qt8_decompJPEG_712x712_Q10, 3.91, 0.573497
Graphosoma_simpL10_qp7_qt6_decompJPEG_1024x1024_Q50, 4.07, 0.589522
Graphosoma_simpL10_qp8_qt6_decompJPEG_512x512_Q50, 4.05, 0.597624
Graphosoma_simpL10_qp9_qt6_decompJPEG_1440x1440_Q25, 3.93, 0.589396
Graphosoma_simpL10_qp9_qt6_decompJPEG_2048x2048_Q10, 4.12, 0.597411
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q10, 3.72, 0.654498
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q25, 4.05, 0.610193
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 4.00, 0.606636
Graphosoma_simpL10_qp9_qt7_decompJPEG_1024x1024_Q90, 3.93, 0.548481
Graphosoma_simpL10_qp9_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.551328
Graphosoma_simpL10_qp9_qt7_decompJPEG_2048x2048_Q75, 4.19, 0.549237
Graphosoma_simpL10_qp9_qt7_decompJPEG_512x512_Q10, 3.67, 0.614014
Graphosoma_simpL10_qp9_qt8_decompJPEG_712x712_Q10, 3.73, 0.581186
Graphosoma_simpL1_qp7_qt6_decompJPEG_1024x1024_Q50, 1.14, 0.995147
Graphosoma_simpL1_qp7_qt6_decompJPEG_1024x1024_Q90, 1.17, 0.994701
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q10, 1.36, 0.993463
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q50, 1.14, 0.994205
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q75, 1.29, 0.994136
Graphosoma_simpL1_qp8_qt7_decompJPEG_712x712_Q90, 2.48, 0.912698
Graphosoma_simpL1_qp8_qt8_decompJPEG_712x712_Q50, 2.45, 0.899040
Graphosoma_simpL2_qp7_qt6_decompJPEG_1024x1024_Q50, 1.43, 0.996117
Graphosoma_simpL2_qp8_qt9_decompJPEG_1440x1440_Q50, 2.57, 0.892377
Graphosoma_simpL3_qp11_qt6_decompJPEG_1024x1024_Q25, 3.00, 0.313551
Graphosoma_simpL3_qp8_qt10_decompJPEG_2048x2048_Q75, 2.77, 0.871129
Graphosoma_simpL3_qp8_qt10_decompJPEG_512x512_Q90, 2.67, 0.862352
Graphosoma_simpL3_qp8_qt10_decompJPEG_712x712_Q90, 2.91, 0.865051
Graphosoma_simpL4_qp7_qt10_decompJPEG_2048x2048_Q25, 1.20, 0.988209
Graphosoma_simpL4_qp8_qt10_decompJPEG_1440x1440_Q25, 2.81, 0.829649
Graphosoma_simpL5_qp10_qt6_decompJPEG_2048x2048_Q50, 2.76, 0.343545
Graphosoma_simpL5_qp11_qt7_decompJPEG_2048x2048_Q90, 3.86, 0.128722
Graphosoma_simpL5_qp8_qt6_decompJPEG_512x512_Q50, 2.21, 0.860266
Graphosoma_simpL6_qp11_qt6_decompJPEG_1440x1440_Q25, 2.98, 0.297794
Graphosoma_simpL6_qp11_qt6_decompJPEG_712x712_Q50, 3.30, 0.289412
Graphosoma_simpL6_qp7_qt6_decompJPEG_2048x2048_Q25, 1.30, 0.995177
Graphosoma_simpL7_qp8_qt10_decompJPEG_1440x1440_Q50, 3.12, 0.615455
Graphosoma_simpL7_qp8_qt6_decompJPEG_1024x1024_Q25, 2.53, 0.729471
Graphosoma_simpL7_qp8_qt9_decompJPEG_1024x1024_Q90, 3.07, 0.612179
Graphosoma_simpL8_qp10_qt6_decompJPEG_2048x2048_Q75, 3.20, 0.304803
Graphosoma_simpL9_qp10_qt6_decompJPEG_1024x1024_Q75, 3.45, 0.285799
Graphosoma_simpL9_qp10_qt6_decompJPEG_1440x1440_Q50, 3.28, 0.286569
Graphosoma_simpL9_qp10_qt8_decompJPEG_1440x1440_Q75, 4.43, 0.133370
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q25, 3.64, 0.287439
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q50, 3.36, 0.284643
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q75, 3.39, 0.285852
Graphosoma_simpL9_qp11_qt6_decompJPEG_2048x2048_Q10, 3.15, 0.295995
Graphosoma_simpL9_qp11_qt6_decompJPEG_2048x2048_Q75, 3.45, 0.286875
Graphosoma_simpL9_qp11_qt6_decompJPEG_512x512_Q90, 3.47, 0.277492
Graphosoma_simpL9_qp7_qt6_decompJPEG_1440x1440_Q10, 1.92, 0.821893
Graphosoma_simpL9_qp8_qt6_decompJPEG_1440x1440_Q50, 2.88, 0.445927
Graphosoma_simpL9_qp9_qt6_decompJPEG_2048x2048_Q10, 3.40, 0.333387
Graphosoma_simpL9_qp9_qt6_decompJPEG_712x712_Q10, 3.17, 0.349651
Graphosoma_simpL9_qp9_qt7_decompJPEG_1024x1024_Q75, 4.23, 0.221954
