ObjectName, MOS, LPIPS
ET26_L_MK1_simpL10_qp10_qt6_decompJPEG_1440x1440_Q90, 3.93, 0.454893
ET26_L_MK1_simpL10_qp10_qt6_decompJPEG_512x512_Q90, 4.05, 0.459870
ET26_L_MK1_simpL10_qp10_qt6_decompJPEG_712x712_Q50, 4.00, 0.459280
ET26_L_MK1_simpL10_qp10_qt6_decompJPEG_712x712_Q75, 3.98, 0.454802
ET26_L_MK1_simpL10_qp10_qt6_decompJPEG_712x712_Q90, 3.98, 0.453228
ET26_L_MK1_simpL10_qp10_qt7_decompJPEG_1440x1440_Q25, 4.30, 0.281034
ET26_L_MK1_simpL10_qp10_qt7_decompJPEG_1440x1440_Q75, 4.16, 0.277218
ET26_L_MK1_simpL10_qp10_qt7_decompJPEG_1440x1440_Q90, 4.30, 0.276340
ET26_L_MK1_simpL10_qp11_qt10_decompJPEG_1440x1440_Q90, 4.51, 0.105672
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_1440x1440_Q50, 3.76, 0.457017
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_1440x1440_Q75, 3.83, 0.454798
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_1440x1440_Q90, 3.84, 0.455456
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_512x512_Q90, 4.05, 0.459062
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_712x712_Q50, 3.63, 0.459832
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_712x712_Q75, 4.02, 0.454969
ET26_L_MK1_simpL10_qp11_qt6_decompJPEG_712x712_Q90, 3.92, 0.453597
ET26_L_MK1_simpL10_qp11_qt7_decompJPEG_1440x1440_Q50, 4.36, 0.277049
ET26_L_MK1_simpL10_qp11_qt7_decompJPEG_1440x1440_Q75, 4.48, 0.275643
ET26_L_MK1_simpL10_qp11_qt7_decompJPEG_1440x1440_Q90, 3.95, 0.275082
ET26_L_MK1_simpL10_qp11_qt7_decompJPEG_2048x2048_Q10, 4.22, 0.294386
ET26_L_MK1_simpL10_qp11_qt7_decompJPEG_712x712_Q90, 4.34, 0.272769
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_1440x1440_Q25, 3.48, 0.476533
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_1440x1440_Q75, 3.61, 0.473505
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_1440x1440_Q90, 3.62, 0.473668
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_2048x2048_Q50, 3.52, 0.473260
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_512x512_Q75, 3.84, 0.485508
ET26_L_MK1_simpL10_qp8_qt6_decompJPEG_712x712_Q50, 3.64, 0.478358
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_1440x1440_Q25, 4.05, 0.309582
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_1440x1440_Q50, 4.00, 0.307821
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_1440x1440_Q75, 4.02, 0.305873
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_1440x1440_Q90, 4.26, 0.305369
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_2048x2048_Q75, 4.08, 0.303294
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_512x512_Q90, 4.33, 0.307307
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_712x712_Q50, 4.20, 0.312183
ET26_L_MK1_simpL10_qp8_qt7_decompJPEG_712x712_Q75, 4.25, 0.305347
ET26_L_MK1_simpL10_qp9_qt6_decompJPEG_712x712_Q50, 3.81, 0.468564
ET26_L_MK1_simpL10_qp9_qt7_decompJPEG_1024x1024_Q50, 4.00, 0.291695
ET26_L_MK1_simpL10_qp9_qt7_decompJPEG_1440x1440_Q50, 4.27, 0.288335
ET26_L_MK1_simpL10_qp9_qt7_decompJPEG_1440x1440_Q75, 4.37, 0.286513
ET26_L_MK1_simpL10_qp9_qt7_decompJPEG_712x712_Q50, 4.16, 0.294643
ET26_L_MK1_simpL10_qp9_qt7_decompJPEG_712x712_Q75, 4.26, 0.287766
ET26_L_MK1_simpL10_qp9_qt9_decompJPEG_1024x1024_Q50, 4.19, 0.144988
ET26_L_MK1_simpL1_qp10_qt8_decompJPEG_712x712_Q25, 4.07, 0.170879
ET26_L_MK1_simpL1_qp10_qt9_decompJPEG_512x512_Q25, 4.19, 0.168355
ET26_L_MK1_simpL1_qp9_qt8_decompJPEG_512x512_Q25, 3.43, 0.295400
ET26_L_MK1_simpL1_qp9_qt9_decompJPEG_512x512_Q25, 3.48, 0.249385
ET26_L_MK1_simpL2_qp9_qt10_decompJPEG_512x512_Q25, 3.95, 0.238018
ET26_L_MK1_simpL2_qp9_qt8_decompJPEG_1024x1024_Q50, 3.70, 0.231643
ET26_L_MK1_simpL2_qp9_qt8_decompJPEG_512x512_Q25, 3.25, 0.293257
ET26_L_MK1_simpL2_qp9_qt8_decompJPEG_512x512_Q90, 3.62, 0.230932
ET26_L_MK1_simpL2_qp9_qt9_decompJPEG_512x512_Q25, 3.72, 0.247349
ET26_L_MK1_simpL3_qp10_qt10_decompJPEG_512x512_Q25, 4.40, 0.154575
ET26_L_MK1_simpL3_qp9_qt10_decompJPEG_512x512_Q25, 3.98, 0.235950
ET26_L_MK1_simpL4_qp9_qt9_decompJPEG_512x512_Q25, 3.70, 0.249799
ET26_L_MK1_simpL6_qp9_qt10_decompJPEG_512x512_Q25, 3.95, 0.233259
