ObjectName, MOS, LPIPS
SitzenderKnabeNC_simpL10_qp10_qt6_decompJPEG_2048x2048_Q25, 1.64, 0.690679
SitzenderKnabeNC_simpL10_qp11_qt6_decompJPEG_1440x1440_Q25, 1.81, 0.701582
SitzenderKnabeNC_simpL10_qp8_qt6_decompJPEG_1024x1024_Q75, 1.86, 0.710864
SitzenderKnabeNC_simpL10_qp8_qt8_decompJPEG_712x712_Q75, 1.90, 0.658255
SitzenderKnabeNC_simpL10_qp9_qt10_decompJPEG_2048x2048_Q25, 2.11, 0.564357
SitzenderKnabeNC_simpL1_qp10_qt7_decompJPEG_1440x1440_Q50, 3.33, 0.348646
SitzenderKnabeNC_simpL1_qp10_qt7_decompJPEG_2048x2048_Q50, 3.33, 0.351579
SitzenderKnabeNC_simpL1_qp11_qt10_decompJPEG_1024x1024_Q10, 4.40, 0.248504
SitzenderKnabeNC_simpL1_qp11_qt7_decompJPEG_1440x1440_Q25, 3.42, 0.324036
SitzenderKnabeNC_simpL1_qp11_qt7_decompJPEG_2048x2048_Q90, 3.36, 0.326446
SitzenderKnabeNC_simpL2_qp8_qt8_decompJPEG_2048x2048_Q10, 2.14, 0.515692
SitzenderKnabeNC_simpL3_qp10_qt10_decompJPEG_1440x1440_Q10, 4.37, 0.225817
SitzenderKnabeNC_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 2.60, 0.477440
SitzenderKnabeNC_simpL3_qp10_qt7_decompJPEG_1440x1440_Q75, 3.27, 0.334335
SitzenderKnabeNC_simpL3_qp11_qt10_decompJPEG_1440x1440_Q25, 4.48, 0.102423
SitzenderKnabeNC_simpL3_qp11_qt10_decompJPEG_712x712_Q10, 3.98, 0.309388
SitzenderKnabeNC_simpL3_qp11_qt6_decompJPEG_512x512_Q50, 2.58, 0.459077
SitzenderKnabeNC_simpL3_qp8_qt8_decompJPEG_512x512_Q90, 2.05, 0.469105
SitzenderKnabeNC_simpL3_qp8_qt9_decompJPEG_512x512_Q75, 2.47, 0.467619
SitzenderKnabeNC_simpL3_qp9_qt6_decompJPEG_512x512_Q50, 2.81, 0.538259
SitzenderKnabeNC_simpL4_qp10_qt6_decompJPEG_712x712_Q25, 2.51, 0.482802
SitzenderKnabeNC_simpL4_qp11_qt10_decompJPEG_1024x1024_Q10, 4.16, 0.245719
SitzenderKnabeNC_simpL4_qp11_qt10_decompJPEG_712x712_Q10, 4.00, 0.310046
SitzenderKnabeNC_simpL4_qp11_qt8_decompJPEG_1024x1024_Q10, 4.30, 0.272473
SitzenderKnabeNC_simpL4_qp11_qt8_decompJPEG_712x712_Q10, 3.90, 0.316767
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_1024x1024_Q10, 3.89, 0.246862
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_512x512_Q10, 3.53, 0.369560
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_712x712_Q10, 3.76, 0.311862
SitzenderKnabeNC_simpL5_qp11_qt9_decompJPEG_1024x1024_Q10, 4.10, 0.252112
SitzenderKnabeNC_simpL5_qp8_qt8_decompJPEG_2048x2048_Q50, 2.89, 0.460533
SitzenderKnabeNC_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 2.02, 0.540068
