ObjectName, MOS, LPIPS
bear_simpL10_qp10_qt8_decompJPEG_1024x1024_Q25, 2.21, 0.514811
bear_simpL10_qp11_qt10_decompJPEG_1440x1440_Q50, 2.05, 0.468486
bear_simpL10_qp11_qt8_decompJPEG_2048x2048_Q25, 2.16, 0.482299
bear_simpL10_qp7_qt10_decompJPEG_1024x1024_Q75, 2.12, 0.549209
bear_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 2.14, 0.541824
bear_simpL1_qp10_qt6_decompJPEG_1440x1440_Q10, 2.55, 0.456404
bear_simpL1_qp11_qt10_decompJPEG_712x712_Q50, 4.72, 0.136109
bear_simpL1_qp8_qt6_decompJPEG_2048x2048_Q10, 1.30, 0.778596
bear_simpL2_qp10_qt7_decompJPEG_1024x1024_Q10, 3.86, 0.363479
bear_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.43, 0.782974
bear_simpL2_qp8_qt6_decompJPEG_512x512_Q25, 1.42, 0.774133
bear_simpL2_qp9_qt8_decompJPEG_2048x2048_Q50, 3.10, 0.541136
bear_simpL3_qp7_qt6_decompJPEG_1024x1024_Q25, 1.05, 0.907151
bear_simpL4_qp11_qt7_decompJPEG_512x512_Q90, 3.52, 0.213477
bear_simpL4_qp9_qt9_decompJPEG_1024x1024_Q10, 2.95, 0.537132
bear_simpL5_qp11_qt10_decompJPEG_512x512_Q25, 4.19, 0.192487
bear_simpL5_qp7_qt9_decompJPEG_2048x2048_Q75, 1.07, 0.851128
bear_simpL5_qp9_qt8_decompJPEG_1024x1024_Q10, 3.14, 0.521421
bear_simpL5_qp9_qt9_decompJPEG_1440x1440_Q10, 3.09, 0.510022
bear_simpL5_qp9_qt9_decompJPEG_712x712_Q10, 3.05, 0.528976
bear_simpL6_qp10_qt10_decompJPEG_512x512_Q10, 4.26, 0.334330
bear_simpL6_qp11_qt10_decompJPEG_512x512_Q50, 4.09, 0.165295
bear_simpL6_qp11_qt10_decompJPEG_712x712_Q50, 4.51, 0.128475
bear_simpL6_qp7_qt6_decompJPEG_512x512_Q50, 1.09, 0.891407
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 3.05, 0.516061
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q90, 3.27, 0.515726
bear_simpL6_qp9_qt8_decompJPEG_1024x1024_Q25, 3.05, 0.485934
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q50, 4.15, 0.167144
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q75, 4.48, 0.144648
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q90, 4.29, 0.125436
bear_simpL7_qp11_qt9_decompJPEG_512x512_Q50, 4.15, 0.164262
bear_simpL7_qp9_qt10_decompJPEG_512x512_Q75, 3.37, 0.461734
bear_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 3.36, 0.503049
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q50, 4.21, 0.240255
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q75, 4.34, 0.226253
bear_simpL8_qp10_qt8_decompJPEG_512x512_Q25, 3.98, 0.257374
bear_simpL8_qp10_qt9_decompJPEG_512x512_Q50, 4.07, 0.238835
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q50, 4.19, 0.164456
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.27, 0.144258
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q90, 4.39, 0.121393
bear_simpL8_qp11_qt10_decompJPEG_712x712_Q75, 4.62, 0.105349
bear_simpL8_qp11_qt7_decompJPEG_1024x1024_Q10, 3.91, 0.214902
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q50, 4.23, 0.162418
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q75, 4.15, 0.144261
bear_simpL8_qp11_qt9_decompJPEG_712x712_Q25, 4.55, 0.151387
bear_simpL8_qp9_qt6_decompJPEG_1024x1024_Q90, 2.69, 0.509492
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q75, 4.10, 0.402782
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q90, 3.86, 0.402513
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q25, 4.29, 0.227742
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 4.14, 0.195299
bear_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 4.14, 0.164739
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q10, 3.32, 0.262807
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q50, 3.80, 0.186082
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q75, 4.07, 0.165875
bear_simpL9_qp8_qt10_decompJPEG_512x512_Q50, 2.48, 0.643710
bear_simpL9_qp8_qt9_decompJPEG_512x512_Q10, 1.93, 0.673257
bear_simpL9_qp9_qt10_decompJPEG_512x512_Q90, 3.79, 0.341029
bear_simpL9_qp9_qt9_decompJPEG_2048x2048_Q75, 4.32, 0.312905
bear_simpL9_qp9_qt9_decompJPEG_512x512_Q25, 3.77, 0.385571
bear_simpL9_qp9_qt9_decompJPEG_712x712_Q50, 4.16, 0.343640
