ObjectName, MOS, LPIPS
bronzeCat_simpL10_qp10_qt10_decompJPEG_1024x1024_Q50, 2.80, 0.450805
bronzeCat_simpL10_qp10_qt10_decompJPEG_1440x1440_Q50, 2.71, 0.430861
bronzeCat_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90, 2.71, 0.414022
bronzeCat_simpL10_qp10_qt7_decompJPEG_2048x2048_Q50, 2.64, 0.514187
bronzeCat_simpL10_qp10_qt8_decompJPEG_2048x2048_Q50, 2.98, 0.464675
bronzeCat_simpL10_qp11_qt9_decompJPEG_1024x1024_Q25, 2.38, 0.501133
bronzeCat_simpL10_qp8_qt10_decompJPEG_1440x1440_Q90, 2.67, 0.466643
bronzeCat_simpL10_qp8_qt10_decompJPEG_2048x2048_Q90, 2.74, 0.464997
bronzeCat_simpL10_qp8_qt7_decompJPEG_2048x2048_Q90, 2.54, 0.536676
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q75, 2.93, 0.515747
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q90, 2.73, 0.507102
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q25, 2.76, 0.513832
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q75, 2.66, 0.501025
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q90, 2.80, 0.496915
bronzeCat_simpL10_qp8_qt9_decompJPEG_2048x2048_Q25, 2.74, 0.489045
bronzeCat_simpL10_qp9_qt7_decompJPEG_1440x1440_Q25, 2.36, 0.548689
bronzeCat_simpL10_qp9_qt7_decompJPEG_2048x2048_Q25, 2.60, 0.539014
bronzeCat_simpL10_qp9_qt8_decompJPEG_2048x2048_Q25, 2.70, 0.495148
bronzeCat_simpL10_qp9_qt9_decompJPEG_1440x1440_Q25, 3.00, 0.483698
bronzeCat_simpL10_qp9_qt9_decompJPEG_2048x2048_Q25, 2.79, 0.466538
bronzeCat_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.49, 0.239466
bronzeCat_simpL1_qp10_qt8_decompJPEG_1024x1024_Q10, 3.93, 0.493804
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q50, 4.09, 0.434031
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q75, 4.00, 0.404659
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q90, 4.29, 0.377036
bronzeCat_simpL1_qp10_qt9_decompJPEG_1440x1440_Q50, 4.39, 0.259401
bronzeCat_simpL1_qp10_qt9_decompJPEG_2048x2048_Q10, 4.02, 0.379108
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q50, 4.41, 0.394306
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q90, 4.34, 0.314115
bronzeCat_simpL1_qp11_qt9_decompJPEG_512x512_Q75, 4.50, 0.219558
bronzeCat_simpL1_qp11_qt9_decompJPEG_712x712_Q90, 4.69, 0.118191
bronzeCat_simpL2_qp10_qt10_decompJPEG_2048x2048_Q10, 4.33, 0.358057
bronzeCat_simpL2_qp10_qt7_decompJPEG_2048x2048_Q50, 2.70, 0.584897
bronzeCat_simpL2_qp10_qt8_decompJPEG_512x512_Q50, 3.93, 0.427038
bronzeCat_simpL2_qp10_qt9_decompJPEG_1024x1024_Q10, 3.40, 0.439332
bronzeCat_simpL2_qp10_qt9_decompJPEG_2048x2048_Q10, 4.05, 0.373580
bronzeCat_simpL2_qp10_qt9_decompJPEG_512x512_Q90, 4.22, 0.307957
bronzeCat_simpL2_qp11_qt10_decompJPEG_2048x2048_Q10, 4.36, 0.244487
bronzeCat_simpL2_qp9_qt9_decompJPEG_512x512_Q75, 3.14, 0.787889
bronzeCat_simpL3_qp10_qt8_decompJPEG_2048x2048_Q50, 4.05, 0.368344
bronzeCat_simpL3_qp11_qt9_decompJPEG_2048x2048_Q10, 4.23, 0.259673
bronzeCat_simpL3_qp8_qt7_decompJPEG_1440x1440_Q75, 1.50, 0.944975
bronzeCat_simpL4_qp10_qt7_decompJPEG_2048x2048_Q10, 2.50, 0.632392
bronzeCat_simpL5_qp11_qt9_decompJPEG_2048x2048_Q10, 4.37, 0.260450
bronzeCat_simpL5_qp9_qt10_decompJPEG_2048x2048_Q50, 3.21, 0.656129
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q75, 3.30, 0.674226
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q90, 3.05, 0.660961
bronzeCat_simpL6_qp9_qt9_decompJPEG_2048x2048_Q90, 3.45, 0.645769
bronzeCat_simpL7_qp9_qt10_decompJPEG_512x512_Q90, 3.12, 0.635783
bronzeCat_simpL7_qp9_qt8_decompJPEG_1024x1024_Q75, 3.30, 0.639429
bronzeCat_simpL8_qp10_qt7_decompJPEG_1440x1440_Q50, 3.30, 0.451630
bronzeCat_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.23, 0.230515
bronzeCat_simpL8_qp9_qt9_decompJPEG_712x712_Q25, 3.78, 0.597518
bronzeCat_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.31, 0.404753
bronzeCat_simpL9_qp11_qt10_decompJPEG_512x512_Q25, 3.51, 0.359467
bronzeCat_simpL9_qp11_qt7_decompJPEG_1024x1024_Q75, 3.48, 0.347613
bronzeCat_simpL9_qp11_qt8_decompJPEG_512x512_Q25, 3.59, 0.352666
bronzeCat_simpL9_qp9_qt9_decompJPEG_1440x1440_Q10, 3.54, 0.524600
