ObjectName, MOS, LPIPS
dorfkirche_simpL10_qp11_qt6_decompJPEG_2048x2048_Q10, 1.19, 1.000000
dorfkirche_simpL1_qp10_qt10_decompJPEG_512x512_Q10, 3.20, 0.541081
dorfkirche_simpL1_qp10_qt8_decompJPEG_1024x1024_Q50, 3.93, 0.314910
dorfkirche_simpL1_qp9_qt9_decompJPEG_1440x1440_Q10, 3.57, 0.374731
dorfkirche_simpL2_qp10_qt10_decompJPEG_712x712_Q25, 4.30, 0.228363
dorfkirche_simpL2_qp10_qt6_decompJPEG_512x512_Q10, 1.86, 0.904057
dorfkirche_simpL2_qp10_qt7_decompJPEG_2048x2048_Q25, 2.34, 0.719969
dorfkirche_simpL2_qp10_qt9_decompJPEG_2048x2048_Q90, 4.56, 0.144607
dorfkirche_simpL2_qp10_qt9_decompJPEG_712x712_Q75, 4.44, 0.164957
dorfkirche_simpL2_qp11_qt7_decompJPEG_1024x1024_Q50, 2.39, 0.666223
dorfkirche_simpL2_qp9_qt10_decompJPEG_512x512_Q10, 2.83, 0.607141
dorfkirche_simpL3_qp11_qt10_decompJPEG_512x512_Q50, 4.29, 0.249655
dorfkirche_simpL4_qp10_qt7_decompJPEG_1024x1024_Q50, 2.50, 0.670990
dorfkirche_simpL4_qp10_qt7_decompJPEG_512x512_Q90, 2.89, 0.636682
dorfkirche_simpL4_qp7_qt7_decompJPEG_712x712_Q10, 1.25, 0.976509
dorfkirche_simpL4_qp9_qt10_decompJPEG_1440x1440_Q75, 4.07, 0.243642
dorfkirche_simpL4_qp9_qt10_decompJPEG_1440x1440_Q90, 3.70, 0.239618
dorfkirche_simpL4_qp9_qt10_decompJPEG_2048x2048_Q25, 3.95, 0.255419
dorfkirche_simpL4_qp9_qt10_decompJPEG_2048x2048_Q75, 3.91, 0.244825
dorfkirche_simpL4_qp9_qt10_decompJPEG_2048x2048_Q90, 3.90, 0.244648
dorfkirche_simpL4_qp9_qt8_decompJPEG_1440x1440_Q25, 3.37, 0.422806
dorfkirche_simpL4_qp9_qt9_decompJPEG_2048x2048_Q75, 3.93, 0.281482
dorfkirche_simpL5_qp10_qt8_decompJPEG_2048x2048_Q90, 3.62, 0.303068
dorfkirche_simpL5_qp9_qt10_decompJPEG_512x512_Q50, 3.67, 0.374573
dorfkirche_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.77, 0.922968
dorfkirche_simpL5_qp9_qt9_decompJPEG_1024x1024_Q10, 3.59, 0.399706
dorfkirche_simpL5_qp9_qt9_decompJPEG_2048x2048_Q50, 4.07, 0.283962
dorfkirche_simpL6_qp10_qt10_decompJPEG_1440x1440_Q25, 4.32, 0.128241
dorfkirche_simpL6_qp10_qt6_decompJPEG_512x512_Q25, 1.69, 0.854624
dorfkirche_simpL6_qp11_qt10_decompJPEG_512x512_Q50, 4.54, 0.254087
dorfkirche_simpL6_qp7_qt9_decompJPEG_2048x2048_Q10, 1.09, 0.914899
dorfkirche_simpL6_qp9_qt9_decompJPEG_1024x1024_Q75, 3.98, 0.284710
dorfkirche_simpL7_qp10_qt10_decompJPEG_1024x1024_Q10, 4.05, 0.279012
dorfkirche_simpL7_qp11_qt10_decompJPEG_512x512_Q50, 4.35, 0.260157
dorfkirche_simpL7_qp11_qt8_decompJPEG_712x712_Q10, 3.91, 0.435681
dorfkirche_simpL7_qp9_qt10_decompJPEG_1024x1024_Q25, 3.79, 0.281895
dorfkirche_simpL7_qp9_qt10_decompJPEG_1440x1440_Q75, 3.75, 0.242900
dorfkirche_simpL7_qp9_qt9_decompJPEG_1440x1440_Q50, 3.63, 0.287927
dorfkirche_simpL8_qp10_qt8_decompJPEG_2048x2048_Q10, 3.60, 0.337936
dorfkirche_simpL8_qp11_qt10_decompJPEG_512x512_Q50, 4.16, 0.272591
dorfkirche_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.66, 0.209126
dorfkirche_simpL8_qp11_qt10_decompJPEG_512x512_Q90, 4.64, 0.178002
dorfkirche_simpL8_qp11_qt8_decompJPEG_512x512_Q50, 3.79, 0.334023
dorfkirche_simpL8_qp11_qt9_decompJPEG_512x512_Q50, 4.34, 0.279357
dorfkirche_simpL9_qp10_qt8_decompJPEG_1024x1024_Q10, 3.42, 0.444079
dorfkirche_simpL9_qp11_qt10_decompJPEG_2048x2048_Q10, 4.47, 0.164491
dorfkirche_simpL9_qp11_qt10_decompJPEG_512x512_Q50, 4.14, 0.300147
dorfkirche_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 4.50, 0.235376
dorfkirche_simpL9_qp11_qt10_decompJPEG_512x512_Q90, 4.35, 0.207227
dorfkirche_simpL9_qp11_qt8_decompJPEG_1024x1024_Q10, 3.37, 0.412239
dorfkirche_simpL9_qp11_qt8_decompJPEG_512x512_Q25, 3.38, 0.446112
dorfkirche_simpL9_qp11_qt9_decompJPEG_1024x1024_Q10, 3.92, 0.291598
dorfkirche_simpL9_qp11_qt9_decompJPEG_512x512_Q50, 4.05, 0.307186
dorfkirche_simpL9_qp11_qt9_decompJPEG_512x512_Q75, 4.25, 0.252102
dorfkirche_simpL9_qp11_qt9_decompJPEG_512x512_Q90, 4.21, 0.229229
dorfkirche_simpL9_qp9_qt8_decompJPEG_512x512_Q50, 3.19, 0.468189
