ObjectName, MOS, LPIPS
load_objects_simpL10_qp7_qt6_decompJPEG_1440x1440_Q10, 1.95, 0.838536
load_objects_simpL10_qp7_qt8_decompJPEG_1440x1440_Q75, 2.14, 0.752606
load_objects_simpL10_qp8_qt10_decompJPEG_512x512_Q50, 2.00, 0.780047
load_objects_simpL10_qp8_qt8_decompJPEG_1440x1440_Q25, 2.24, 0.740257
load_objects_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 2.12, 0.794086
load_objects_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.00, 0.309318
load_objects_simpL1_qp10_qt6_decompJPEG_712x712_Q75, 3.61, 0.425764
load_objects_simpL1_qp8_qt7_decompJPEG_2048x2048_Q10, 1.59, 0.835044
load_objects_simpL1_qp9_qt10_decompJPEG_2048x2048_Q10, 3.11, 0.619922
load_objects_simpL1_qp9_qt6_decompJPEG_1440x1440_Q25, 2.67, 0.677982
load_objects_simpL1_qp9_qt6_decompJPEG_2048x2048_Q25, 2.52, 0.676853
load_objects_simpL1_qp9_qt8_decompJPEG_712x712_Q25, 3.00, 0.621816
load_objects_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.854641
load_objects_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.76, 0.850606
load_objects_simpL3_qp8_qt10_decompJPEG_2048x2048_Q10, 1.82, 0.817914
load_objects_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 1.77, 0.840176
load_objects_simpL3_qp8_qt7_decompJPEG_1024x1024_Q25, 1.89, 0.832027
load_objects_simpL3_qp8_qt7_decompJPEG_1440x1440_Q25, 1.85, 0.827714
load_objects_simpL3_qp8_qt7_decompJPEG_2048x2048_Q75, 1.88, 0.816575
load_objects_simpL3_qp9_qt10_decompJPEG_1440x1440_Q90, 3.02, 0.581749
load_objects_simpL3_qp9_qt10_decompJPEG_512x512_Q50, 3.24, 0.611661
load_objects_simpL4_qp8_qt10_decompJPEG_512x512_Q10, 1.73, 0.841075
load_objects_simpL4_qp8_qt6_decompJPEG_2048x2048_Q90, 1.74, 0.831769
load_objects_simpL4_qp8_qt8_decompJPEG_2048x2048_Q10, 2.00, 0.819580
load_objects_simpL4_qp8_qt9_decompJPEG_1024x1024_Q25, 1.88, 0.812929
load_objects_simpL5_qp8_qt10_decompJPEG_1024x1024_Q50, 1.95, 0.797294
load_objects_simpL5_qp8_qt6_decompJPEG_1440x1440_Q25, 2.26, 0.837596
load_objects_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.81, 0.837067
load_objects_simpL5_qp8_qt7_decompJPEG_1440x1440_Q25, 1.95, 0.820583
load_objects_simpL6_qp7_qt10_decompJPEG_1440x1440_Q90, 1.10, 0.910183
load_objects_simpL6_qp7_qt7_decompJPEG_1440x1440_Q75, 1.19, 0.918876
load_objects_simpL6_qp8_qt6_decompJPEG_1440x1440_Q10, 2.12, 0.854218
load_objects_simpL6_qp8_qt6_decompJPEG_512x512_Q90, 1.95, 0.834684
load_objects_simpL6_qp8_qt7_decompJPEG_512x512_Q10, 1.86, 0.845645
load_objects_simpL6_qp9_qt6_decompJPEG_2048x2048_Q75, 3.33, 0.613915
load_objects_simpL6_qp9_qt9_decompJPEG_712x712_Q25, 3.58, 0.565009
load_objects_simpL7_qp7_qt10_decompJPEG_1440x1440_Q90, 1.16, 0.900685
load_objects_simpL7_qp7_qt10_decompJPEG_2048x2048_Q90, 1.20, 0.900471
load_objects_simpL7_qp7_qt6_decompJPEG_2048x2048_Q90, 1.16, 0.921874
load_objects_simpL7_qp7_qt9_decompJPEG_2048x2048_Q90, 1.30, 0.900122
load_objects_simpL7_qp8_qt6_decompJPEG_1024x1024_Q10, 2.35, 0.832200
load_objects_simpL7_qp8_qt6_decompJPEG_2048x2048_Q25, 2.39, 0.820280
load_objects_simpL7_qp8_qt7_decompJPEG_1024x1024_Q10, 2.46, 0.816725
load_objects_simpL7_qp8_qt8_decompJPEG_1024x1024_Q10, 2.19, 0.808857
load_objects_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.30, 0.801701
load_objects_simpL7_qp9_qt6_decompJPEG_2048x2048_Q50, 3.26, 0.606883
load_objects_simpL8_qp8_qt10_decompJPEG_1024x1024_Q25, 2.56, 0.778829
load_objects_simpL8_qp8_qt10_decompJPEG_2048x2048_Q10, 2.41, 0.787280
load_objects_simpL8_qp8_qt10_decompJPEG_512x512_Q90, 2.49, 0.767265
load_objects_simpL8_qp8_qt6_decompJPEG_1440x1440_Q25, 2.60, 0.812219
load_objects_simpL8_qp8_qt9_decompJPEG_2048x2048_Q10, 2.25, 0.786314
load_objects_simpL9_qp7_qt6_decompJPEG_2048x2048_Q10, 1.50, 0.918145
load_objects_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.50, 0.490508
