ObjectName, MOS, LPIPS
GoldenStatueModel_simpL1_qp10_qt6_decompJPEG_1440x1440_Q50, 3.36, 0.400743
GoldenStatueModel_simpL1_qp10_qt7_decompJPEG_1440x1440_Q10, 3.30, 0.347478
GoldenStatueModel_simpL1_qp10_qt7_decompJPEG_712x712_Q25, 3.33, 0.338573
GoldenStatueModel_simpL1_qp9_qt10_decompJPEG_512x512_Q10, 2.20, 0.643218
GoldenStatueModel_simpL1_qp9_qt6_decompJPEG_1024x1024_Q25, 2.41, 0.710622
GoldenStatueModel_simpL2_qp10_qt10_decompJPEG_2048x2048_Q50, 3.43, 0.269018
GoldenStatueModel_simpL2_qp10_qt7_decompJPEG_712x712_Q90, 3.50, 0.316761
GoldenStatueModel_simpL2_qp10_qt9_decompJPEG_1440x1440_Q75, 3.55, 0.269475
GoldenStatueModel_simpL2_qp11_qt10_decompJPEG_1440x1440_Q90, 4.43, 0.096708
GoldenStatueModel_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.55, 0.231533
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_1024x1024_Q25, 2.07, 0.688058
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_1024x1024_Q50, 2.29, 0.683661
GoldenStatueModel_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 2.55, 0.686151
GoldenStatueModel_simpL2_qp9_qt8_decompJPEG_1024x1024_Q75, 2.30, 0.598856
GoldenStatueModel_simpL3_qp9_qt10_decompJPEG_1440x1440_Q25, 2.25, 0.572487
GoldenStatueModel_simpL4_qp8_qt10_decompJPEG_2048x2048_Q10, 1.39, 0.846827
GoldenStatueModel_simpL4_qp8_qt9_decompJPEG_2048x2048_Q10, 1.33, 0.848942
GoldenStatueModel_simpL5_qp9_qt10_decompJPEG_712x712_Q10, 2.45, 0.579740
GoldenStatueModel_simpL6_qp10_qt8_decompJPEG_1024x1024_Q25, 3.38, 0.287454
GoldenStatueModel_simpL6_qp11_qt6_decompJPEG_512x512_Q50, 3.89, 0.235194
GoldenStatueModel_simpL6_qp7_qt10_decompJPEG_712x712_Q10, 1.16, 0.969563
GoldenStatueModel_simpL6_qp8_qt10_decompJPEG_2048x2048_Q10, 1.51, 0.842123
GoldenStatueModel_simpL6_qp8_qt10_decompJPEG_512x512_Q10, 1.73, 0.861878
GoldenStatueModel_simpL6_qp8_qt6_decompJPEG_512x512_Q10, 1.63, 0.895140
GoldenStatueModel_simpL6_qp8_qt7_decompJPEG_512x512_Q10, 1.67, 0.881057
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_1024x1024_Q90, 2.65, 0.629154
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_1440x1440_Q25, 2.51, 0.633061
GoldenStatueModel_simpL6_qp9_qt6_decompJPEG_712x712_Q10, 2.55, 0.630919
GoldenStatueModel_simpL7_qp7_qt6_decompJPEG_1024x1024_Q10, 1.00, 0.987004
GoldenStatueModel_simpL7_qp8_qt10_decompJPEG_2048x2048_Q10, 1.79, 0.849163
GoldenStatueModel_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 1.56, 0.852295
GoldenStatueModel_simpL7_qp9_qt10_decompJPEG_512x512_Q10, 2.58, 0.553872
GoldenStatueModel_simpL7_qp9_qt7_decompJPEG_512x512_Q90, 2.64, 0.546564
GoldenStatueModel_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 2.86, 0.554428
GoldenStatueModel_simpL8_qp10_qt6_decompJPEG_1440x1440_Q10, 3.52, 0.366469
GoldenStatueModel_simpL8_qp9_qt8_decompJPEG_512x512_Q10, 3.02, 0.522289
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_1024x1024_Q75, 1.19, 0.969453
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q10, 1.13, 0.974663
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q50, 1.16, 0.971352
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_512x512_Q75, 1.18, 0.969689
GoldenStatueModel_simpL9_qp7_qt10_decompJPEG_712x712_Q25, 1.28, 0.972599
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1024x1024_Q25, 1.20, 0.979648
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1024x1024_Q50, 1.10, 0.978966
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1440x1440_Q10, 1.14, 0.982200
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_1440x1440_Q25, 1.14, 0.980047
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_2048x2048_Q25, 1.14, 0.980685
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_512x512_Q25, 1.25, 0.979695
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_512x512_Q90, 1.14, 0.978865
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_712x712_Q10, 1.16, 0.981737
GoldenStatueModel_simpL9_qp7_qt6_decompJPEG_712x712_Q50, 1.07, 0.979323
GoldenStatueModel_simpL9_qp7_qt9_decompJPEG_512x512_Q10, 1.07, 0.974482
GoldenStatueModel_simpL9_qp7_qt9_decompJPEG_712x712_Q10, 1.16, 0.973214
GoldenStatueModel_simpL9_qp8_qt8_decompJPEG_2048x2048_Q90, 2.20, 0.775082
