ObjectName, MOS, LPIPS
Streblognathus_simpL10_qp11_qt6_decompJPEG_1024x1024_Q90, 3.70, 0.481650
Streblognathus_simpL10_qp7_qt10_decompJPEG_512x512_Q10, 2.77, 0.753833
Streblognathus_simpL10_qp7_qt6_decompJPEG_2048x2048_Q25, 3.30, 0.638591
Streblognathus_simpL10_qp8_qt6_decompJPEG_712x712_Q10, 3.22, 0.581107
Streblognathus_simpL10_qp8_qt7_decompJPEG_512x512_Q10, 3.10, 0.629735
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q10, 3.72, 0.547409
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q50, 4.05, 0.512048
Streblognathus_simpL10_qp9_qt6_decompJPEG_2048x2048_Q75, 3.93, 0.513878
Streblognathus_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 4.18, 0.518411
Streblognathus_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 3.62, 0.152356
Streblognathus_simpL1_qp7_qt6_decompJPEG_2048x2048_Q10, 1.02, 1.000000
Streblognathus_simpL1_qp8_qt6_decompJPEG_2048x2048_Q50, 1.67, 0.934777
Streblognathus_simpL2_qp11_qt6_decompJPEG_1024x1024_Q25, 2.72, 0.247024
Streblognathus_simpL2_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 1.000000
Streblognathus_simpL2_qp7_qt9_decompJPEG_1440x1440_Q10, 1.05, 0.989381
Streblognathus_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.64, 0.920987
Streblognathus_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 2.74, 0.711255
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q10, 1.05, 1.000000
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q25, 1.07, 1.000000
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q50, 1.14, 1.000000
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q75, 1.02, 1.000000
Streblognathus_simpL4_qp7_qt6_decompJPEG_2048x2048_Q75, 1.10, 1.000000
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.911524
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q25, 2.00, 0.919062
Streblognathus_simpL4_qp8_qt6_decompJPEG_512x512_Q75, 1.73, 0.885684
Streblognathus_simpL5_qp7_qt9_decompJPEG_2048x2048_Q10, 1.09, 0.986821
Streblognathus_simpL5_qp8_qt7_decompJPEG_1440x1440_Q90, 1.79, 0.891804
Streblognathus_simpL5_qp8_qt7_decompJPEG_2048x2048_Q25, 2.05, 0.892911
Streblognathus_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.250702
Streblognathus_simpL6_qp7_qt6_decompJPEG_712x712_Q50, 1.10, 0.993238
Streblognathus_simpL6_qp8_qt6_decompJPEG_512x512_Q10, 1.93, 0.874767
Streblognathus_simpL6_qp8_qt7_decompJPEG_1440x1440_Q50, 2.23, 0.849927
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q50, 2.10, 0.834232
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q75, 2.14, 0.836818
Streblognathus_simpL8_qp11_qt8_decompJPEG_512x512_Q75, 4.58, 0.065005
Streblognathus_simpL8_qp7_qt10_decompJPEG_512x512_Q75, 1.09, 0.974106
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 0.991265
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q50, 1.07, 0.990135
Streblognathus_simpL8_qp7_qt6_decompJPEG_512x512_Q25, 1.09, 0.975489
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q25, 1.30, 0.978534
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q50, 1.15, 0.980377
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q25, 1.05, 0.982137
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q50, 1.20, 0.981031
Streblognathus_simpL8_qp7_qt7_decompJPEG_2048x2048_Q90, 1.19, 0.983275
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q10, 1.14, 0.979728
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q50, 1.19, 0.974042
Streblognathus_simpL8_qp7_qt9_decompJPEG_512x512_Q75, 1.07, 0.973946
Streblognathus_simpL8_qp8_qt6_decompJPEG_712x712_Q25, 2.00, 0.814866
Streblognathus_simpL8_qp8_qt8_decompJPEG_2048x2048_Q10, 2.22, 0.840424
Streblognathus_simpL8_qp8_qt8_decompJPEG_712x712_Q90, 2.43, 0.814359
Streblognathus_simpL9_qp7_qt6_decompJPEG_512x512_Q50, 1.43, 0.964195
Streblognathus_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 2.44, 0.729400
Streblognathus_simpL9_qp8_qt9_decompJPEG_1024x1024_Q10, 2.37, 0.767123
