ObjectName, MOS, LPIPS
Orchid_simpL1_qp11_qt7_decompJPEG_1024x1024_Q75, 4.57, 0.135903
Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50, 4.62, 0.137107
Orchid_simpL1_qp8_qt8_decompJPEG_2048x2048_Q10, 3.81, 0.294201
Orchid_simpL1_qp8_qt9_decompJPEG_1440x1440_Q10, 3.86, 0.295012
Orchid_simpL1_qp9_qt6_decompJPEG_512x512_Q10, 2.86, 0.231717
Orchid_simpL1_qp9_qt7_decompJPEG_512x512_Q75, 4.39, 0.193560
Orchid_simpL2_qp10_qt6_decompJPEG_1440x1440_Q10, 3.46, 0.183379
Orchid_simpL2_qp10_qt7_decompJPEG_512x512_Q75, 4.52, 0.139858
Orchid_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.09, 0.164130
Orchid_simpL2_qp11_qt6_decompJPEG_2048x2048_Q75, 3.75, 0.163987
Orchid_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 4.63, 0.138754
Orchid_simpL2_qp9_qt9_decompJPEG_512x512_Q50, 4.60, 0.177369
Orchid_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.45, 0.168451
Orchid_simpL3_qp10_qt7_decompJPEG_2048x2048_Q25, 4.67, 0.147896
Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 4.39, 0.246245
Orchid_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 4.62, 0.169376
Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75, 4.84, 0.132141
Orchid_simpL4_qp11_qt7_decompJPEG_712x712_Q25, 4.30, 0.143761
Orchid_simpL6_qp8_qt6_decompJPEG_1440x1440_Q25, 3.28, 0.252645
Orchid_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 3.62, 0.183899
Orchid_simpL8_qp10_qt6_decompJPEG_512x512_Q10, 3.09, 0.221402
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.197192
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q50, 4.11, 0.184428
Orchid_simpL8_qp8_qt6_decompJPEG_1024x1024_Q75, 3.22, 0.256602
Orchid_simpL8_qp8_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.241902
Orchid_simpL8_qp8_qt8_decompJPEG_1024x1024_Q25, 4.24, 0.234237
Orchid_simpL9_qp10_qt7_decompJPEG_1024x1024_Q50, 4.36, 0.245076
Orchid_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 3.93, 0.251191
Orchid_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 4.00, 0.246227
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50, 4.05, 0.242440
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.241841
Orchid_simpL9_qp11_qt7_decompJPEG_1440x1440_Q10, 3.95, 0.260499
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q50, 4.20, 0.243526
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q75, 4.47, 0.242760
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 4.31, 0.242226
Orchid_simpL9_qp11_qt9_decompJPEG_1024x1024_Q90, 4.14, 0.234541
Orchid_simpL9_qp11_qt9_decompJPEG_1440x1440_Q90, 4.42, 0.235582
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q75, 4.16, 0.235280
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q90, 4.16, 0.235252
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q50, 3.83, 0.267394
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q75, 4.12, 0.267371
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q10, 3.96, 0.281328
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q25, 4.09, 0.268724
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q10, 3.93, 0.280738
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 3.86, 0.267575
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 4.07, 0.266512
Orchid_simpL9_qp8_qt7_decompJPEG_512x512_Q25, 3.77, 0.273707
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q10, 3.49, 0.283404
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q25, 3.98, 0.269088
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 4.00, 0.268259
Orchid_simpL9_qp8_qt8_decompJPEG_2048x2048_Q10, 4.10, 0.279358
Orchid_simpL9_qp8_qt8_decompJPEG_512x512_Q25, 3.74, 0.272843
Orchid_simpL9_qp8_qt9_decompJPEG_1440x1440_Q10, 4.10, 0.280017
Orchid_simpL9_qp8_qt9_decompJPEG_2048x2048_Q10, 4.14, 0.279133
