ObjectName, MOS, LPIPS
PRI_Hepatus_simpL1_qp11_qt8_decompJPEG_512x512_Q50, 3.81, 0.274573
PRI_Hepatus_simpL1_qp11_qt8_decompJPEG_712x712_Q25, 3.41, 0.265206
PRI_Hepatus_simpL1_qp11_qt9_decompJPEG_712x712_Q10, 3.65, 0.338376
PRI_Hepatus_simpL1_qp7_qt6_decompJPEG_512x512_Q10, 1.23, 0.992144
PRI_Hepatus_simpL1_qp8_qt10_decompJPEG_2048x2048_Q50, 2.48, 0.811677
PRI_Hepatus_simpL1_qp8_qt9_decompJPEG_2048x2048_Q50, 2.36, 0.815082
PRI_Hepatus_simpL1_qp9_qt10_decompJPEG_712x712_Q10, 3.27, 0.661547
PRI_Hepatus_simpL1_qp9_qt7_decompJPEG_512x512_Q10, 2.07, 0.820245
PRI_Hepatus_simpL1_qp9_qt9_decompJPEG_512x512_Q10, 3.24, 0.751958
PRI_Hepatus_simpL2_qp10_qt10_decompJPEG_512x512_Q10, 3.27, 0.550242
PRI_Hepatus_simpL2_qp10_qt8_decompJPEG_1440x1440_Q75, 3.50, 0.315670
PRI_Hepatus_simpL2_qp10_qt9_decompJPEG_512x512_Q10, 3.41, 0.554889
PRI_Hepatus_simpL2_qp11_qt7_decompJPEG_512x512_Q75, 2.33, 0.473418
PRI_Hepatus_simpL2_qp11_qt8_decompJPEG_512x512_Q90, 3.38, 0.209027
PRI_Hepatus_simpL2_qp11_qt8_decompJPEG_712x712_Q75, 3.58, 0.205218
PRI_Hepatus_simpL2_qp8_qt10_decompJPEG_2048x2048_Q50, 2.43, 0.783206
PRI_Hepatus_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25, 1.64, 0.726731
PRI_Hepatus_simpL3_qp10_qt8_decompJPEG_1440x1440_Q75, 3.68, 0.310148
PRI_Hepatus_simpL3_qp10_qt8_decompJPEG_512x512_Q90, 3.50, 0.332162
PRI_Hepatus_simpL3_qp11_qt7_decompJPEG_512x512_Q10, 2.00, 0.585364
PRI_Hepatus_simpL3_qp11_qt8_decompJPEG_512x512_Q75, 3.80, 0.234812
PRI_Hepatus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q10, 1.02, 0.992199
PRI_Hepatus_simpL3_qp8_qt9_decompJPEG_712x712_Q10, 2.17, 0.865137
PRI_Hepatus_simpL4_qp11_qt8_decompJPEG_512x512_Q90, 3.57, 0.205750
PRI_Hepatus_simpL4_qp11_qt9_decompJPEG_512x512_Q10, 3.29, 0.457896
PRI_Hepatus_simpL4_qp8_qt10_decompJPEG_2048x2048_Q50, 2.60, 0.770499
PRI_Hepatus_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.82, 0.844127
PRI_Hepatus_simpL4_qp9_qt7_decompJPEG_1024x1024_Q90, 2.33, 0.702876
PRI_Hepatus_simpL4_qp9_qt7_decompJPEG_512x512_Q10, 2.18, 0.793492
PRI_Hepatus_simpL5_qp11_qt8_decompJPEG_512x512_Q10, 3.05, 0.482174
PRI_Hepatus_simpL5_qp11_qt8_decompJPEG_512x512_Q50, 3.86, 0.265843
PRI_Hepatus_simpL5_qp7_qt10_decompJPEG_2048x2048_Q10, 1.32, 0.952662
PRI_Hepatus_simpL5_qp7_qt10_decompJPEG_2048x2048_Q75, 1.16, 0.943591
PRI_Hepatus_simpL5_qp7_qt6_decompJPEG_2048x2048_Q10, 1.21, 0.991108
PRI_Hepatus_simpL5_qp9_qt7_decompJPEG_512x512_Q50, 2.52, 0.703063
PRI_Hepatus_simpL6_qp10_qt6_decompJPEG_1024x1024_Q50, 1.71, 0.700538
PRI_Hepatus_simpL6_qp10_qt8_decompJPEG_512x512_Q25, 3.62, 0.414999
PRI_Hepatus_simpL6_qp10_qt8_decompJPEG_712x712_Q75, 3.74, 0.281130
PRI_Hepatus_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.45, 0.752017
PRI_Hepatus_simpL6_qp8_qt10_decompJPEG_2048x2048_Q25, 2.67, 0.731275
PRI_Hepatus_simpL6_qp8_qt10_decompJPEG_2048x2048_Q90, 2.53, 0.726100
PRI_Hepatus_simpL6_qp8_qt10_decompJPEG_712x712_Q90, 2.67, 0.742027
PRI_Hepatus_simpL6_qp8_qt9_decompJPEG_512x512_Q90, 2.50, 0.774372
PRI_Hepatus_simpL7_qp10_qt7_decompJPEG_512x512_Q50, 2.63, 0.518348
PRI_Hepatus_simpL7_qp10_qt8_decompJPEG_712x712_Q25, 3.69, 0.337700
PRI_Hepatus_simpL7_qp8_qt10_decompJPEG_712x712_Q90, 2.55, 0.697005
PRI_Hepatus_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.60, 0.731051
PRI_Hepatus_simpL7_qp9_qt7_decompJPEG_1440x1440_Q10, 2.30, 0.695447
PRI_Hepatus_simpL8_qp11_qt7_decompJPEG_1024x1024_Q50, 2.98, 0.425644
PRI_Hepatus_simpL8_qp11_qt7_decompJPEG_1440x1440_Q25, 3.02, 0.419646
PRI_Hepatus_simpL8_qp11_qt7_decompJPEG_512x512_Q50, 2.95, 0.452731
PRI_Hepatus_simpL8_qp11_qt8_decompJPEG_712x712_Q10, 3.66, 0.411089
PRI_Hepatus_simpL8_qp7_qt6_decompJPEG_1024x1024_Q10, 1.25, 0.987528
PRI_Hepatus_simpL8_qp8_qt10_decompJPEG_1024x1024_Q75, 2.84, 0.631954
PRI_Hepatus_simpL8_qp8_qt10_decompJPEG_1440x1440_Q50, 2.89, 0.630252
PRI_Hepatus_simpL8_qp9_qt6_decompJPEG_1440x1440_Q10, 1.67, 0.784410
PRI_Hepatus_simpL9_qp10_qt6_decompJPEG_2048x2048_Q25, 2.16, 0.637154
PRI_Hepatus_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 2.33, 0.666161
PRI_Hepatus_simpL9_qp9_qt8_decompJPEG_512x512_Q10, 3.00, 0.586656
