ObjectName, MOS, LPIPS
abel_highpoly_meshexp_simpL10_qp7_qt6_decompJPEG_712x712_Q10, 2.85, 0.612414
abel_highpoly_meshexp_simpL10_qp7_qt6_decompJPEG_712x712_Q50, 3.25, 0.580505
abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_1024x1024_Q25, 3.00, 0.485426
abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_1024x1024_Q50, 3.02, 0.481195
abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_1024x1024_Q90, 3.44, 0.477825
abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_1440x1440_Q10, 2.98, 0.492751
abel_highpoly_meshexp_simpL10_qp7_qt7_decompJPEG_2048x2048_Q90, 3.27, 0.478619
abel_highpoly_meshexp_simpL10_qp8_qt7_decompJPEG_1024x1024_Q75, 3.60, 0.426903
abel_highpoly_meshexp_simpL1_qp8_qt8_decompJPEG_712x712_Q50, 2.40, 0.448262
abel_highpoly_meshexp_simpL1_qp8_qt9_decompJPEG_712x712_Q75, 2.41, 0.417889
abel_highpoly_meshexp_simpL1_qp9_qt6_decompJPEG_2048x2048_Q25, 3.19, 0.474385
abel_highpoly_meshexp_simpL1_qp9_qt6_decompJPEG_512x512_Q50, 3.26, 0.448561
abel_highpoly_meshexp_simpL2_qp10_qt6_decompJPEG_2048x2048_Q25, 3.20, 0.375576
abel_highpoly_meshexp_simpL2_qp11_qt6_decompJPEG_512x512_Q90, 3.16, 0.322839
abel_highpoly_meshexp_simpL2_qp8_qt8_decompJPEG_1024x1024_Q50, 2.81, 0.448002
abel_highpoly_meshexp_simpL2_qp9_qt6_decompJPEG_2048x2048_Q25, 2.79, 0.470684
abel_highpoly_meshexp_simpL3_qp10_qt6_decompJPEG_1440x1440_Q50, 3.17, 0.358884
abel_highpoly_meshexp_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25, 3.21, 0.372339
abel_highpoly_meshexp_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.36, 0.336796
abel_highpoly_meshexp_simpL3_qp11_qt6_decompJPEG_1440x1440_Q50, 3.27, 0.340503
abel_highpoly_meshexp_simpL3_qp11_qt6_decompJPEG_512x512_Q90, 3.47, 0.324986
abel_highpoly_meshexp_simpL3_qp11_qt6_decompJPEG_712x712_Q50, 3.23, 0.318548
abel_highpoly_meshexp_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 2.49, 0.411950
abel_highpoly_meshexp_simpL3_qp8_qt10_decompJPEG_1024x1024_Q90, 2.65, 0.408761
abel_highpoly_meshexp_simpL3_qp8_qt10_decompJPEG_1440x1440_Q50, 2.60, 0.412212
abel_highpoly_meshexp_simpL3_qp8_qt10_decompJPEG_1440x1440_Q75, 2.50, 0.409107
abel_highpoly_meshexp_simpL3_qp8_qt9_decompJPEG_1440x1440_Q75, 2.50, 0.411044
abel_highpoly_meshexp_simpL3_qp9_qt6_decompJPEG_2048x2048_Q25, 3.19, 0.465209
abel_highpoly_meshexp_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 3.10, 0.438686
abel_highpoly_meshexp_simpL4_qp8_qt10_decompJPEG_712x712_Q75, 2.51, 0.413874
abel_highpoly_meshexp_simpL4_qp9_qt6_decompJPEG_2048x2048_Q25, 3.31, 0.457648
abel_highpoly_meshexp_simpL4_qp9_qt6_decompJPEG_712x712_Q50, 3.11, 0.431947
abel_highpoly_meshexp_simpL5_qp11_qt6_decompJPEG_1440x1440_Q10, 2.80, 0.343893
abel_highpoly_meshexp_simpL6_qp11_qt6_decompJPEG_1440x1440_Q50, 3.59, 0.338924
