ObjectName, MOS, LPIPS
dom_utka_simpL10_qp10_qt6_decompJPEG_1024x1024_Q50, 2.57, 0.497481
dom_utka_simpL10_qp10_qt6_decompJPEG_2048x2048_Q50, 2.74, 0.492514
dom_utka_simpL10_qp10_qt6_decompJPEG_2048x2048_Q75, 2.56, 0.491454
dom_utka_simpL10_qp11_qt6_decompJPEG_2048x2048_Q25, 2.88, 0.499424
dom_utka_simpL10_qp11_qt7_decompJPEG_1440x1440_Q90, 3.00, 0.437104
dom_utka_simpL10_qp7_qt6_decompJPEG_1024x1024_Q10, 2.21, 0.615829
dom_utka_simpL10_qp7_qt6_decompJPEG_1024x1024_Q75, 2.38, 0.525074
dom_utka_simpL10_qp7_qt6_decompJPEG_1440x1440_Q10, 2.34, 0.584301
dom_utka_simpL10_qp7_qt6_decompJPEG_1440x1440_Q25, 2.42, 0.535064
dom_utka_simpL10_qp7_qt6_decompJPEG_1440x1440_Q75, 2.29, 0.520143
dom_utka_simpL10_qp7_qt6_decompJPEG_1440x1440_Q90, 2.52, 0.519073
dom_utka_simpL10_qp7_qt6_decompJPEG_2048x2048_Q10, 2.47, 0.576294
dom_utka_simpL10_qp7_qt6_decompJPEG_2048x2048_Q75, 2.29, 0.522296
dom_utka_simpL10_qp7_qt6_decompJPEG_712x712_Q50, 2.59, 0.551316
dom_utka_simpL10_qp7_qt7_decompJPEG_1024x1024_Q75, 2.65, 0.458370
dom_utka_simpL10_qp7_qt7_decompJPEG_1024x1024_Q90, 2.61, 0.454853
dom_utka_simpL10_qp7_qt7_decompJPEG_2048x2048_Q90, 2.60, 0.453490
dom_utka_simpL10_qp7_qt8_decompJPEG_1024x1024_Q75, 2.52, 0.436028
dom_utka_simpL10_qp8_qt6_decompJPEG_712x712_Q75, 2.86, 0.517843
dom_utka_simpL10_qp8_qt8_decompJPEG_1024x1024_Q50, 3.05, 0.415384
dom_utka_simpL10_qp8_qt8_decompJPEG_2048x2048_Q25, 2.79, 0.414299
dom_utka_simpL10_qp8_qt8_decompJPEG_712x712_Q25, 3.14, 0.475724
dom_utka_simpL10_qp9_qt10_decompJPEG_712x712_Q75, 3.19, 0.395648
dom_utka_simpL1_qp10_qt7_decompJPEG_1024x1024_Q25, 3.11, 0.475541
dom_utka_simpL1_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.371224
dom_utka_simpL1_qp11_qt8_decompJPEG_1024x1024_Q10, 4.12, 0.295132
dom_utka_simpL1_qp11_qt8_decompJPEG_2048x2048_Q10, 4.03, 0.255012
dom_utka_simpL1_qp11_qt8_decompJPEG_512x512_Q75, 4.33, 0.205507
dom_utka_simpL1_qp11_qt8_decompJPEG_712x712_Q10, 3.98, 0.344207
dom_utka_simpL1_qp7_qt7_decompJPEG_512x512_Q10, 1.48, 0.850573
dom_utka_simpL1_qp8_qt10_decompJPEG_1024x1024_Q50, 2.81, 0.610232
dom_utka_simpL1_qp9_qt8_decompJPEG_1024x1024_Q10, 3.79, 0.526265
dom_utka_simpL1_qp9_qt8_decompJPEG_1440x1440_Q10, 3.84, 0.502081
dom_utka_simpL1_qp9_qt8_decompJPEG_2048x2048_Q10, 3.51, 0.494607
dom_utka_simpL2_qp11_qt7_decompJPEG_512x512_Q25, 2.91, 0.426459
dom_utka_simpL2_qp11_qt8_decompJPEG_2048x2048_Q10, 4.21, 0.255835
dom_utka_simpL2_qp8_qt10_decompJPEG_712x712_Q50, 3.09, 0.609800
dom_utka_simpL3_qp8_qt7_decompJPEG_512x512_Q75, 2.83, 0.708367
dom_utka_simpL4_qp10_qt8_decompJPEG_712x712_Q50, 4.09, 0.254837
dom_utka_simpL4_qp7_qt6_decompJPEG_1440x1440_Q75, 1.33, 0.867528
dom_utka_simpL4_qp7_qt6_decompJPEG_512x512_Q50, 1.27, 0.877952
dom_utka_simpL4_qp7_qt6_decompJPEG_512x512_Q75, 1.40, 0.869470
dom_utka_simpL4_qp7_qt6_decompJPEG_512x512_Q90, 1.16, 0.866012
dom_utka_simpL4_qp7_qt6_decompJPEG_712x712_Q90, 1.45, 0.866781
dom_utka_simpL5_qp8_qt8_decompJPEG_1024x1024_Q10, 2.84, 0.648647
dom_utka_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 3.16, 0.620366
dom_utka_simpL7_qp8_qt9_decompJPEG_1024x1024_Q10, 2.80, 0.554079
dom_utka_simpL8_qp7_qt8_decompJPEG_1440x1440_Q75, 1.88, 0.714990
dom_utka_simpL9_qp11_qt7_decompJPEG_712x712_Q75, 4.28, 0.294712
dom_utka_simpL9_qp7_qt10_decompJPEG_512x512_Q10, 2.39, 0.745735
dom_utka_simpL9_qp7_qt8_decompJPEG_512x512_Q90, 2.44, 0.641299
dom_utka_simpL9_qp9_qt7_decompJPEG_1024x1024_Q75, 4.05, 0.344912
dom_utka_simpL9_qp9_qt7_decompJPEG_712x712_Q75, 4.09, 0.344900
