ObjectName, MOS, LPIPS
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q25, 4.15, 0.343237
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q75, 4.30, 0.318586
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q50, 4.03, 0.316478
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q90, 4.43, 0.313974
piano_simpL1_qp11_qt7_decompJPEG_1024x1024_Q25, 4.05, 0.319167
piano_simpL1_qp11_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.302066
piano_simpL1_qp11_qt7_decompJPEG_712x712_Q75, 4.12, 0.311118
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q75, 3.86, 0.351437
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q90, 4.22, 0.346313
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q50, 3.93, 0.347484
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q75, 3.93, 0.345218
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q90, 4.05, 0.344594
piano_simpL2_qp10_qt7_decompJPEG_1024x1024_Q75, 4.15, 0.319587
piano_simpL2_qp10_qt7_decompJPEG_712x712_Q90, 4.44, 0.330715
piano_simpL2_qp11_qt7_decompJPEG_2048x2048_Q75, 4.05, 0.293629
piano_simpL2_qp11_qt7_decompJPEG_712x712_Q75, 4.47, 0.311564
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q75, 4.12, 0.347893
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.347391
piano_simpL3_qp10_qt7_decompJPEG_1440x1440_Q25, 4.02, 0.331663
piano_simpL3_qp9_qt7_decompJPEG_1024x1024_Q90, 4.10, 0.348210
piano_simpL4_qp11_qt7_decompJPEG_1024x1024_Q25, 4.30, 0.313610
piano_simpL4_qp11_qt7_decompJPEG_1440x1440_Q25, 4.40, 0.302012
piano_simpL4_qp11_qt7_decompJPEG_2048x2048_Q90, 4.41, 0.287586
piano_simpL4_qp9_qt7_decompJPEG_1024x1024_Q90, 4.24, 0.344061
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q25, 4.34, 0.334962
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q90, 4.05, 0.305703
piano_simpL5_qp11_qt7_decompJPEG_1440x1440_Q50, 4.05, 0.293610
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.39, 0.313451
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q50, 4.23, 0.306123
piano_simpL6_qp10_qt7_decompJPEG_712x712_Q75, 4.05, 0.322733
piano_simpL6_qp11_qt7_decompJPEG_1024x1024_Q75, 4.05, 0.297953
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q50, 4.05, 0.296522
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q75, 4.07, 0.295487
piano_simpL6_qp11_qt7_decompJPEG_712x712_Q90, 4.08, 0.305395
piano_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 4.32, 0.345201
piano_simpL7_qp10_qt7_decompJPEG_2048x2048_Q50, 4.32, 0.312624
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q50, 4.22, 0.345227
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q90, 3.84, 0.321122
piano_simpL7_qp11_qt7_decompJPEG_1024x1024_Q25, 4.36, 0.329133
piano_simpL8_qp10_qt7_decompJPEG_1024x1024_Q50, 4.07, 0.336722
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q25, 4.12, 0.335023
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q50, 4.11, 0.327521
piano_simpL8_qp11_qt7_decompJPEG_1024x1024_Q75, 3.91, 0.324023
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q50, 3.88, 0.328029
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q90, 3.66, 0.323439
piano_simpL9_qp10_qt7_decompJPEG_1440x1440_Q50, 3.67, 0.402275
piano_simpL9_qp11_qt6_decompJPEG_2048x2048_Q25, 2.92, 0.513056
piano_simpL9_qp11_qt7_decompJPEG_1440x1440_Q25, 3.70, 0.413304
piano_simpL9_qp11_qt7_decompJPEG_512x512_Q25, 3.65, 0.498311
piano_simpL9_qp8_qt6_decompJPEG_1440x1440_Q75, 3.07, 0.548384
piano_simpL9_qp8_qt6_decompJPEG_2048x2048_Q75, 3.19, 0.548541
piano_simpL9_qp9_qt6_decompJPEG_1024x1024_Q90, 3.19, 0.533958
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q25, 3.33, 0.541393
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q50, 3.09, 0.534585
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q90, 3.09, 0.532753
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q75, 3.00, 0.532853
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.44, 0.531891
piano_simpL9_qp9_qt6_decompJPEG_712x712_Q90, 3.02, 0.551020
piano_simpL9_qp9_qt7_decompJPEG_1440x1440_Q25, 3.56, 0.419088
piano_simpL9_qp9_qt7_decompJPEG_2048x2048_Q50, 3.57, 0.409598
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q25, 3.55, 0.507482
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q75, 3.52, 0.460599
