ObjectName, MOS, LPIPS
dino_retopo_uv_simpL10_qp10_qt10_decompJPEG_1024x1024_Q90, 1.86, 0.716965
dino_retopo_uv_simpL10_qp11_qt9_decompJPEG_1024x1024_Q90, 1.68, 0.735646
dino_retopo_uv_simpL10_qp9_qt9_decompJPEG_1024x1024_Q90, 1.72, 0.729183
dino_retopo_uv_simpL1_qp10_qt6_decompJPEG_712x712_Q10, 2.09, 0.731914
dino_retopo_uv_simpL1_qp10_qt7_decompJPEG_1024x1024_Q25, 3.07, 0.529237
dino_retopo_uv_simpL1_qp10_qt8_decompJPEG_2048x2048_Q25, 3.21, 0.459079
dino_retopo_uv_simpL1_qp10_qt9_decompJPEG_2048x2048_Q10, 4.42, 0.231713
dino_retopo_uv_simpL1_qp11_qt7_decompJPEG_512x512_Q90, 3.21, 0.410680
dino_retopo_uv_simpL1_qp9_qt9_decompJPEG_1440x1440_Q10, 4.05, 0.546260
dino_retopo_uv_simpL1_qp9_qt9_decompJPEG_1440x1440_Q25, 4.50, 0.492714
dino_retopo_uv_simpL2_qp11_qt6_decompJPEG_1024x1024_Q25, 1.85, 0.680024
dino_retopo_uv_simpL2_qp11_qt8_decompJPEG_2048x2048_Q90, 3.52, 0.386872
dino_retopo_uv_simpL2_qp9_qt9_decompJPEG_1024x1024_Q25, 4.03, 0.483871
dino_retopo_uv_simpL3_qp11_qt6_decompJPEG_2048x2048_Q10, 1.45, 0.717025
dino_retopo_uv_simpL3_qp11_qt6_decompJPEG_712x712_Q50, 1.86, 0.645474
dino_retopo_uv_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 3.28, 0.649750
dino_retopo_uv_simpL4_qp10_qt6_decompJPEG_512x512_Q25, 2.24, 0.689133
dino_retopo_uv_simpL4_qp10_qt8_decompJPEG_512x512_Q90, 4.20, 0.242517
dino_retopo_uv_simpL4_qp11_qt6_decompJPEG_1440x1440_Q50, 1.66, 0.697819
dino_retopo_uv_simpL4_qp11_qt6_decompJPEG_712x712_Q50, 1.98, 0.643255
dino_retopo_uv_simpL4_qp9_qt8_decompJPEG_1024x1024_Q10, 4.02, 0.627859
dino_retopo_uv_simpL4_qp9_qt8_decompJPEG_1440x1440_Q25, 3.70, 0.629539
dino_retopo_uv_simpL4_qp9_qt8_decompJPEG_1440x1440_Q75, 3.29, 0.626751
dino_retopo_uv_simpL5_qp10_qt8_decompJPEG_512x512_Q75, 4.51, 0.254291
dino_retopo_uv_simpL5_qp10_qt9_decompJPEG_2048x2048_Q10, 4.30, 0.234304
dino_retopo_uv_simpL5_qp11_qt6_decompJPEG_712x712_Q50, 1.93, 0.639400
dino_retopo_uv_simpL5_qp9_qt10_decompJPEG_1440x1440_Q10, 3.86, 0.526012
dino_retopo_uv_simpL5_qp9_qt10_decompJPEG_2048x2048_Q10, 3.79, 0.518350
dino_retopo_uv_simpL5_qp9_qt8_decompJPEG_1024x1024_Q75, 3.79, 0.585741
dino_retopo_uv_simpL5_qp9_qt8_decompJPEG_2048x2048_Q50, 3.49, 0.634476
dino_retopo_uv_simpL5_qp9_qt9_decompJPEG_2048x2048_Q10, 3.47, 0.529987
dino_retopo_uv_simpL6_qp10_qt6_decompJPEG_712x712_Q50, 2.27, 0.687638
dino_retopo_uv_simpL6_qp11_qt6_decompJPEG_512x512_Q25, 2.28, 0.623308
dino_retopo_uv_simpL6_qp11_qt6_decompJPEG_712x712_Q50, 2.05, 0.636284
dino_retopo_uv_simpL6_qp9_qt10_decompJPEG_512x512_Q75, 4.30, 0.446876
dino_retopo_uv_simpL6_qp9_qt7_decompJPEG_1024x1024_Q10, 3.00, 0.727821
dino_retopo_uv_simpL6_qp9_qt8_decompJPEG_2048x2048_Q50, 3.51, 0.599879
dino_retopo_uv_simpL6_qp9_qt8_decompJPEG_512x512_Q50, 3.80, 0.512583
dino_retopo_uv_simpL6_qp9_qt8_decompJPEG_712x712_Q90, 3.48, 0.518260
dino_retopo_uv_simpL7_qp10_qt6_decompJPEG_1024x1024_Q25, 2.23, 0.691802
dino_retopo_uv_simpL7_qp10_qt6_decompJPEG_1440x1440_Q50, 1.98, 0.721138
dino_retopo_uv_simpL7_qp10_qt6_decompJPEG_2048x2048_Q10, 1.79, 0.740049
dino_retopo_uv_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 2.27, 0.669884
dino_retopo_uv_simpL7_qp11_qt8_decompJPEG_1440x1440_Q10, 4.15, 0.284878
dino_retopo_uv_simpL7_qp7_qt6_decompJPEG_1024x1024_Q50, 1.07, 0.961229
dino_retopo_uv_simpL7_qp9_qt10_decompJPEG_512x512_Q25, 4.00, 0.477976
dino_retopo_uv_simpL7_qp9_qt8_decompJPEG_1440x1440_Q10, 3.60, 0.570495
dino_retopo_uv_simpL8_qp10_qt6_decompJPEG_1024x1024_Q25, 2.30, 0.692776
dino_retopo_uv_simpL8_qp9_qt10_decompJPEG_1024x1024_Q25, 3.98, 0.397945
dino_retopo_uv_simpL8_qp9_qt6_decompJPEG_2048x2048_Q10, 1.79, 0.812003
dino_retopo_uv_simpL8_qp9_qt6_decompJPEG_2048x2048_Q75, 1.80, 0.802584
dino_retopo_uv_simpL9_qp8_qt10_decompJPEG_1440x1440_Q25, 2.45, 0.734449
dino_retopo_uv_simpL9_qp8_qt10_decompJPEG_1440x1440_Q50, 2.44, 0.731865
dino_retopo_uv_simpL9_qp9_qt6_decompJPEG_512x512_Q50, 2.36, 0.730020
