ObjectName, MOS, LPIPS
statue_simpL1_qp10_qt6_decompJPEG_2048x2048_Q75, 1.45, 0.926904
statue_simpL1_qp10_qt6_decompJPEG_512x512_Q25, 1.64, 0.904489
statue_simpL1_qp11_qt6_decompJPEG_512x512_Q25, 1.51, 0.870301
statue_simpL1_qp8_qt8_decompJPEG_1024x1024_Q25, 2.14, 0.889189
statue_simpL1_qp9_qt6_decompJPEG_1440x1440_Q10, 1.43, 0.979807
statue_simpL2_qp10_qt6_decompJPEG_712x712_Q90, 1.59, 0.906707
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q10, 2.12, 0.898963
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q25, 2.44, 0.869330
statue_simpL2_qp8_qt8_decompJPEG_712x712_Q90, 2.36, 0.870721
statue_simpL2_qp9_qt6_decompJPEG_1024x1024_Q90, 1.60, 0.963318
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 1.49, 0.969320
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 1.54, 0.969209
statue_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 1.60, 0.900859
statue_simpL3_qp10_qt6_decompJPEG_712x712_Q10, 1.66, 0.929425
statue_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.83, 0.862376
statue_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.38, 0.971478
statue_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 1.44, 0.959872
statue_simpL4_qp10_qt6_decompJPEG_512x512_Q50, 1.57, 0.884829
statue_simpL4_qp11_qt6_decompJPEG_712x712_Q10, 1.37, 0.910358
statue_simpL4_qp8_qt10_decompJPEG_1024x1024_Q75, 2.39, 0.842260
statue_simpL4_qp8_qt8_decompJPEG_1024x1024_Q10, 2.26, 0.900419
statue_simpL4_qp9_qt6_decompJPEG_2048x2048_Q90, 1.26, 0.955425
statue_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.50, 0.947822
statue_simpL5_qp10_qt6_decompJPEG_1024x1024_Q50, 1.84, 0.896941
statue_simpL5_qp10_qt6_decompJPEG_1440x1440_Q50, 1.51, 0.904167
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q75, 1.35, 0.905591
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 1.52, 0.905588
statue_simpL5_qp10_qt6_decompJPEG_512x512_Q50, 1.84, 0.881017
statue_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.78, 0.444263
statue_simpL5_qp11_qt6_decompJPEG_1024x1024_Q50, 1.55, 0.878362
statue_simpL5_qp11_qt6_decompJPEG_1440x1440_Q50, 1.61, 0.887393
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q75, 1.41, 0.890837
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 1.58, 0.890893
statue_simpL5_qp11_qt6_decompJPEG_712x712_Q25, 1.51, 0.873087
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.26, 0.977298
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q75, 1.40, 0.979250
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.37, 0.978164
statue_simpL5_qp8_qt8_decompJPEG_1024x1024_Q90, 2.38, 0.875368
statue_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 2.52, 0.894850
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q25, 1.60, 0.956221
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 1.69, 0.954535
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 1.42, 0.952565
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.953703
statue_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.50, 0.968191
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.69, 0.825959
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q50, 2.71, 0.812254
statue_simpL6_qp8_qt6_decompJPEG_2048x2048_Q90, 1.34, 0.977269
statue_simpL7_qp11_qt6_decompJPEG_1440x1440_Q75, 1.57, 0.895449
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q50, 1.21, 0.969935
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q75, 1.16, 0.971844
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q90, 1.34, 0.971827
statue_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.974629
statue_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 3.40, 0.322240
