ObjectName, MOS, LPIPS
JaneAnne_WithBase_simpL1_qp10_qt7_decompJPEG_512x512_Q50, 2.12, 0.774128
JaneAnne_WithBase_simpL1_qp10_qt7_decompJPEG_512x512_Q90, 2.19, 0.764402
JaneAnne_WithBase_simpL1_qp11_qt7_decompJPEG_512x512_Q25, 2.14, 0.757932
JaneAnne_WithBase_simpL1_qp11_qt7_decompJPEG_512x512_Q50, 2.05, 0.771380
JaneAnne_WithBase_simpL1_qp11_qt7_decompJPEG_512x512_Q90, 2.27, 0.762808
JaneAnne_WithBase_simpL1_qp8_qt10_decompJPEG_512x512_Q25, 2.24, 0.601437
JaneAnne_WithBase_simpL1_qp8_qt10_decompJPEG_512x512_Q50, 2.48, 0.606504
JaneAnne_WithBase_simpL1_qp8_qt10_decompJPEG_512x512_Q90, 2.36, 0.591328
JaneAnne_WithBase_simpL1_qp8_qt10_decompJPEG_712x712_Q25, 2.02, 0.606156
JaneAnne_WithBase_simpL1_qp8_qt9_decompJPEG_512x512_Q25, 2.00, 0.733415
JaneAnne_WithBase_simpL2_qp10_qt9_decompJPEG_2048x2048_Q50, 2.66, 0.470910
JaneAnne_WithBase_simpL2_qp11_qt10_decompJPEG_712x712_Q25, 4.19, 0.188271
JaneAnne_WithBase_simpL2_qp11_qt7_decompJPEG_512x512_Q50, 2.33, 0.768542
JaneAnne_WithBase_simpL2_qp8_qt10_decompJPEG_512x512_Q50, 2.39, 0.587466
JaneAnne_WithBase_simpL2_qp9_qt9_decompJPEG_712x712_Q75, 2.62, 0.554780
JaneAnne_WithBase_simpL3_qp10_qt7_decompJPEG_512x512_Q90, 1.91, 0.765604
JaneAnne_WithBase_simpL3_qp11_qt9_decompJPEG_512x512_Q50, 2.91, 0.378306
JaneAnne_WithBase_simpL3_qp8_qt10_decompJPEG_512x512_Q25, 2.35, 0.583929
JaneAnne_WithBase_simpL3_qp9_qt6_decompJPEG_512x512_Q75, 1.81, 0.802341
JaneAnne_WithBase_simpL4_qp10_qt8_decompJPEG_512x512_Q75, 2.42, 0.648362
JaneAnne_WithBase_simpL4_qp9_qt10_decompJPEG_512x512_Q50, 3.45, 0.303100
JaneAnne_WithBase_simpL5_qp11_qt7_decompJPEG_512x512_Q90, 2.21, 0.757575
JaneAnne_WithBase_simpL6_qp10_qt7_decompJPEG_512x512_Q90, 1.93, 0.766871
JaneAnne_WithBase_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.33, 0.531864
JaneAnne_WithBase_simpL6_qp9_qt6_decompJPEG_512x512_Q75, 1.93, 0.793013
JaneAnne_WithBase_simpL7_qp11_qt9_decompJPEG_1024x1024_Q10, 2.98, 0.406406
JaneAnne_WithBase_simpL8_qp10_qt10_decompJPEG_512x512_Q50, 3.48, 0.221412
JaneAnne_WithBase_simpL9_qp10_qt6_decompJPEG_1024x1024_Q50, 1.81, 0.806767
JaneAnne_WithBase_simpL9_qp10_qt6_decompJPEG_512x512_Q10, 1.50, 0.833098
JaneAnne_WithBase_simpL9_qp10_qt6_decompJPEG_512x512_Q75, 1.89, 0.805279
JaneAnne_WithBase_simpL9_qp10_qt6_decompJPEG_512x512_Q90, 1.82, 0.804664
JaneAnne_WithBase_simpL9_qp10_qt7_decompJPEG_712x712_Q50, 1.66, 0.771290
JaneAnne_WithBase_simpL9_qp10_qt9_decompJPEG_1024x1024_Q50, 2.66, 0.408435
JaneAnne_WithBase_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 3.70, 0.250339
JaneAnne_WithBase_simpL9_qp11_qt6_decompJPEG_1024x1024_Q50, 1.82, 0.807268
JaneAnne_WithBase_simpL9_qp11_qt6_decompJPEG_512x512_Q10, 1.76, 0.836238
JaneAnne_WithBase_simpL9_qp11_qt6_decompJPEG_512x512_Q75, 1.80, 0.805222
JaneAnne_WithBase_simpL9_qp11_qt6_decompJPEG_512x512_Q90, 1.91, 0.805134
JaneAnne_WithBase_simpL9_qp11_qt7_decompJPEG_712x712_Q50, 2.07, 0.769099
JaneAnne_WithBase_simpL9_qp7_qt6_decompJPEG_712x712_Q25, 1.16, 0.892129
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_1440x1440_Q50, 1.40, 0.817732
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_2048x2048_Q10, 1.35, 0.830392
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_2048x2048_Q50, 1.48, 0.817724
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_2048x2048_Q75, 1.50, 0.822046
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_512x512_Q10, 1.48, 0.836844
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_512x512_Q75, 1.57, 0.809036
JaneAnne_WithBase_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 1.33, 0.815708
JaneAnne_WithBase_simpL9_qp9_qt10_decompJPEG_512x512_Q50, 3.45, 0.303962
JaneAnne_WithBase_simpL9_qp9_qt6_decompJPEG_1024x1024_Q10, 1.73, 0.824294
JaneAnne_WithBase_simpL9_qp9_qt6_decompJPEG_1024x1024_Q25, 1.63, 0.808696
JaneAnne_WithBase_simpL9_qp9_qt6_decompJPEG_1440x1440_Q10, 1.60, 0.821869
JaneAnne_WithBase_simpL9_qp9_qt6_decompJPEG_512x512_Q10, 1.62, 0.829519
JaneAnne_WithBase_simpL9_qp9_qt9_decompJPEG_2048x2048_Q25, 2.83, 0.450932
