ObjectName, MOS, LPIPS
bear_simpL10_qp10_qt8_decompJPEG_1024x1024_Q25, 2.21, 0.614469
bear_simpL10_qp11_qt10_decompJPEG_1440x1440_Q50, 2.05, 0.563861
bear_simpL10_qp11_qt8_decompJPEG_2048x2048_Q25, 2.16, 0.573235
bear_simpL10_qp7_qt10_decompJPEG_1024x1024_Q75, 2.12, 0.641579
bear_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 2.14, 0.631513
bear_simpL1_qp10_qt6_decompJPEG_1440x1440_Q10, 2.55, 0.562458
bear_simpL1_qp11_qt10_decompJPEG_712x712_Q50, 4.72, 0.175161
bear_simpL1_qp8_qt6_decompJPEG_2048x2048_Q10, 1.30, 0.870849
bear_simpL2_qp10_qt7_decompJPEG_1024x1024_Q10, 3.86, 0.459029
bear_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.43, 0.873668
bear_simpL2_qp8_qt6_decompJPEG_512x512_Q25, 1.42, 0.865075
bear_simpL2_qp9_qt8_decompJPEG_2048x2048_Q50, 3.10, 0.664624
bear_simpL3_qp7_qt6_decompJPEG_1024x1024_Q25, 1.05, 0.938926
bear_simpL4_qp11_qt7_decompJPEG_512x512_Q90, 3.52, 0.254489
bear_simpL4_qp9_qt9_decompJPEG_1024x1024_Q10, 2.95, 0.666996
bear_simpL5_qp11_qt10_decompJPEG_512x512_Q25, 4.19, 0.244753
bear_simpL5_qp7_qt9_decompJPEG_2048x2048_Q75, 1.07, 0.897046
bear_simpL5_qp9_qt8_decompJPEG_1024x1024_Q10, 3.14, 0.644934
bear_simpL5_qp9_qt9_decompJPEG_1440x1440_Q10, 3.09, 0.636530
bear_simpL5_qp9_qt9_decompJPEG_712x712_Q10, 3.05, 0.652340
bear_simpL6_qp10_qt10_decompJPEG_512x512_Q10, 4.26, 0.425048
bear_simpL6_qp11_qt10_decompJPEG_512x512_Q50, 4.09, 0.210824
bear_simpL6_qp11_qt10_decompJPEG_712x712_Q50, 4.51, 0.163513
bear_simpL6_qp7_qt6_decompJPEG_512x512_Q50, 1.09, 0.925851
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 3.05, 0.630841
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q90, 3.27, 0.630789
bear_simpL6_qp9_qt8_decompJPEG_1024x1024_Q25, 3.05, 0.605507
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q50, 4.15, 0.209399
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q75, 4.48, 0.183113
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q90, 4.29, 0.158687
bear_simpL7_qp11_qt9_decompJPEG_512x512_Q50, 4.15, 0.204080
bear_simpL7_qp9_qt10_decompJPEG_512x512_Q75, 3.37, 0.581430
bear_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 3.36, 0.627714
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q50, 4.21, 0.301971
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q75, 4.34, 0.287129
bear_simpL8_qp10_qt8_decompJPEG_512x512_Q25, 3.98, 0.317870
bear_simpL8_qp10_qt9_decompJPEG_512x512_Q50, 4.07, 0.298799
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q50, 4.19, 0.204698
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.27, 0.180015
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q90, 4.39, 0.150756
bear_simpL8_qp11_qt10_decompJPEG_712x712_Q75, 4.62, 0.129284
bear_simpL8_qp11_qt7_decompJPEG_1024x1024_Q10, 3.91, 0.252698
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q50, 4.23, 0.200116
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q75, 4.15, 0.177864
bear_simpL8_qp11_qt9_decompJPEG_712x712_Q25, 4.55, 0.182899
bear_simpL8_qp9_qt6_decompJPEG_1024x1024_Q90, 2.69, 0.613517
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q75, 4.10, 0.503317
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q90, 3.86, 0.503228
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q25, 4.29, 0.267658
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 4.14, 0.228627
bear_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 4.14, 0.198832
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q10, 3.32, 0.323068
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q50, 3.80, 0.224970
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q75, 4.07, 0.200743
bear_simpL9_qp8_qt10_decompJPEG_512x512_Q50, 2.48, 0.753926
bear_simpL9_qp8_qt9_decompJPEG_512x512_Q10, 1.93, 0.779514
bear_simpL9_qp9_qt10_decompJPEG_512x512_Q90, 3.79, 0.422505
bear_simpL9_qp9_qt9_decompJPEG_2048x2048_Q75, 4.32, 0.388070
bear_simpL9_qp9_qt9_decompJPEG_512x512_Q25, 3.77, 0.474758
bear_simpL9_qp9_qt9_decompJPEG_712x712_Q50, 4.16, 0.424391
