ObjectName, MOS, LPIPS
bronzeCat_simpL10_qp10_qt10_decompJPEG_1024x1024_Q50, 2.80, 0.480150
bronzeCat_simpL10_qp10_qt10_decompJPEG_1440x1440_Q50, 2.71, 0.455710
bronzeCat_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90, 2.71, 0.437641
bronzeCat_simpL10_qp10_qt7_decompJPEG_2048x2048_Q50, 2.64, 0.523748
bronzeCat_simpL10_qp10_qt8_decompJPEG_2048x2048_Q50, 2.98, 0.482688
bronzeCat_simpL10_qp11_qt9_decompJPEG_1024x1024_Q25, 2.38, 0.537185
bronzeCat_simpL10_qp8_qt10_decompJPEG_1440x1440_Q90, 2.67, 0.487089
bronzeCat_simpL10_qp8_qt10_decompJPEG_2048x2048_Q90, 2.74, 0.486510
bronzeCat_simpL10_qp8_qt7_decompJPEG_2048x2048_Q90, 2.54, 0.543965
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q75, 2.93, 0.536747
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q90, 2.73, 0.526031
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q25, 2.76, 0.534486
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q75, 2.66, 0.516744
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q90, 2.80, 0.512492
bronzeCat_simpL10_qp8_qt9_decompJPEG_2048x2048_Q25, 2.74, 0.516311
bronzeCat_simpL10_qp9_qt7_decompJPEG_1440x1440_Q25, 2.36, 0.562736
bronzeCat_simpL10_qp9_qt7_decompJPEG_2048x2048_Q25, 2.60, 0.551870
bronzeCat_simpL10_qp9_qt8_decompJPEG_2048x2048_Q25, 2.70, 0.514312
bronzeCat_simpL10_qp9_qt9_decompJPEG_1440x1440_Q25, 3.00, 0.512350
bronzeCat_simpL10_qp9_qt9_decompJPEG_2048x2048_Q25, 2.79, 0.489213
bronzeCat_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.49, 0.275609
bronzeCat_simpL1_qp10_qt8_decompJPEG_1024x1024_Q10, 3.93, 0.575572
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q50, 4.09, 0.492173
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q75, 4.00, 0.463666
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q90, 4.29, 0.433203
bronzeCat_simpL1_qp10_qt9_decompJPEG_1440x1440_Q50, 4.39, 0.295799
bronzeCat_simpL1_qp10_qt9_decompJPEG_2048x2048_Q10, 4.02, 0.445166
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q50, 4.41, 0.450763
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q90, 4.34, 0.361691
bronzeCat_simpL1_qp11_qt9_decompJPEG_512x512_Q75, 4.50, 0.249679
bronzeCat_simpL1_qp11_qt9_decompJPEG_712x712_Q90, 4.69, 0.132070
bronzeCat_simpL2_qp10_qt10_decompJPEG_2048x2048_Q10, 4.33, 0.421084
bronzeCat_simpL2_qp10_qt7_decompJPEG_2048x2048_Q50, 2.70, 0.632990
bronzeCat_simpL2_qp10_qt8_decompJPEG_512x512_Q50, 3.93, 0.484333
bronzeCat_simpL2_qp10_qt9_decompJPEG_1024x1024_Q10, 3.40, 0.513995
bronzeCat_simpL2_qp10_qt9_decompJPEG_2048x2048_Q10, 4.05, 0.438582
bronzeCat_simpL2_qp10_qt9_decompJPEG_512x512_Q90, 4.22, 0.352559
bronzeCat_simpL2_qp11_qt10_decompJPEG_2048x2048_Q10, 4.36, 0.280693
bronzeCat_simpL2_qp9_qt9_decompJPEG_512x512_Q75, 3.14, 0.844623
bronzeCat_simpL3_qp10_qt8_decompJPEG_2048x2048_Q50, 4.05, 0.406474
bronzeCat_simpL3_qp11_qt9_decompJPEG_2048x2048_Q10, 4.23, 0.296674
bronzeCat_simpL3_qp8_qt7_decompJPEG_1440x1440_Q75, 1.50, 0.945762
bronzeCat_simpL4_qp10_qt7_decompJPEG_2048x2048_Q10, 2.50, 0.696374
bronzeCat_simpL5_qp11_qt9_decompJPEG_2048x2048_Q10, 4.37, 0.299068
bronzeCat_simpL5_qp9_qt10_decompJPEG_2048x2048_Q50, 3.21, 0.712640
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q75, 3.30, 0.736116
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q90, 3.05, 0.724162
bronzeCat_simpL6_qp9_qt9_decompJPEG_2048x2048_Q90, 3.45, 0.703923
bronzeCat_simpL7_qp9_qt10_decompJPEG_512x512_Q90, 3.12, 0.695499
bronzeCat_simpL7_qp9_qt8_decompJPEG_1024x1024_Q75, 3.30, 0.695634
bronzeCat_simpL8_qp10_qt7_decompJPEG_1440x1440_Q50, 3.30, 0.478539
bronzeCat_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.23, 0.256736
bronzeCat_simpL8_qp9_qt9_decompJPEG_712x712_Q25, 3.78, 0.654183
bronzeCat_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.31, 0.421468
bronzeCat_simpL9_qp11_qt10_decompJPEG_512x512_Q25, 3.51, 0.389068
bronzeCat_simpL9_qp11_qt7_decompJPEG_1024x1024_Q75, 3.48, 0.361254
bronzeCat_simpL9_qp11_qt8_decompJPEG_512x512_Q25, 3.59, 0.378170
bronzeCat_simpL9_qp9_qt9_decompJPEG_1440x1440_Q10, 3.54, 0.582004
