ObjectName, MOS, LPIPS
rescue_craft_simpL1_qp10_qt7_decompJPEG_2048x2048_Q25, 3.24, 0.567857
rescue_craft_simpL1_qp10_qt7_decompJPEG_512x512_Q25, 3.54, 0.564405
rescue_craft_simpL1_qp11_qt6_decompJPEG_712x712_Q50, 2.73, 0.667011
rescue_craft_simpL1_qp8_qt7_decompJPEG_1440x1440_Q25, 1.30, 0.843268
rescue_craft_simpL1_qp9_qt9_decompJPEG_512x512_Q50, 2.65, 0.578614
rescue_craft_simpL2_qp10_qt8_decompJPEG_712x712_Q50, 3.64, 0.350435
rescue_craft_simpL2_qp11_qt8_decompJPEG_1440x1440_Q90, 4.49, 0.230316
rescue_craft_simpL2_qp9_qt6_decompJPEG_512x512_Q10, 2.34, 0.907789
rescue_craft_simpL3_qp10_qt8_decompJPEG_712x712_Q10, 3.70, 0.518838
rescue_craft_simpL4_qp10_qt8_decompJPEG_712x712_Q75, 3.62, 0.330221
rescue_craft_simpL4_qp11_qt9_decompJPEG_712x712_Q10, 4.21, 0.373579
rescue_craft_simpL4_qp9_qt7_decompJPEG_1024x1024_Q50, 2.23, 0.692804
rescue_craft_simpL5_qp11_qt10_decompJPEG_512x512_Q10, 3.73, 0.505645
rescue_craft_simpL5_qp11_qt10_decompJPEG_712x712_Q10, 4.26, 0.367109
rescue_craft_simpL6_qp10_qt10_decompJPEG_1440x1440_Q50, 4.02, 0.226080
rescue_craft_simpL6_qp11_qt10_decompJPEG_512x512_Q25, 4.07, 0.274196
rescue_craft_simpL6_qp11_qt10_decompJPEG_712x712_Q10, 4.00, 0.368182
rescue_craft_simpL6_qp8_qt7_decompJPEG_2048x2048_Q90, 1.64, 0.821665
rescue_craft_simpL7_qp10_qt6_decompJPEG_512x512_Q25, 2.98, 0.715896
rescue_craft_simpL7_qp10_qt8_decompJPEG_712x712_Q90, 3.54, 0.295011
rescue_craft_simpL7_qp11_qt7_decompJPEG_2048x2048_Q10, 3.71, 0.472936
rescue_craft_simpL7_qp11_qt8_decompJPEG_712x712_Q10, 3.79, 0.406831
rescue_craft_simpL7_qp11_qt9_decompJPEG_712x712_Q10, 3.95, 0.389124
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q50, 2.60, 0.636002
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q90, 2.48, 0.633804
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q10, 3.45, 0.456449
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q50, 3.67, 0.242511
rescue_craft_simpL8_qp10_qt8_decompJPEG_2048x2048_Q25, 3.58, 0.296553
rescue_craft_simpL8_qp10_qt9_decompJPEG_1024x1024_Q25, 3.84, 0.250638
rescue_craft_simpL8_qp11_qt10_decompJPEG_512x512_Q25, 3.72, 0.303760
rescue_craft_simpL8_qp11_qt7_decompJPEG_512x512_Q75, 3.45, 0.384271
rescue_craft_simpL9_qp10_qt10_decompJPEG_1440x1440_Q25, 3.59, 0.225123
rescue_craft_simpL9_qp10_qt6_decompJPEG_1024x1024_Q50, 2.24, 0.673181
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q10, 2.88, 0.508335
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q75, 2.91, 0.423978
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q25, 2.88, 0.432057
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.07, 0.419037
rescue_craft_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25, 3.16, 0.429986
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 2.93, 0.468412
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q50, 3.00, 0.430982
rescue_craft_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 3.02, 0.442247
rescue_craft_simpL9_qp10_qt8_decompJPEG_1440x1440_Q25, 3.20, 0.289800
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q25, 3.14, 0.377603
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q50, 3.26, 0.338411
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q75, 3.20, 0.311555
rescue_craft_simpL9_qp11_qt8_decompJPEG_1024x1024_Q50, 3.19, 0.251438
rescue_craft_simpL9_qp8_qt10_decompJPEG_1024x1024_Q10, 1.70, 0.702889
rescue_craft_simpL9_qp8_qt10_decompJPEG_712x712_Q10, 1.79, 0.765585
rescue_craft_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 1.51, 0.867553
rescue_craft_simpL9_qp8_qt9_decompJPEG_1024x1024_Q90, 1.93, 0.615062
rescue_craft_simpL9_qp8_qt9_decompJPEG_2048x2048_Q50, 1.84, 0.618215
rescue_craft_simpL9_qp9_qt7_decompJPEG_1440x1440_Q10, 2.52, 0.567930
rescue_craft_simpL9_qp9_qt8_decompJPEG_1440x1440_Q10, 2.64, 0.445500
