ObjectName, MOS, LPIPS
1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q50, 3.81, 0.223989
1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q75, 3.59, 0.222641
1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90, 3.81, 0.222050
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q25, 3.58, 0.309620
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q50, 3.60, 0.301325
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q75, 3.57, 0.297643
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q90, 3.49, 0.294481
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1440x1440_Q75, 3.22, 0.293695
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q25, 3.59, 0.296102
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q50, 3.41, 0.294890
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q75, 3.42, 0.292488
1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q90, 3.45, 0.292168
1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q50, 3.77, 0.244501
1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q75, 3.79, 0.240604
1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q90, 3.71, 0.238196
1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_2048x2048_Q90, 3.71, 0.232559
1970.16_Neck_Amphora_100K_simpL10_qp11_qt6_decompJPEG_1024x1024_Q25, 3.27, 0.468121
1970.16_Neck_Amphora_100K_simpL10_qp11_qt7_decompJPEG_1024x1024_Q75, 3.64, 0.296073
1970.16_Neck_Amphora_100K_simpL10_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.293070
1970.16_Neck_Amphora_100K_simpL10_qp7_qt7_decompJPEG_2048x2048_Q10, 3.45, 0.375668
1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q25, 3.69, 0.315777
1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q50, 3.60, 0.307454
1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q90, 3.58, 0.299018
1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1440x1440_Q25, 3.29, 0.304582
1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q50, 3.28, 0.459864
1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q75, 3.41, 0.458437
1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q90, 3.02, 0.457490
1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_2048x2048_Q75, 3.33, 0.457142
1970.16_Neck_Amphora_100K_simpL10_qp9_qt7_decompJPEG_1024x1024_Q90, 3.73, 0.296081
1970.16_Neck_Amphora_100K_simpL10_qp9_qt7_decompJPEG_2048x2048_Q90, 3.46, 0.293579
1970.16_Neck_Amphora_100K_simpL10_qp9_qt9_decompJPEG_1024x1024_Q75, 3.75, 0.238469
1970.16_Neck_Amphora_100K_simpL10_qp9_qt9_decompJPEG_1440x1440_Q50, 3.67, 0.234064
1970.16_Neck_Amphora_100K_simpL1_qp11_qt10_decompJPEG_512x512_Q25, 4.05, 0.231570
1970.16_Neck_Amphora_100K_simpL1_qp11_qt10_decompJPEG_512x512_Q50, 4.42, 0.159747
1970.16_Neck_Amphora_100K_simpL2_qp11_qt10_decompJPEG_512x512_Q50, 4.51, 0.159922
1970.16_Neck_Amphora_100K_simpL3_qp11_qt10_decompJPEG_512x512_Q50, 4.26, 0.161404
1970.16_Neck_Amphora_100K_simpL3_qp9_qt10_decompJPEG_512x512_Q25, 3.71, 0.375319
1970.16_Neck_Amphora_100K_simpL4_qp10_qt9_decompJPEG_512x512_Q50, 4.12, 0.214683
1970.16_Neck_Amphora_100K_simpL4_qp11_qt10_decompJPEG_512x512_Q25, 3.88, 0.232921
1970.16_Neck_Amphora_100K_simpL4_qp8_qt9_decompJPEG_512x512_Q50, 3.31, 0.569988
1970.16_Neck_Amphora_100K_simpL5_qp11_qt10_decompJPEG_512x512_Q50, 4.28, 0.164627
1970.16_Neck_Amphora_100K_simpL5_qp9_qt10_decompJPEG_512x512_Q50, 4.16, 0.302466
1970.16_Neck_Amphora_100K_simpL6_qp11_qt9_decompJPEG_512x512_Q25, 3.47, 0.259897
1970.16_Neck_Amphora_100K_simpL6_qp9_qt9_decompJPEG_512x512_Q50, 3.88, 0.311305
1970.16_Neck_Amphora_100K_simpL9_qp10_qt7_decompJPEG_1024x1024_Q75, 3.77, 0.309536
1970.16_Neck_Amphora_100K_simpL9_qp11_qt7_decompJPEG_1024x1024_Q75, 3.83, 0.309173
1970.16_Neck_Amphora_100K_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.59, 0.308179
1970.16_Neck_Amphora_100K_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 3.44, 0.308786
1970.16_Neck_Amphora_100K_simpL9_qp9_qt7_decompJPEG_1024x1024_Q90, 3.64, 0.322147
1970.16_Neck_Amphora_100K_simpL9_qp9_qt7_decompJPEG_2048x2048_Q25, 3.76, 0.326755
1970.16_Neck_Amphora_100K_simpL9_qp9_qt8_decompJPEG_1024x1024_Q50, 3.98, 0.159881
1970.16_Neck_Amphora_100K_simpL9_qp9_qt8_decompJPEG_1440x1440_Q25, 4.33, 0.157005
1970.16_Neck_Amphora_100K_simpL9_qp9_qt8_decompJPEG_1440x1440_Q90, 4.00, 0.147805
1970.16_Neck_Amphora_100K_simpL9_qp9_qt8_decompJPEG_2048x2048_Q75, 3.86, 0.148239
