ObjectName, MOS, LPIPS
Jomon_bakedUV_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 1.23, 0.766739
Jomon_bakedUV_simpL10_qp7_qt8_decompJPEG_512x512_Q10, 1.11, 0.928113
Jomon_bakedUV_simpL10_qp7_qt9_decompJPEG_1440x1440_Q50, 1.34, 0.789087
Jomon_bakedUV_simpL10_qp9_qt10_decompJPEG_1440x1440_Q90, 1.48, 0.747245
Jomon_bakedUV_simpL1_qp10_qt6_decompJPEG_2048x2048_Q90, 2.21, 0.524139
Jomon_bakedUV_simpL1_qp11_qt6_decompJPEG_1440x1440_Q90, 2.16, 0.447192
Jomon_bakedUV_simpL1_qp11_qt6_decompJPEG_2048x2048_Q90, 2.05, 0.457535
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 3.43, 0.281334
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_1440x1440_Q90, 3.53, 0.280296
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_512x512_Q10, 3.20, 0.434380
Jomon_bakedUV_simpL1_qp9_qt6_decompJPEG_712x712_Q25, 2.42, 0.672124
Jomon_bakedUV_simpL2_qp11_qt6_decompJPEG_2048x2048_Q90, 2.27, 0.457298
Jomon_bakedUV_simpL2_qp8_qt10_decompJPEG_1440x1440_Q25, 2.74, 0.619082
Jomon_bakedUV_simpL2_qp8_qt9_decompJPEG_512x512_Q90, 2.84, 0.640991
Jomon_bakedUV_simpL2_qp9_qt6_decompJPEG_1024x1024_Q10, 2.17, 0.720797
Jomon_bakedUV_simpL2_qp9_qt7_decompJPEG_1440x1440_Q90, 3.40, 0.530662
Jomon_bakedUV_simpL3_qp10_qt6_decompJPEG_2048x2048_Q90, 2.49, 0.519797
Jomon_bakedUV_simpL3_qp10_qt7_decompJPEG_512x512_Q10, 3.19, 0.484849
Jomon_bakedUV_simpL3_qp11_qt6_decompJPEG_1024x1024_Q90, 2.32, 0.444829
Jomon_bakedUV_simpL3_qp11_qt6_decompJPEG_2048x2048_Q90, 2.36, 0.456510
Jomon_bakedUV_simpL3_qp8_qt9_decompJPEG_1024x1024_Q90, 2.98, 0.581791
Jomon_bakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q75, 2.59, 0.506595
Jomon_bakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q90, 2.07, 0.511773
Jomon_bakedUV_simpL4_qp11_qt6_decompJPEG_2048x2048_Q90, 2.42, 0.456523
Jomon_bakedUV_simpL4_qp11_qt6_decompJPEG_712x712_Q25, 2.91, 0.450941
Jomon_bakedUV_simpL4_qp8_qt8_decompJPEG_712x712_Q90, 2.84, 0.624416
Jomon_bakedUV_simpL4_qp9_qt7_decompJPEG_512x512_Q75, 3.52, 0.533828
Jomon_bakedUV_simpL5_qp10_qt6_decompJPEG_2048x2048_Q50, 2.21, 0.511638
Jomon_bakedUV_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 2.23, 0.503223
Jomon_bakedUV_simpL5_qp10_qt7_decompJPEG_512x512_Q10, 3.14, 0.478337
Jomon_bakedUV_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 2.20, 0.460923
Jomon_bakedUV_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.82, 0.810508
Jomon_bakedUV_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 2.14, 0.633912
Jomon_bakedUV_simpL6_qp10_qt10_decompJPEG_2048x2048_Q10, 3.95, 0.241611
Jomon_bakedUV_simpL6_qp11_qt7_decompJPEG_1440x1440_Q25, 3.75, 0.294571
Jomon_bakedUV_simpL6_qp11_qt7_decompJPEG_2048x2048_Q25, 3.50, 0.304502
Jomon_bakedUV_simpL6_qp7_qt6_decompJPEG_1440x1440_Q90, 1.14, 0.897447
Jomon_bakedUV_simpL6_qp8_qt10_decompJPEG_512x512_Q90, 3.22, 0.595967
Jomon_bakedUV_simpL6_qp8_qt7_decompJPEG_2048x2048_Q75, 2.58, 0.687007
Jomon_bakedUV_simpL6_qp8_qt9_decompJPEG_2048x2048_Q10, 2.83, 0.637262
Jomon_bakedUV_simpL7_qp10_qt10_decompJPEG_712x712_Q25, 4.09, 0.233422
Jomon_bakedUV_simpL7_qp10_qt7_decompJPEG_2048x2048_Q10, 3.22, 0.435197
Jomon_bakedUV_simpL7_qp8_qt10_decompJPEG_1440x1440_Q10, 2.84, 0.636136
Jomon_bakedUV_simpL7_qp8_qt10_decompJPEG_2048x2048_Q10, 2.98, 0.616779
Jomon_bakedUV_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.73, 0.633612
Jomon_bakedUV_simpL8_qp10_qt9_decompJPEG_712x712_Q10, 2.95, 0.390173
Jomon_bakedUV_simpL8_qp11_qt7_decompJPEG_512x512_Q10, 2.63, 0.467869
Jomon_bakedUV_simpL8_qp8_qt10_decompJPEG_1440x1440_Q10, 2.50, 0.596953
Jomon_bakedUV_simpL8_qp8_qt8_decompJPEG_2048x2048_Q25, 3.19, 0.563359
Jomon_bakedUV_simpL8_qp8_qt9_decompJPEG_512x512_Q75, 2.89, 0.559289
Jomon_bakedUV_simpL9_qp10_qt6_decompJPEG_2048x2048_Q50, 1.85, 0.583420
Jomon_bakedUV_simpL9_qp10_qt7_decompJPEG_712x712_Q90, 3.07, 0.339734
Jomon_bakedUV_simpL9_qp9_qt6_decompJPEG_1440x1440_Q75, 1.41, 0.614311
Jomon_bakedUV_simpL9_qp9_qt8_decompJPEG_512x512_Q25, 2.86, 0.430215
