ObjectName, MOS, LPIPS
Orchid_simpL1_qp11_qt7_decompJPEG_1024x1024_Q75, 4.57, 0.167725
Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50, 4.62, 0.169455
Orchid_simpL1_qp8_qt8_decompJPEG_2048x2048_Q10, 3.81, 0.370764
Orchid_simpL1_qp8_qt9_decompJPEG_1440x1440_Q10, 3.86, 0.371549
Orchid_simpL1_qp9_qt6_decompJPEG_512x512_Q10, 2.86, 0.288912
Orchid_simpL1_qp9_qt7_decompJPEG_512x512_Q75, 4.39, 0.240497
Orchid_simpL2_qp10_qt6_decompJPEG_1440x1440_Q10, 3.46, 0.227395
Orchid_simpL2_qp10_qt7_decompJPEG_512x512_Q75, 4.52, 0.171527
Orchid_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.09, 0.201629
Orchid_simpL2_qp11_qt6_decompJPEG_2048x2048_Q75, 3.75, 0.201443
Orchid_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 4.63, 0.170144
Orchid_simpL2_qp9_qt9_decompJPEG_512x512_Q50, 4.60, 0.220370
Orchid_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.45, 0.207383
Orchid_simpL3_qp10_qt7_decompJPEG_2048x2048_Q25, 4.67, 0.181690
Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 4.39, 0.309284
Orchid_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 4.62, 0.211872
Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75, 4.84, 0.161698
Orchid_simpL4_qp11_qt7_decompJPEG_712x712_Q25, 4.30, 0.174244
Orchid_simpL6_qp8_qt6_decompJPEG_1440x1440_Q25, 3.28, 0.311086
Orchid_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 3.62, 0.225774
Orchid_simpL8_qp10_qt6_decompJPEG_512x512_Q10, 3.09, 0.267383
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.239315
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q50, 4.11, 0.222436
Orchid_simpL8_qp8_qt6_decompJPEG_1024x1024_Q75, 3.22, 0.307615
Orchid_simpL8_qp8_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.292806
Orchid_simpL8_qp8_qt8_decompJPEG_1024x1024_Q25, 4.24, 0.282655
Orchid_simpL9_qp10_qt7_decompJPEG_1024x1024_Q50, 4.36, 0.290109
Orchid_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 3.93, 0.297477
Orchid_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 4.00, 0.291429
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50, 4.05, 0.287671
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.286473
Orchid_simpL9_qp11_qt7_decompJPEG_1440x1440_Q10, 3.95, 0.312551
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q50, 4.20, 0.288950
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q75, 4.47, 0.287688
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 4.31, 0.286920
Orchid_simpL9_qp11_qt9_decompJPEG_1024x1024_Q90, 4.14, 0.277880
Orchid_simpL9_qp11_qt9_decompJPEG_1440x1440_Q90, 4.42, 0.279263
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q75, 4.16, 0.279050
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q90, 4.16, 0.278884
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q50, 3.83, 0.319468
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q75, 4.12, 0.319077
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q10, 3.96, 0.338991
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q25, 4.09, 0.322751
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q10, 3.93, 0.337639
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 3.86, 0.319626
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 4.07, 0.317910
Orchid_simpL9_qp8_qt7_decompJPEG_512x512_Q25, 3.77, 0.327663
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q10, 3.49, 0.340233
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q25, 3.98, 0.321426
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 4.00, 0.320402
Orchid_simpL9_qp8_qt8_decompJPEG_2048x2048_Q10, 4.10, 0.336463
Orchid_simpL9_qp8_qt8_decompJPEG_512x512_Q25, 3.74, 0.326926
Orchid_simpL9_qp8_qt9_decompJPEG_1440x1440_Q10, 4.10, 0.337523
Orchid_simpL9_qp8_qt9_decompJPEG_2048x2048_Q10, 4.14, 0.336535
