ObjectName, MOS, LPIPS
statue_simpL1_qp10_qt6_decompJPEG_2048x2048_Q75, 1.45, 0.883198
statue_simpL1_qp10_qt6_decompJPEG_512x512_Q25, 1.64, 0.853571
statue_simpL1_qp11_qt6_decompJPEG_512x512_Q25, 1.51, 0.811516
statue_simpL1_qp8_qt8_decompJPEG_1024x1024_Q25, 2.14, 0.827654
statue_simpL1_qp9_qt6_decompJPEG_1440x1440_Q10, 1.43, 0.961664
statue_simpL2_qp10_qt6_decompJPEG_712x712_Q90, 1.59, 0.850868
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q10, 2.12, 0.857181
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q25, 2.44, 0.814948
statue_simpL2_qp8_qt8_decompJPEG_712x712_Q90, 2.36, 0.818444
statue_simpL2_qp9_qt6_decompJPEG_1024x1024_Q90, 1.60, 0.946677
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 1.49, 0.954965
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 1.54, 0.955505
statue_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 1.60, 0.840619
statue_simpL3_qp10_qt6_decompJPEG_712x712_Q10, 1.66, 0.877523
statue_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.83, 0.800150
statue_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.38, 0.956273
statue_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 1.44, 0.946990
statue_simpL4_qp10_qt6_decompJPEG_512x512_Q50, 1.57, 0.832289
statue_simpL4_qp11_qt6_decompJPEG_712x712_Q10, 1.37, 0.847022
statue_simpL4_qp8_qt10_decompJPEG_1024x1024_Q75, 2.39, 0.779088
statue_simpL4_qp8_qt8_decompJPEG_1024x1024_Q10, 2.26, 0.854642
statue_simpL4_qp9_qt6_decompJPEG_2048x2048_Q90, 1.26, 0.942022
statue_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.50, 0.934640
statue_simpL5_qp10_qt6_decompJPEG_1024x1024_Q50, 1.84, 0.850273
statue_simpL5_qp10_qt6_decompJPEG_1440x1440_Q50, 1.51, 0.866284
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q75, 1.35, 0.870670
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 1.52, 0.870715
statue_simpL5_qp10_qt6_decompJPEG_512x512_Q50, 1.84, 0.828645
statue_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.78, 0.367994
statue_simpL5_qp11_qt6_decompJPEG_1024x1024_Q50, 1.55, 0.826350
statue_simpL5_qp11_qt6_decompJPEG_1440x1440_Q50, 1.61, 0.843811
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q75, 1.41, 0.849945
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 1.58, 0.849171
statue_simpL5_qp11_qt6_decompJPEG_712x712_Q25, 1.51, 0.820205
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.26, 0.985726
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q75, 1.40, 0.986504
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.37, 0.985937
statue_simpL5_qp8_qt8_decompJPEG_1024x1024_Q90, 2.38, 0.801473
statue_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 2.52, 0.835810
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q25, 1.60, 0.937291
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 1.69, 0.939352
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 1.42, 0.935730
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.936724
statue_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.50, 0.949760
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.69, 0.755168
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q50, 2.71, 0.735795
statue_simpL6_qp8_qt6_decompJPEG_2048x2048_Q90, 1.34, 0.983281
statue_simpL7_qp11_qt6_decompJPEG_1440x1440_Q75, 1.57, 0.848345
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q50, 1.21, 0.971024
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q75, 1.16, 0.973833
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q90, 1.34, 0.972639
statue_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.973393
statue_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 3.40, 0.255893
