ObjectName, MOS, LPIPS
load_objects_simpL10_qp7_qt6_decompJPEG_1440x1440_Q10, 1.95, 0.874705
load_objects_simpL10_qp7_qt8_decompJPEG_1440x1440_Q75, 2.14, 0.768218
load_objects_simpL10_qp8_qt10_decompJPEG_512x512_Q50, 2.00, 0.801941
load_objects_simpL10_qp8_qt8_decompJPEG_1440x1440_Q25, 2.24, 0.766385
load_objects_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 2.12, 0.818132
load_objects_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.00, 0.397012
load_objects_simpL1_qp10_qt6_decompJPEG_712x712_Q75, 3.61, 0.511758
load_objects_simpL1_qp8_qt7_decompJPEG_2048x2048_Q10, 1.59, 0.970428
load_objects_simpL1_qp9_qt10_decompJPEG_2048x2048_Q10, 3.11, 0.818774
load_objects_simpL1_qp9_qt6_decompJPEG_1440x1440_Q25, 2.67, 0.829720
load_objects_simpL1_qp9_qt6_decompJPEG_2048x2048_Q25, 2.52, 0.830290
load_objects_simpL1_qp9_qt8_decompJPEG_712x712_Q25, 3.00, 0.794124
load_objects_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.974413
load_objects_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.76, 0.972912
load_objects_simpL3_qp8_qt10_decompJPEG_2048x2048_Q10, 1.82, 0.966990
load_objects_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 1.77, 0.967731
load_objects_simpL3_qp8_qt7_decompJPEG_1024x1024_Q25, 1.89, 0.963602
load_objects_simpL3_qp8_qt7_decompJPEG_1440x1440_Q25, 1.85, 0.962433
load_objects_simpL3_qp8_qt7_decompJPEG_2048x2048_Q75, 1.88, 0.954682
load_objects_simpL3_qp9_qt10_decompJPEG_1440x1440_Q90, 3.02, 0.747330
load_objects_simpL3_qp9_qt10_decompJPEG_512x512_Q50, 3.24, 0.769427
load_objects_simpL4_qp8_qt10_decompJPEG_512x512_Q10, 1.73, 0.969186
load_objects_simpL4_qp8_qt6_decompJPEG_2048x2048_Q90, 1.74, 0.963050
load_objects_simpL4_qp8_qt8_decompJPEG_2048x2048_Q10, 2.00, 0.967400
load_objects_simpL4_qp8_qt9_decompJPEG_1024x1024_Q25, 1.88, 0.960592
load_objects_simpL5_qp8_qt10_decompJPEG_1024x1024_Q50, 1.95, 0.959992
load_objects_simpL5_qp8_qt6_decompJPEG_1440x1440_Q25, 2.26, 0.971344
load_objects_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.81, 0.971038
load_objects_simpL5_qp8_qt7_decompJPEG_1440x1440_Q25, 1.95, 0.969048
load_objects_simpL6_qp7_qt10_decompJPEG_1440x1440_Q90, 1.10, 0.984501
load_objects_simpL6_qp7_qt7_decompJPEG_1440x1440_Q75, 1.19, 0.986895
load_objects_simpL6_qp8_qt6_decompJPEG_1440x1440_Q10, 2.12, 0.974976
load_objects_simpL6_qp8_qt6_decompJPEG_512x512_Q90, 1.95, 0.969024
load_objects_simpL6_qp8_qt7_decompJPEG_512x512_Q10, 1.86, 0.974599
load_objects_simpL6_qp9_qt6_decompJPEG_2048x2048_Q75, 3.33, 0.781518
load_objects_simpL6_qp9_qt9_decompJPEG_712x712_Q25, 3.58, 0.745350
load_objects_simpL7_qp7_qt10_decompJPEG_1440x1440_Q90, 1.16, 0.983742
load_objects_simpL7_qp7_qt10_decompJPEG_2048x2048_Q90, 1.20, 0.983887
load_objects_simpL7_qp7_qt6_decompJPEG_2048x2048_Q90, 1.16, 0.990508
load_objects_simpL7_qp7_qt9_decompJPEG_2048x2048_Q90, 1.30, 0.984482
load_objects_simpL7_qp8_qt6_decompJPEG_1024x1024_Q10, 2.35, 0.966055
load_objects_simpL7_qp8_qt6_decompJPEG_2048x2048_Q25, 2.39, 0.960221
load_objects_simpL7_qp8_qt7_decompJPEG_1024x1024_Q10, 2.46, 0.962754
load_objects_simpL7_qp8_qt8_decompJPEG_1024x1024_Q10, 2.19, 0.962227
load_objects_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.30, 0.961755
load_objects_simpL7_qp9_qt6_decompJPEG_2048x2048_Q50, 3.26, 0.770634
load_objects_simpL8_qp8_qt10_decompJPEG_1024x1024_Q25, 2.56, 0.940906
load_objects_simpL8_qp8_qt10_decompJPEG_2048x2048_Q10, 2.41, 0.951196
load_objects_simpL8_qp8_qt10_decompJPEG_512x512_Q90, 2.49, 0.928569
load_objects_simpL8_qp8_qt6_decompJPEG_1440x1440_Q25, 2.60, 0.948326
load_objects_simpL8_qp8_qt9_decompJPEG_2048x2048_Q10, 2.25, 0.951764
load_objects_simpL9_qp7_qt6_decompJPEG_2048x2048_Q10, 1.50, 0.987153
load_objects_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.50, 0.580753
