ObjectName, MOS, LPIPS
Boiler_simpL10_qp10_qt10_decompJPEG_512x512_Q25, 1.95, 0.455919
Boiler_simpL10_qp10_qt9_decompJPEG_2048x2048_Q75, 2.14, 0.413396
Boiler_simpL10_qp11_qt10_decompJPEG_2048x2048_Q90, 2.05, 0.400019
Boiler_simpL10_qp11_qt7_decompJPEG_2048x2048_Q75, 2.05, 0.426240
Boiler_simpL10_qp11_qt9_decompJPEG_1440x1440_Q25, 2.10, 0.431063
Boiler_simpL10_qp8_qt6_decompJPEG_1024x1024_Q50, 1.80, 0.516784
Boiler_simpL10_qp8_qt6_decompJPEG_1440x1440_Q10, 1.60, 0.547530
Boiler_simpL10_qp8_qt6_decompJPEG_1440x1440_Q25, 1.95, 0.529004
Boiler_simpL10_qp8_qt7_decompJPEG_512x512_Q10, 1.76, 0.576980
Boiler_simpL10_qp8_qt7_decompJPEG_712x712_Q50, 2.02, 0.435366
Boiler_simpL10_qp9_qt10_decompJPEG_2048x2048_Q90, 2.19, 0.407584
Boiler_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 1.70, 0.514754
Boiler_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 1.91, 0.530628
Boiler_simpL1_qp11_qt6_decompJPEG_1024x1024_Q10, 3.07, 0.270002
Boiler_simpL1_qp11_qt6_decompJPEG_512x512_Q50, 3.25, 0.243547
Boiler_simpL1_qp11_qt8_decompJPEG_512x512_Q75, 4.60, 0.074862
Boiler_simpL1_qp9_qt10_decompJPEG_512x512_Q90, 3.47, 0.330977
Boiler_simpL1_qp9_qt9_decompJPEG_1440x1440_Q25, 3.16, 0.344082
Boiler_simpL1_qp9_qt9_decompJPEG_512x512_Q90, 3.21, 0.338588
Boiler_simpL2_qp11_qt6_decompJPEG_1440x1440_Q10, 2.93, 0.277139
Boiler_simpL2_qp9_qt10_decompJPEG_2048x2048_Q50, 3.26, 0.320572
Boiler_simpL4_qp7_qt10_decompJPEG_2048x2048_Q10, 1.40, 0.812984
Boiler_simpL4_qp9_qt7_decompJPEG_1440x1440_Q50, 3.00, 0.374678
Boiler_simpL4_qp9_qt9_decompJPEG_1024x1024_Q25, 3.36, 0.288618
Boiler_simpL4_qp9_qt9_decompJPEG_512x512_Q25, 3.23, 0.313298
Boiler_simpL5_qp7_qt10_decompJPEG_1440x1440_Q75, 1.64, 0.772738
Boiler_simpL5_qp7_qt10_decompJPEG_2048x2048_Q75, 1.48, 0.770371
Boiler_simpL5_qp8_qt8_decompJPEG_712x712_Q50, 2.48, 0.534016
Boiler_simpL5_qp9_qt7_decompJPEG_512x512_Q75, 2.83, 0.333727
Boiler_simpL5_qp9_qt8_decompJPEG_1440x1440_Q50, 3.07, 0.286888
Boiler_simpL6_qp7_qt8_decompJPEG_712x712_Q10, 1.49, 0.784997
Boiler_simpL6_qp9_qt6_decompJPEG_1024x1024_Q50, 2.73, 0.419012
Boiler_simpL7_qp10_qt9_decompJPEG_1440x1440_Q10, 3.68, 0.170285
Boiler_simpL7_qp11_qt8_decompJPEG_512x512_Q10, 3.14, 0.241512
Boiler_simpL7_qp11_qt8_decompJPEG_712x712_Q75, 4.30, 0.119636
Boiler_simpL7_qp8_qt10_decompJPEG_712x712_Q75, 2.57, 0.438609
Boiler_simpL8_qp10_qt10_decompJPEG_512x512_Q90, 4.02, 0.120360
Boiler_simpL8_qp10_qt9_decompJPEG_512x512_Q90, 4.14, 0.122813
Boiler_simpL8_qp11_qt6_decompJPEG_1024x1024_Q75, 2.56, 0.320333
Boiler_simpL8_qp11_qt6_decompJPEG_2048x2048_Q90, 2.60, 0.339118
Boiler_simpL8_qp11_qt6_decompJPEG_512x512_Q10, 2.73, 0.363614
Boiler_simpL8_qp11_qt6_decompJPEG_512x512_Q75, 2.93, 0.314450
Boiler_simpL8_qp11_qt7_decompJPEG_1440x1440_Q50, 3.34, 0.192879
Boiler_simpL8_qp7_qt10_decompJPEG_712x712_Q90, 1.90, 0.667160
Boiler_simpL8_qp7_qt7_decompJPEG_712x712_Q25, 1.70, 0.714588
Boiler_simpL8_qp7_qt9_decompJPEG_1024x1024_Q90, 1.75, 0.668025
Boiler_simpL8_qp8_qt9_decompJPEG_512x512_Q25, 2.42, 0.389439
Boiler_simpL8_qp9_qt10_decompJPEG_512x512_Q90, 3.50, 0.188538
Boiler_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25, 3.29, 0.245381
Boiler_simpL9_qp11_qt7_decompJPEG_1440x1440_Q75, 3.18, 0.231957
Boiler_simpL9_qp11_qt7_decompJPEG_712x712_Q50, 3.33, 0.232517
Boiler_simpL9_qp9_qt10_decompJPEG_512x512_Q25, 3.60, 0.248846
Boiler_simpL9_qp9_qt6_decompJPEG_1024x1024_Q50, 2.29, 0.364456
