ObjectName, MOS, LPIPS
bronzeCat_simpL10_qp10_qt10_decompJPEG_1024x1024_Q50, 2.80, 0.511174
bronzeCat_simpL10_qp10_qt10_decompJPEG_1440x1440_Q50, 2.71, 0.516858
bronzeCat_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90, 2.71, 0.479645
bronzeCat_simpL10_qp10_qt7_decompJPEG_2048x2048_Q50, 2.64, 0.583116
bronzeCat_simpL10_qp10_qt8_decompJPEG_2048x2048_Q50, 2.98, 0.535241
bronzeCat_simpL10_qp11_qt9_decompJPEG_1024x1024_Q25, 2.38, 0.577944
bronzeCat_simpL10_qp8_qt10_decompJPEG_1440x1440_Q90, 2.67, 0.543287
bronzeCat_simpL10_qp8_qt10_decompJPEG_2048x2048_Q90, 2.74, 0.522016
bronzeCat_simpL10_qp8_qt7_decompJPEG_2048x2048_Q90, 2.54, 0.603148
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q75, 2.93, 0.578282
bronzeCat_simpL10_qp8_qt8_decompJPEG_1024x1024_Q90, 2.73, 0.567297
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q25, 2.76, 0.587603
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q75, 2.66, 0.568629
bronzeCat_simpL10_qp8_qt8_decompJPEG_2048x2048_Q90, 2.80, 0.563943
bronzeCat_simpL10_qp8_qt9_decompJPEG_2048x2048_Q25, 2.74, 0.552917
bronzeCat_simpL10_qp9_qt7_decompJPEG_1440x1440_Q25, 2.36, 0.621205
bronzeCat_simpL10_qp9_qt7_decompJPEG_2048x2048_Q25, 2.60, 0.608171
bronzeCat_simpL10_qp9_qt8_decompJPEG_2048x2048_Q25, 2.70, 0.566555
bronzeCat_simpL10_qp9_qt9_decompJPEG_1440x1440_Q25, 3.00, 0.563471
bronzeCat_simpL10_qp9_qt9_decompJPEG_2048x2048_Q25, 2.79, 0.535495
bronzeCat_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.49, 0.308186
bronzeCat_simpL1_qp10_qt8_decompJPEG_1024x1024_Q10, 3.93, 0.548544
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q50, 4.09, 0.491937
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q75, 4.00, 0.474054
bronzeCat_simpL1_qp10_qt8_decompJPEG_512x512_Q90, 4.29, 0.461219
bronzeCat_simpL1_qp10_qt9_decompJPEG_1440x1440_Q50, 4.39, 0.364736
bronzeCat_simpL1_qp10_qt9_decompJPEG_2048x2048_Q10, 4.02, 0.467377
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q50, 4.41, 0.433796
bronzeCat_simpL1_qp10_qt9_decompJPEG_512x512_Q90, 4.34, 0.378102
bronzeCat_simpL1_qp11_qt9_decompJPEG_512x512_Q75, 4.50, 0.262049
bronzeCat_simpL1_qp11_qt9_decompJPEG_712x712_Q90, 4.69, 0.204400
bronzeCat_simpL2_qp10_qt10_decompJPEG_2048x2048_Q10, 4.33, 0.413504
bronzeCat_simpL2_qp10_qt7_decompJPEG_2048x2048_Q50, 2.70, 0.536733
bronzeCat_simpL2_qp10_qt8_decompJPEG_512x512_Q50, 3.93, 0.473101
bronzeCat_simpL2_qp10_qt9_decompJPEG_1024x1024_Q10, 3.40, 0.493954
bronzeCat_simpL2_qp10_qt9_decompJPEG_2048x2048_Q10, 4.05, 0.450358
bronzeCat_simpL2_qp10_qt9_decompJPEG_512x512_Q90, 4.22, 0.349806
bronzeCat_simpL2_qp11_qt10_decompJPEG_2048x2048_Q10, 4.36, 0.315678
bronzeCat_simpL2_qp9_qt9_decompJPEG_512x512_Q75, 3.14, 0.774927
bronzeCat_simpL3_qp10_qt8_decompJPEG_2048x2048_Q50, 4.05, 0.402830
bronzeCat_simpL3_qp11_qt9_decompJPEG_2048x2048_Q10, 4.23, 0.347882
bronzeCat_simpL3_qp8_qt7_decompJPEG_1440x1440_Q75, 1.50, 0.991297
bronzeCat_simpL4_qp10_qt7_decompJPEG_2048x2048_Q10, 2.50, 0.605082
bronzeCat_simpL5_qp11_qt9_decompJPEG_2048x2048_Q10, 4.37, 0.345678
bronzeCat_simpL5_qp9_qt10_decompJPEG_2048x2048_Q50, 3.21, 0.649930
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q75, 3.30, 0.586874
bronzeCat_simpL6_qp9_qt10_decompJPEG_712x712_Q90, 3.05, 0.576020
bronzeCat_simpL6_qp9_qt9_decompJPEG_2048x2048_Q90, 3.45, 0.589636
bronzeCat_simpL7_qp9_qt10_decompJPEG_512x512_Q90, 3.12, 0.460139
bronzeCat_simpL7_qp9_qt8_decompJPEG_1024x1024_Q75, 3.30, 0.516203
bronzeCat_simpL8_qp10_qt7_decompJPEG_1440x1440_Q50, 3.30, 0.427936
bronzeCat_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.23, 0.258760
bronzeCat_simpL8_qp9_qt9_decompJPEG_712x712_Q25, 3.78, 0.380751
bronzeCat_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.31, 0.401781
bronzeCat_simpL9_qp11_qt10_decompJPEG_512x512_Q25, 3.51, 0.425692
bronzeCat_simpL9_qp11_qt7_decompJPEG_1024x1024_Q75, 3.48, 0.389201
bronzeCat_simpL9_qp11_qt8_decompJPEG_512x512_Q25, 3.59, 0.395559
bronzeCat_simpL9_qp9_qt9_decompJPEG_1440x1440_Q10, 3.54, 0.451711
