ObjectName, MOS, LPIPS
rescue_craft_simpL1_qp10_qt7_decompJPEG_2048x2048_Q25, 3.24, 0.318918
rescue_craft_simpL1_qp10_qt7_decompJPEG_512x512_Q25, 3.54, 0.302652
rescue_craft_simpL1_qp11_qt6_decompJPEG_712x712_Q50, 2.73, 0.421551
rescue_craft_simpL1_qp8_qt7_decompJPEG_1440x1440_Q25, 1.30, 0.900831
rescue_craft_simpL1_qp9_qt9_decompJPEG_512x512_Q50, 2.65, 0.343129
rescue_craft_simpL2_qp10_qt8_decompJPEG_712x712_Q50, 3.64, 0.201524
rescue_craft_simpL2_qp11_qt8_decompJPEG_1440x1440_Q90, 4.49, 0.173062
rescue_craft_simpL2_qp9_qt6_decompJPEG_512x512_Q10, 2.34, 0.634851
rescue_craft_simpL3_qp10_qt8_decompJPEG_712x712_Q10, 3.70, 0.305025
rescue_craft_simpL4_qp10_qt8_decompJPEG_712x712_Q75, 3.62, 0.200198
rescue_craft_simpL4_qp11_qt9_decompJPEG_712x712_Q10, 4.21, 0.270181
rescue_craft_simpL4_qp9_qt7_decompJPEG_1024x1024_Q50, 2.23, 0.442633
rescue_craft_simpL5_qp11_qt10_decompJPEG_512x512_Q10, 3.73, 0.356164
rescue_craft_simpL5_qp11_qt10_decompJPEG_712x712_Q10, 4.26, 0.279799
rescue_craft_simpL6_qp10_qt10_decompJPEG_1440x1440_Q50, 4.02, 0.176767
rescue_craft_simpL6_qp11_qt10_decompJPEG_512x512_Q25, 4.07, 0.219699
rescue_craft_simpL6_qp11_qt10_decompJPEG_712x712_Q10, 4.00, 0.291764
rescue_craft_simpL6_qp8_qt7_decompJPEG_2048x2048_Q90, 1.64, 0.749471
rescue_craft_simpL7_qp10_qt6_decompJPEG_512x512_Q25, 2.98, 0.500495
rescue_craft_simpL7_qp10_qt8_decompJPEG_712x712_Q90, 3.54, 0.237546
rescue_craft_simpL7_qp11_qt7_decompJPEG_2048x2048_Q10, 3.71, 0.357212
rescue_craft_simpL7_qp11_qt8_decompJPEG_712x712_Q10, 3.79, 0.336698
rescue_craft_simpL7_qp11_qt9_decompJPEG_712x712_Q10, 3.95, 0.325849
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q50, 2.60, 0.431486
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q90, 2.48, 0.428756
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q10, 3.45, 0.389475
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q50, 3.67, 0.249860
rescue_craft_simpL8_qp10_qt8_decompJPEG_2048x2048_Q25, 3.58, 0.282235
rescue_craft_simpL8_qp10_qt9_decompJPEG_1024x1024_Q25, 3.84, 0.254607
rescue_craft_simpL8_qp11_qt10_decompJPEG_512x512_Q25, 3.72, 0.295223
rescue_craft_simpL8_qp11_qt7_decompJPEG_512x512_Q75, 3.45, 0.338141
rescue_craft_simpL9_qp10_qt10_decompJPEG_1440x1440_Q25, 3.59, 0.332048
rescue_craft_simpL9_qp10_qt6_decompJPEG_1024x1024_Q50, 2.24, 0.578723
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q10, 2.88, 0.489632
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q75, 2.91, 0.426346
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q25, 2.88, 0.428115
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.07, 0.422609
rescue_craft_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25, 3.16, 0.428047
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 2.93, 0.466563
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q50, 3.00, 0.445890
rescue_craft_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 3.02, 0.445473
rescue_craft_simpL9_qp10_qt8_decompJPEG_1440x1440_Q25, 3.20, 0.364273
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q25, 3.14, 0.416092
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q50, 3.26, 0.388109
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q75, 3.20, 0.370625
rescue_craft_simpL9_qp11_qt8_decompJPEG_1024x1024_Q50, 3.19, 0.349087
rescue_craft_simpL9_qp8_qt10_decompJPEG_1024x1024_Q10, 1.70, 0.669459
rescue_craft_simpL9_qp8_qt10_decompJPEG_712x712_Q10, 1.79, 0.711874
rescue_craft_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 1.51, 0.782903
rescue_craft_simpL9_qp8_qt9_decompJPEG_1024x1024_Q90, 1.93, 0.610995
rescue_craft_simpL9_qp8_qt9_decompJPEG_2048x2048_Q50, 1.84, 0.614712
rescue_craft_simpL9_qp9_qt7_decompJPEG_1440x1440_Q10, 2.52, 0.535336
rescue_craft_simpL9_qp9_qt8_decompJPEG_1440x1440_Q10, 2.64, 0.471237
