ObjectName, MOS, LPIPS
Beethoven_bakedUV2_simpL10_qp10_qt10_decompJPEG_512x512_Q10, 1.70, 0.748429
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q50, 1.40, 0.738357
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q90, 1.31, 0.735866
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1440x1440_Q90, 1.34, 0.740603
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q75, 1.33, 0.734700
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q90, 1.20, 0.732856
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_512x512_Q10, 1.33, 0.785723
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q10, 1.38, 0.776135
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q25, 1.39, 0.749636
Beethoven_bakedUV2_simpL10_qp10_qt9_decompJPEG_512x512_Q10, 1.57, 0.750499
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_512x512_Q10, 1.43, 0.788235
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q10, 1.26, 0.776598
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q25, 1.36, 0.755878
Beethoven_bakedUV2_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 1.32, 0.711934
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_1024x1024_Q10, 1.31, 0.798183
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q10, 1.23, 0.796598
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q50, 1.37, 0.780944
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_512x512_Q10, 1.43, 0.828284
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_712x712_Q10, 1.21, 0.818566
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_512x512_Q10, 1.50, 0.800050
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_512x512_Q50, 1.51, 0.773859
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_712x712_Q10, 1.38, 0.790566
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_712x712_Q25, 1.46, 0.765268
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_512x512_Q10, 1.27, 0.797797
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_712x712_Q10, 1.41, 0.784883
Beethoven_bakedUV2_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 1.21, 0.763175
Beethoven_bakedUV2_simpL1_qp9_qt10_decompJPEG_2048x2048_Q90, 2.90, 0.572634
Beethoven_bakedUV2_simpL1_qp9_qt10_decompJPEG_512x512_Q75, 2.86, 0.585834
Beethoven_bakedUV2_simpL1_qp9_qt7_decompJPEG_1440x1440_Q50, 2.56, 0.749453
Beethoven_bakedUV2_simpL2_qp10_qt7_decompJPEG_512x512_Q90, 3.28, 0.439283
Beethoven_bakedUV2_simpL2_qp8_qt8_decompJPEG_1024x1024_Q25, 1.64, 0.889603
Beethoven_bakedUV2_simpL2_qp9_qt8_decompJPEG_712x712_Q75, 2.81, 0.618431
Beethoven_bakedUV2_simpL2_qp9_qt9_decompJPEG_512x512_Q75, 2.88, 0.582769
Beethoven_bakedUV2_simpL3_qp9_qt9_decompJPEG_512x512_Q75, 2.85, 0.573421
Beethoven_bakedUV2_simpL4_qp8_qt8_decompJPEG_1024x1024_Q25, 1.84, 0.870750
Beethoven_bakedUV2_simpL4_qp9_qt6_decompJPEG_1024x1024_Q75, 2.18, 0.818533
Beethoven_bakedUV2_simpL4_qp9_qt9_decompJPEG_512x512_Q50, 3.10, 0.552483
Beethoven_bakedUV2_simpL4_qp9_qt9_decompJPEG_512x512_Q75, 2.88, 0.542803
Beethoven_bakedUV2_simpL5_qp11_qt6_decompJPEG_2048x2048_Q10, 2.26, 0.543759
Beethoven_bakedUV2_simpL5_qp8_qt8_decompJPEG_712x712_Q10, 1.80, 0.865194
Beethoven_bakedUV2_simpL5_qp8_qt9_decompJPEG_1440x1440_Q10, 1.91, 0.836235
Beethoven_bakedUV2_simpL6_qp8_qt8_decompJPEG_1024x1024_Q50, 1.60, 0.830654
Beethoven_bakedUV2_simpL6_qp9_qt6_decompJPEG_2048x2048_Q90, 1.80, 0.779789
Beethoven_bakedUV2_simpL7_qp11_qt6_decompJPEG_2048x2048_Q50, 1.91, 0.548554
Beethoven_bakedUV2_simpL7_qp11_qt6_decompJPEG_2048x2048_Q90, 2.18, 0.555421
Beethoven_bakedUV2_simpL7_qp8_qt8_decompJPEG_512x512_Q90, 1.88, 0.771377
Beethoven_bakedUV2_simpL8_qp10_qt6_decompJPEG_1024x1024_Q10, 2.02, 0.558629
Beethoven_bakedUV2_simpL8_qp11_qt10_decompJPEG_2048x2048_Q25, 4.31, 0.094099
Beethoven_bakedUV2_simpL8_qp8_qt6_decompJPEG_2048x2048_Q50, 1.39, 0.867788
Beethoven_bakedUV2_simpL8_qp9_qt8_decompJPEG_712x712_Q50, 3.16, 0.341348
Beethoven_bakedUV2_simpL9_qp10_qt6_decompJPEG_1440x1440_Q25, 2.05, 0.536556
Beethoven_bakedUV2_simpL9_qp7_qt10_decompJPEG_512x512_Q10, 1.21, 0.874227
Beethoven_bakedUV2_simpL9_qp8_qt7_decompJPEG_712x712_Q90, 2.12, 0.559887
