ObjectName, MOS, LPIPS
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q25, 4.15, 0.225473
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q75, 4.30, 0.208646
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q50, 4.03, 0.207754
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q90, 4.43, 0.206088
piano_simpL1_qp11_qt7_decompJPEG_1024x1024_Q25, 4.05, 0.217436
piano_simpL1_qp11_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.205189
piano_simpL1_qp11_qt7_decompJPEG_712x712_Q75, 4.12, 0.212820
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q75, 3.86, 0.244553
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q90, 4.22, 0.244157
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q50, 3.93, 0.244055
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q75, 3.93, 0.242814
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q90, 4.05, 0.242604
piano_simpL2_qp10_qt7_decompJPEG_1024x1024_Q75, 4.15, 0.210605
piano_simpL2_qp10_qt7_decompJPEG_712x712_Q90, 4.44, 0.221022
piano_simpL2_qp11_qt7_decompJPEG_2048x2048_Q75, 4.05, 0.199932
piano_simpL2_qp11_qt7_decompJPEG_712x712_Q75, 4.47, 0.212302
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q75, 4.12, 0.243290
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.243029
piano_simpL3_qp10_qt7_decompJPEG_1440x1440_Q25, 4.02, 0.227046
piano_simpL3_qp9_qt7_decompJPEG_1024x1024_Q90, 4.10, 0.246916
piano_simpL4_qp11_qt7_decompJPEG_1024x1024_Q25, 4.30, 0.218606
piano_simpL4_qp11_qt7_decompJPEG_1440x1440_Q25, 4.40, 0.212342
piano_simpL4_qp11_qt7_decompJPEG_2048x2048_Q90, 4.41, 0.199161
piano_simpL4_qp9_qt7_decompJPEG_1024x1024_Q90, 4.24, 0.242102
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q25, 4.34, 0.225290
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q90, 4.05, 0.207801
piano_simpL5_qp11_qt7_decompJPEG_1440x1440_Q50, 4.05, 0.207957
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.39, 0.217410
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q50, 4.23, 0.211369
piano_simpL6_qp10_qt7_decompJPEG_712x712_Q75, 4.05, 0.226872
piano_simpL6_qp11_qt7_decompJPEG_1024x1024_Q75, 4.05, 0.207606
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q50, 4.05, 0.205896
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q75, 4.07, 0.205517
piano_simpL6_qp11_qt7_decompJPEG_712x712_Q90, 4.08, 0.213729
piano_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 4.32, 0.243325
piano_simpL7_qp10_qt7_decompJPEG_2048x2048_Q50, 4.32, 0.211627
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q50, 4.22, 0.239374
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q90, 3.84, 0.221754
piano_simpL7_qp11_qt7_decompJPEG_1024x1024_Q25, 4.36, 0.229785
piano_simpL8_qp10_qt7_decompJPEG_1024x1024_Q50, 4.07, 0.254989
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q25, 4.12, 0.255835
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q50, 4.11, 0.250196
piano_simpL8_qp11_qt7_decompJPEG_1024x1024_Q75, 3.91, 0.247011
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q50, 3.88, 0.248768
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q90, 3.66, 0.246304
piano_simpL9_qp10_qt7_decompJPEG_1440x1440_Q50, 3.67, 0.299331
piano_simpL9_qp11_qt6_decompJPEG_2048x2048_Q25, 2.92, 0.344127
piano_simpL9_qp11_qt7_decompJPEG_1440x1440_Q25, 3.70, 0.310812
piano_simpL9_qp11_qt7_decompJPEG_512x512_Q25, 3.65, 0.378429
piano_simpL9_qp8_qt6_decompJPEG_1440x1440_Q75, 3.07, 0.416403
piano_simpL9_qp8_qt6_decompJPEG_2048x2048_Q75, 3.19, 0.407061
piano_simpL9_qp9_qt6_decompJPEG_1024x1024_Q90, 3.19, 0.364199
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q25, 3.33, 0.376382
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q50, 3.09, 0.372674
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q90, 3.09, 0.371050
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q75, 3.00, 0.362783
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.44, 0.362861
piano_simpL9_qp9_qt6_decompJPEG_712x712_Q90, 3.02, 0.373042
piano_simpL9_qp9_qt7_decompJPEG_1440x1440_Q25, 3.56, 0.337668
piano_simpL9_qp9_qt7_decompJPEG_2048x2048_Q50, 3.57, 0.329263
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q25, 3.55, 0.405284
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q75, 3.52, 0.360424
