ObjectName, MOS, LPIPS
Orchid_simpL1_qp11_qt7_decompJPEG_1024x1024_Q75, 4.57, 0.078191
Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50, 4.62, 0.078159
Orchid_simpL1_qp8_qt8_decompJPEG_2048x2048_Q10, 3.81, 0.145689
Orchid_simpL1_qp8_qt9_decompJPEG_1440x1440_Q10, 3.86, 0.147867
Orchid_simpL1_qp9_qt6_decompJPEG_512x512_Q10, 2.86, 0.146332
Orchid_simpL1_qp9_qt7_decompJPEG_512x512_Q75, 4.39, 0.097519
Orchid_simpL2_qp10_qt6_decompJPEG_1440x1440_Q10, 3.46, 0.132136
Orchid_simpL2_qp10_qt7_decompJPEG_512x512_Q75, 4.52, 0.086506
Orchid_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.09, 0.109233
Orchid_simpL2_qp11_qt6_decompJPEG_2048x2048_Q75, 3.75, 0.110117
Orchid_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 4.63, 0.081505
Orchid_simpL2_qp9_qt9_decompJPEG_512x512_Q50, 4.60, 0.096319
Orchid_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.45, 0.124618
Orchid_simpL3_qp10_qt7_decompJPEG_2048x2048_Q25, 4.67, 0.092685
Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 4.39, 0.113160
Orchid_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 4.62, 0.089557
Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75, 4.84, 0.083239
Orchid_simpL4_qp11_qt7_decompJPEG_712x712_Q25, 4.30, 0.090334
Orchid_simpL6_qp8_qt6_decompJPEG_1440x1440_Q25, 3.28, 0.163445
Orchid_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 3.62, 0.149414
Orchid_simpL8_qp10_qt6_decompJPEG_512x512_Q10, 3.09, 0.186296
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.165399
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q50, 4.11, 0.146224
Orchid_simpL8_qp8_qt6_decompJPEG_1024x1024_Q75, 3.22, 0.198852
Orchid_simpL8_qp8_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.181001
Orchid_simpL8_qp8_qt8_decompJPEG_1024x1024_Q25, 4.24, 0.182034
Orchid_simpL9_qp10_qt7_decompJPEG_1024x1024_Q50, 4.36, 0.222419
Orchid_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 3.93, 0.234306
Orchid_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 4.00, 0.227214
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50, 4.05, 0.220185
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.219596
Orchid_simpL9_qp11_qt7_decompJPEG_1440x1440_Q10, 3.95, 0.241475
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q50, 4.20, 0.220316
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q75, 4.47, 0.219639
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 4.31, 0.219634
Orchid_simpL9_qp11_qt9_decompJPEG_1024x1024_Q90, 4.14, 0.210812
Orchid_simpL9_qp11_qt9_decompJPEG_1440x1440_Q90, 4.42, 0.211017
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q75, 4.16, 0.209997
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q90, 4.16, 0.209960
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q50, 3.83, 0.234823
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q75, 4.12, 0.234362
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q10, 3.96, 0.255339
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q25, 4.09, 0.237905
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q10, 3.93, 0.250332
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 3.86, 0.233737
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 4.07, 0.233100
Orchid_simpL9_qp8_qt7_decompJPEG_512x512_Q25, 3.77, 0.247672
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q10, 3.49, 0.255582
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q25, 3.98, 0.238592
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 4.00, 0.237573
Orchid_simpL9_qp8_qt8_decompJPEG_2048x2048_Q10, 4.10, 0.243893
Orchid_simpL9_qp8_qt8_decompJPEG_512x512_Q25, 3.74, 0.245136
Orchid_simpL9_qp8_qt9_decompJPEG_1440x1440_Q10, 4.10, 0.249843
Orchid_simpL9_qp8_qt9_decompJPEG_2048x2048_Q10, 4.14, 0.244263
