ObjectName, MOS, LPIPS
PRI_Hepatus_simpL1_qp11_qt8_decompJPEG_512x512_Q50, 3.81, 0.405626
PRI_Hepatus_simpL1_qp11_qt8_decompJPEG_712x712_Q25, 3.41, 0.413331
PRI_Hepatus_simpL1_qp11_qt9_decompJPEG_712x712_Q10, 3.65, 0.412923
PRI_Hepatus_simpL1_qp7_qt6_decompJPEG_512x512_Q10, 1.23, 1.000000
PRI_Hepatus_simpL1_qp8_qt10_decompJPEG_2048x2048_Q50, 2.48, 0.820572
PRI_Hepatus_simpL1_qp8_qt9_decompJPEG_2048x2048_Q50, 2.36, 0.838252
PRI_Hepatus_simpL1_qp9_qt10_decompJPEG_712x712_Q10, 3.27, 0.695994
PRI_Hepatus_simpL1_qp9_qt7_decompJPEG_512x512_Q10, 2.07, 0.834333
PRI_Hepatus_simpL1_qp9_qt9_decompJPEG_512x512_Q10, 3.24, 0.761074
PRI_Hepatus_simpL2_qp10_qt10_decompJPEG_512x512_Q10, 3.27, 0.555812
PRI_Hepatus_simpL2_qp10_qt8_decompJPEG_1440x1440_Q75, 3.50, 0.419077
PRI_Hepatus_simpL2_qp10_qt9_decompJPEG_512x512_Q10, 3.41, 0.582106
PRI_Hepatus_simpL2_qp11_qt7_decompJPEG_512x512_Q75, 2.33, 0.542503
PRI_Hepatus_simpL2_qp11_qt8_decompJPEG_512x512_Q90, 3.38, 0.333227
PRI_Hepatus_simpL2_qp11_qt8_decompJPEG_712x712_Q75, 3.58, 0.340803
PRI_Hepatus_simpL2_qp8_qt10_decompJPEG_2048x2048_Q50, 2.43, 0.796809
PRI_Hepatus_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25, 1.64, 0.733635
PRI_Hepatus_simpL3_qp10_qt8_decompJPEG_1440x1440_Q75, 3.68, 0.407085
PRI_Hepatus_simpL3_qp10_qt8_decompJPEG_512x512_Q90, 3.50, 0.419154
PRI_Hepatus_simpL3_qp11_qt7_decompJPEG_512x512_Q10, 2.00, 0.639359
PRI_Hepatus_simpL3_qp11_qt8_decompJPEG_512x512_Q75, 3.80, 0.360659
PRI_Hepatus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q10, 1.02, 0.999637
PRI_Hepatus_simpL3_qp8_qt9_decompJPEG_712x712_Q10, 2.17, 0.884077
PRI_Hepatus_simpL4_qp11_qt8_decompJPEG_512x512_Q90, 3.57, 0.318585
PRI_Hepatus_simpL4_qp11_qt9_decompJPEG_512x512_Q10, 3.29, 0.507650
PRI_Hepatus_simpL4_qp8_qt10_decompJPEG_2048x2048_Q50, 2.60, 0.733853
PRI_Hepatus_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.82, 0.819977
PRI_Hepatus_simpL4_qp9_qt7_decompJPEG_1024x1024_Q90, 2.33, 0.713069
PRI_Hepatus_simpL4_qp9_qt7_decompJPEG_512x512_Q10, 2.18, 0.793260
PRI_Hepatus_simpL5_qp11_qt8_decompJPEG_512x512_Q10, 3.05, 0.551766
PRI_Hepatus_simpL5_qp11_qt8_decompJPEG_512x512_Q50, 3.86, 0.375883
