ObjectName, MOS, LPIPS
statue_simpL1_qp10_qt6_decompJPEG_2048x2048_Q75, 1.45, 0.946447
statue_simpL1_qp10_qt6_decompJPEG_512x512_Q25, 1.64, 0.891185
statue_simpL1_qp11_qt6_decompJPEG_512x512_Q25, 1.51, 0.886138
statue_simpL1_qp8_qt8_decompJPEG_1024x1024_Q25, 2.14, 0.595178
statue_simpL1_qp9_qt6_decompJPEG_1440x1440_Q10, 1.43, 0.970038
statue_simpL2_qp10_qt6_decompJPEG_712x712_Q90, 1.59, 0.931419
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q10, 2.12, 0.590533
statue_simpL2_qp8_qt10_decompJPEG_1024x1024_Q25, 2.44, 0.543859
statue_simpL2_qp8_qt8_decompJPEG_712x712_Q90, 2.36, 0.566604
statue_simpL2_qp9_qt6_decompJPEG_1024x1024_Q90, 1.60, 0.954320
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 1.49, 0.959492
statue_simpL2_qp9_qt6_decompJPEG_2048x2048_Q90, 1.54, 0.960266
statue_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 1.60, 0.892211
statue_simpL3_qp10_qt6_decompJPEG_712x712_Q10, 1.66, 0.925011
statue_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.83, 0.895239
statue_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.38, 0.960282
statue_simpL3_qp9_qt6_decompJPEG_712x712_Q50, 1.44, 0.945382
statue_simpL4_qp10_qt6_decompJPEG_512x512_Q50, 1.57, 0.882554
statue_simpL4_qp11_qt6_decompJPEG_712x712_Q10, 1.37, 0.917795
statue_simpL4_qp8_qt10_decompJPEG_1024x1024_Q75, 2.39, 0.489903
statue_simpL4_qp8_qt8_decompJPEG_1024x1024_Q10, 2.26, 0.583427
statue_simpL4_qp9_qt6_decompJPEG_2048x2048_Q90, 1.26, 0.953571
statue_simpL4_qp9_qt6_decompJPEG_712x712_Q25, 1.50, 0.928552
statue_simpL5_qp10_qt6_decompJPEG_1024x1024_Q50, 1.84, 0.919774
statue_simpL5_qp10_qt6_decompJPEG_1440x1440_Q50, 1.51, 0.925030
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q75, 1.35, 0.936432
statue_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 1.52, 0.937306
statue_simpL5_qp10_qt6_decompJPEG_512x512_Q50, 1.84, 0.881615
statue_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.78, 0.297316
statue_simpL5_qp11_qt6_decompJPEG_1024x1024_Q50, 1.55, 0.916961
statue_simpL5_qp11_qt6_decompJPEG_1440x1440_Q50, 1.61, 0.926086
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q75, 1.41, 0.932460
statue_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 1.58, 0.933642
statue_simpL5_qp11_qt6_decompJPEG_712x712_Q25, 1.51, 0.902446
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.26, 0.976908
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q75, 1.40, 0.978727
statue_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.37, 0.979846
statue_simpL5_qp8_qt8_decompJPEG_1024x1024_Q90, 2.38, 0.492342
statue_simpL5_qp8_qt9_decompJPEG_512x512_Q25, 2.52, 0.537422
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q25, 1.60, 0.950153
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 1.69, 0.952256
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 1.42, 0.952036
statue_simpL5_qp9_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.953177
statue_simpL5_qp9_qt6_decompJPEG_512x512_Q10, 1.50, 0.924686
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q25, 2.69, 0.439877
statue_simpL6_qp8_qt10_decompJPEG_1024x1024_Q50, 2.71, 0.423670
statue_simpL6_qp8_qt6_decompJPEG_2048x2048_Q90, 1.34, 0.973715
statue_simpL7_qp11_qt6_decompJPEG_1440x1440_Q75, 1.57, 0.916033
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q50, 1.21, 0.943420
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q75, 1.16, 0.947048
statue_simpL7_qp8_qt6_decompJPEG_1024x1024_Q90, 1.34, 0.946978
statue_simpL7_qp8_qt6_decompJPEG_2048x2048_Q90, 1.35, 0.953344
statue_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 3.40, 0.282191
