ObjectName, MOS, LPIPS
Boiler_simpL10_qp10_qt10_decompJPEG_512x512_Q25, 1.95, 0.440619
Boiler_simpL10_qp10_qt9_decompJPEG_2048x2048_Q75, 2.14, 0.399562
Boiler_simpL10_qp11_qt10_decompJPEG_2048x2048_Q90, 2.05, 0.387474
Boiler_simpL10_qp11_qt7_decompJPEG_2048x2048_Q75, 2.05, 0.412889
Boiler_simpL10_qp11_qt9_decompJPEG_1440x1440_Q25, 2.10, 0.417245
Boiler_simpL10_qp8_qt6_decompJPEG_1024x1024_Q50, 1.80, 0.504028
Boiler_simpL10_qp8_qt6_decompJPEG_1440x1440_Q10, 1.60, 0.531625
Boiler_simpL10_qp8_qt6_decompJPEG_1440x1440_Q25, 1.95, 0.517171
Boiler_simpL10_qp8_qt7_decompJPEG_512x512_Q10, 1.76, 0.551234
Boiler_simpL10_qp8_qt7_decompJPEG_712x712_Q50, 2.02, 0.423414
Boiler_simpL10_qp9_qt10_decompJPEG_2048x2048_Q90, 2.19, 0.395401
Boiler_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 1.70, 0.501438
Boiler_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 1.91, 0.517974
Boiler_simpL1_qp11_qt6_decompJPEG_1024x1024_Q10, 3.07, 0.258750
Boiler_simpL1_qp11_qt6_decompJPEG_512x512_Q50, 3.25, 0.232121
Boiler_simpL1_qp11_qt8_decompJPEG_512x512_Q75, 4.60, 0.070178
Boiler_simpL1_qp9_qt10_decompJPEG_512x512_Q90, 3.47, 0.291547
Boiler_simpL1_qp9_qt9_decompJPEG_1440x1440_Q25, 3.16, 0.305265
Boiler_simpL1_qp9_qt9_decompJPEG_512x512_Q90, 3.21, 0.298403
Boiler_simpL2_qp11_qt6_decompJPEG_1440x1440_Q10, 2.93, 0.266938
Boiler_simpL2_qp9_qt10_decompJPEG_2048x2048_Q50, 3.26, 0.283477
Boiler_simpL4_qp7_qt10_decompJPEG_2048x2048_Q10, 1.40, 0.780443
Boiler_simpL4_qp9_qt7_decompJPEG_1440x1440_Q50, 3.00, 0.339030
Boiler_simpL4_qp9_qt9_decompJPEG_1024x1024_Q25, 3.36, 0.259441
Boiler_simpL4_qp9_qt9_decompJPEG_512x512_Q25, 3.23, 0.282996
Boiler_simpL5_qp7_qt10_decompJPEG_1440x1440_Q75, 1.64, 0.741540
Boiler_simpL5_qp7_qt10_decompJPEG_2048x2048_Q75, 1.48, 0.739037
Boiler_simpL5_qp8_qt8_decompJPEG_712x712_Q50, 2.48, 0.486091
Boiler_simpL5_qp9_qt7_decompJPEG_512x512_Q75, 2.83, 0.305104
Boiler_simpL5_qp9_qt8_decompJPEG_1440x1440_Q50, 3.07, 0.260583
Boiler_simpL6_qp7_qt8_decompJPEG_712x712_Q10, 1.49, 0.756268
Boiler_simpL6_qp9_qt6_decompJPEG_1024x1024_Q50, 2.73, 0.393868
Boiler_simpL7_qp10_qt9_decompJPEG_1440x1440_Q10, 3.68, 0.158745
Boiler_simpL7_qp11_qt8_decompJPEG_512x512_Q10, 3.14, 0.228619
Boiler_simpL7_qp11_qt8_decompJPEG_712x712_Q75, 4.30, 0.113917
Boiler_simpL7_qp8_qt10_decompJPEG_712x712_Q75, 2.57, 0.401984
Boiler_simpL8_qp10_qt10_decompJPEG_512x512_Q90, 4.02, 0.114547
Boiler_simpL8_qp10_qt9_decompJPEG_512x512_Q90, 4.14, 0.116796
Boiler_simpL8_qp11_qt6_decompJPEG_1024x1024_Q75, 2.56, 0.304442
Boiler_simpL8_qp11_qt6_decompJPEG_2048x2048_Q90, 2.60, 0.320980
Boiler_simpL8_qp11_qt6_decompJPEG_512x512_Q10, 2.73, 0.343949
Boiler_simpL8_qp11_qt6_decompJPEG_512x512_Q75, 2.93, 0.298234
Boiler_simpL8_qp11_qt7_decompJPEG_1440x1440_Q50, 3.34, 0.183175
Boiler_simpL8_qp7_qt10_decompJPEG_712x712_Q90, 1.90, 0.636006
Boiler_simpL8_qp7_qt7_decompJPEG_712x712_Q25, 1.70, 0.683716
Boiler_simpL8_qp7_qt9_decompJPEG_1024x1024_Q90, 1.75, 0.636771
Boiler_simpL8_qp8_qt9_decompJPEG_512x512_Q25, 2.42, 0.362272
Boiler_simpL8_qp9_qt10_decompJPEG_512x512_Q90, 3.50, 0.178244
Boiler_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25, 3.29, 0.232068
Boiler_simpL9_qp11_qt7_decompJPEG_1440x1440_Q75, 3.18, 0.219176
Boiler_simpL9_qp11_qt7_decompJPEG_712x712_Q50, 3.33, 0.220660
Boiler_simpL9_qp9_qt10_decompJPEG_512x512_Q25, 3.60, 0.236747
Boiler_simpL9_qp9_qt6_decompJPEG_1024x1024_Q50, 2.29, 0.349497
