ObjectName, MOS, LPIPS
Streblognathus_simpL10_qp11_qt6_decompJPEG_1024x1024_Q90, 3.70, 0.370315
Streblognathus_simpL10_qp7_qt10_decompJPEG_512x512_Q10, 2.77, 0.599248
Streblognathus_simpL10_qp7_qt6_decompJPEG_2048x2048_Q25, 3.30, 0.503758
Streblognathus_simpL10_qp8_qt6_decompJPEG_712x712_Q10, 3.22, 0.481557
Streblognathus_simpL10_qp8_qt7_decompJPEG_512x512_Q10, 3.10, 0.532225
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q10, 3.72, 0.422132
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q50, 4.05, 0.392625
Streblognathus_simpL10_qp9_qt6_decompJPEG_2048x2048_Q75, 3.93, 0.380828
Streblognathus_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 4.18, 0.394927
Streblognathus_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 3.62, 0.206570
Streblognathus_simpL1_qp7_qt6_decompJPEG_2048x2048_Q10, 1.02, 1.000000
Streblognathus_simpL1_qp8_qt6_decompJPEG_2048x2048_Q50, 1.67, 0.927727
Streblognathus_simpL2_qp11_qt6_decompJPEG_1024x1024_Q25, 2.72, 0.279873
Streblognathus_simpL2_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 1.000000
Streblognathus_simpL2_qp7_qt9_decompJPEG_1440x1440_Q10, 1.05, 1.000000
Streblognathus_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.64, 0.892578
Streblognathus_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 2.74, 0.529524
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q10, 1.05, 1.000000
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q25, 1.07, 0.998071
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q50, 1.14, 0.997802
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q75, 1.02, 0.997684
Streblognathus_simpL4_qp7_qt6_decompJPEG_2048x2048_Q75, 1.10, 0.999846
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.860475
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q25, 2.00, 0.859567
Streblognathus_simpL4_qp8_qt6_decompJPEG_512x512_Q75, 1.73, 0.812688
Streblognathus_simpL5_qp7_qt9_decompJPEG_2048x2048_Q10, 1.09, 0.994423
Streblognathus_simpL5_qp8_qt7_decompJPEG_1440x1440_Q90, 1.79, 0.690918
Streblognathus_simpL5_qp8_qt7_decompJPEG_2048x2048_Q25, 2.05, 0.693496
Streblognathus_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.175503
Streblognathus_simpL6_qp7_qt6_decompJPEG_712x712_Q50, 1.10, 0.997724
Streblognathus_simpL6_qp8_qt6_decompJPEG_512x512_Q10, 1.93, 0.648442
Streblognathus_simpL6_qp8_qt7_decompJPEG_1440x1440_Q50, 2.23, 0.605533
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q50, 2.10, 0.568150
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q75, 2.14, 0.573894
Streblognathus_simpL8_qp11_qt8_decompJPEG_512x512_Q75, 4.58, 0.054979
Streblognathus_simpL8_qp7_qt10_decompJPEG_512x512_Q75, 1.09, 0.980017
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 0.988032
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q50, 1.07, 0.986057
Streblognathus_simpL8_qp7_qt6_decompJPEG_512x512_Q25, 1.09, 0.981559
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q25, 1.30, 0.980339
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q50, 1.15, 0.981457
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q25, 1.05, 0.981873
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q50, 1.20, 0.982861
Streblognathus_simpL8_qp7_qt7_decompJPEG_2048x2048_Q90, 1.19, 0.982115
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q10, 1.14, 0.983959
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q50, 1.19, 0.978242
Streblognathus_simpL8_qp7_qt9_decompJPEG_512x512_Q75, 1.07, 0.979023
Streblognathus_simpL8_qp8_qt6_decompJPEG_712x712_Q25, 2.00, 0.473821
Streblognathus_simpL8_qp8_qt8_decompJPEG_2048x2048_Q10, 2.22, 0.471330
Streblognathus_simpL8_qp8_qt8_decompJPEG_712x712_Q90, 2.43, 0.430420
Streblognathus_simpL9_qp7_qt6_decompJPEG_512x512_Q50, 1.43, 0.825169
Streblognathus_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 2.44, 0.348842
Streblognathus_simpL9_qp8_qt9_decompJPEG_1024x1024_Q10, 2.37, 0.405300
