ObjectName, MOS, LPIPS
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp10_qt6_decompJPEG_1440x1440_Q10, 1.53, 0.684041
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp10_qt6_decompJPEG_1440x1440_Q25, 1.60, 0.633926
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp10_qt8_decompJPEG_1440x1440_Q10, 2.93, 0.439861
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp10_qt8_decompJPEG_2048x2048_Q10, 2.83, 0.424701
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp11_qt9_decompJPEG_712x712_Q75, 3.98, 0.133798
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp9_qt10_decompJPEG_2048x2048_Q10, 2.25, 0.638594
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp9_qt8_decompJPEG_1024x1024_Q10, 1.77, 0.665835
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp9_qt9_decompJPEG_1440x1440_Q10, 1.85, 0.646311
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL1_qp9_qt9_decompJPEG_712x712_Q10, 1.84, 0.674118
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp10_qt6_decompJPEG_1024x1024_Q25, 1.52, 0.588146
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp10_qt6_decompJPEG_2048x2048_Q75, 1.57, 0.602713
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp10_qt7_decompJPEG_1024x1024_Q10, 2.47, 0.479946
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp7_qt6_decompJPEG_2048x2048_Q10, 1.12, 1.000000
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp7_qt8_decompJPEG_2048x2048_Q50, 1.05, 0.998251
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL2_qp9_qt10_decompJPEG_512x512_Q25, 1.69, 0.588797
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL3_qp10_qt6_decompJPEG_2048x2048_Q10, 1.64, 0.647969
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL3_qp10_qt6_decompJPEG_2048x2048_Q75, 1.68, 0.594962
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL3_qp11_qt6_decompJPEG_2048x2048_Q50, 1.68, 0.521799
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL3_qp7_qt10_decompJPEG_1024x1024_Q90, 1.02, 0.996269
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL3_qp9_qt7_decompJPEG_512x512_Q90, 1.86, 0.599113
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp10_qt6_decompJPEG_1440x1440_Q75, 1.70, 0.575549
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q75, 1.67, 0.574668
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q90, 1.63, 0.574304
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp11_qt6_decompJPEG_1024x1024_Q75, 1.68, 0.484111
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp7_qt6_decompJPEG_512x512_Q25, 1.02, 0.999341
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp7_qt6_decompJPEG_512x512_Q50, 1.07, 0.998794
Doryphoros_HighRes_4Mfaces_Simplified_BakedUV_simpL4_qp9_qt6_decompJPEG_1024x1024_Q10, 1.45, 0.778478
