ObjectName, MOS, LPIPS
bear_simpL10_qp10_qt8_decompJPEG_1024x1024_Q25, 2.21, 0.435409
bear_simpL10_qp11_qt10_decompJPEG_1440x1440_Q50, 2.05, 0.414297
bear_simpL10_qp11_qt8_decompJPEG_2048x2048_Q25, 2.16, 0.419116
bear_simpL10_qp7_qt10_decompJPEG_1024x1024_Q75, 2.12, 0.458442
bear_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 2.14, 0.456138
bear_simpL1_qp10_qt6_decompJPEG_1440x1440_Q10, 2.55, 0.322304
bear_simpL1_qp11_qt10_decompJPEG_712x712_Q50, 4.72, 0.081643
bear_simpL1_qp8_qt6_decompJPEG_2048x2048_Q10, 1.30, 0.853838
bear_simpL2_qp10_qt7_decompJPEG_1024x1024_Q10, 3.86, 0.244751
bear_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.43, 0.824108
bear_simpL2_qp8_qt6_decompJPEG_512x512_Q25, 1.42, 0.821556
bear_simpL2_qp9_qt8_decompJPEG_2048x2048_Q50, 3.10, 0.439575
bear_simpL3_qp7_qt6_decompJPEG_1024x1024_Q25, 1.05, 0.983912
bear_simpL4_qp11_qt7_decompJPEG_512x512_Q90, 3.52, 0.146794
bear_simpL4_qp9_qt9_decompJPEG_1024x1024_Q10, 2.95, 0.386761
bear_simpL5_qp11_qt10_decompJPEG_512x512_Q25, 4.19, 0.140460
bear_simpL5_qp7_qt9_decompJPEG_2048x2048_Q75, 1.07, 0.968293
bear_simpL5_qp9_qt8_decompJPEG_1024x1024_Q10, 3.14, 0.347644
bear_simpL5_qp9_qt9_decompJPEG_1440x1440_Q10, 3.09, 0.340063
bear_simpL5_qp9_qt9_decompJPEG_712x712_Q10, 3.05, 0.351820
bear_simpL6_qp10_qt10_decompJPEG_512x512_Q10, 4.26, 0.201120
bear_simpL6_qp11_qt10_decompJPEG_512x512_Q50, 4.09, 0.126567
bear_simpL6_qp11_qt10_decompJPEG_712x712_Q50, 4.51, 0.092623
bear_simpL6_qp7_qt6_decompJPEG_512x512_Q50, 1.09, 0.948639
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 3.05, 0.331194
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q90, 3.27, 0.332355
bear_simpL6_qp9_qt8_decompJPEG_1024x1024_Q25, 3.05, 0.292500
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q50, 4.15, 0.144853
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q75, 4.48, 0.123847
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q90, 4.29, 0.103702
bear_simpL7_qp11_qt9_decompJPEG_512x512_Q50, 4.15, 0.138606
bear_simpL7_qp9_qt10_decompJPEG_512x512_Q75, 3.37, 0.250489
bear_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 3.36, 0.293216
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q50, 4.21, 0.167775
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q75, 4.34, 0.149946
bear_simpL8_qp10_qt8_decompJPEG_512x512_Q25, 3.98, 0.180568
bear_simpL8_qp10_qt9_decompJPEG_512x512_Q50, 4.07, 0.163798
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q50, 4.19, 0.165460
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.27, 0.143872
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q90, 4.39, 0.121555
bear_simpL8_qp11_qt10_decompJPEG_712x712_Q75, 4.62, 0.106828
bear_simpL8_qp11_qt7_decompJPEG_1024x1024_Q10, 3.91, 0.199978
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q50, 4.23, 0.160416
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q75, 4.15, 0.141129
bear_simpL8_qp11_qt9_decompJPEG_712x712_Q25, 4.55, 0.146142
bear_simpL8_qp9_qt6_decompJPEG_1024x1024_Q90, 2.69, 0.320543
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q75, 4.10, 0.207790
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q90, 3.86, 0.205998
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q25, 4.29, 0.206769
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 4.14, 0.173333
bear_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 4.14, 0.199613
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q10, 3.32, 0.290145
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q50, 3.80, 0.217663
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q75, 4.07, 0.197594
bear_simpL9_qp8_qt10_decompJPEG_512x512_Q50, 2.48, 0.376739
bear_simpL9_qp8_qt9_decompJPEG_512x512_Q10, 1.93, 0.414556
bear_simpL9_qp9_qt10_decompJPEG_512x512_Q90, 3.79, 0.203988
bear_simpL9_qp9_qt9_decompJPEG_2048x2048_Q75, 4.32, 0.179222
bear_simpL9_qp9_qt9_decompJPEG_512x512_Q25, 3.77, 0.265535
bear_simpL9_qp9_qt9_decompJPEG_712x712_Q50, 4.16, 0.206568
