ObjectName, MOS, LPIPS
to_subs_simpL10_qp10_qt7_decompJPEG_1024x1024_Q50, 1.16, 0.824590
to_subs_simpL10_qp11_qt8_decompJPEG_1024x1024_Q75, 1.15, 0.805626
to_subs_simpL10_qp11_qt8_decompJPEG_1024x1024_Q90, 1.14, 0.805526
to_subs_simpL10_qp11_qt8_decompJPEG_2048x2048_Q90, 1.02, 0.805205
to_subs_simpL10_qp7_qt10_decompJPEG_2048x2048_Q10, 1.05, 0.864439
to_subs_simpL10_qp7_qt9_decompJPEG_512x512_Q10, 1.00, 0.867621
to_subs_simpL1_qp7_qt7_decompJPEG_1024x1024_Q75, 1.23, 0.496245
to_subs_simpL1_qp8_qt7_decompJPEG_1440x1440_Q10, 1.89, 0.287215
to_subs_simpL2_qp11_qt7_decompJPEG_2048x2048_Q90, 4.23, 0.065260
to_subs_simpL3_qp10_qt7_decompJPEG_1440x1440_Q50, 3.98, 0.073202
to_subs_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 2.03, 0.271403
to_subs_simpL3_qp8_qt10_decompJPEG_1440x1440_Q90, 1.79, 0.270256
to_subs_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 1.84, 0.281979
to_subs_simpL3_qp8_qt6_decompJPEG_1440x1440_Q10, 1.82, 0.293398
to_subs_simpL4_qp9_qt6_decompJPEG_1024x1024_Q75, 3.65, 0.141551
to_subs_simpL5_qp9_qt6_decompJPEG_512x512_Q25, 3.98, 0.145443
to_subs_simpL6_qp10_qt7_decompJPEG_712x712_Q75, 4.13, 0.091516
to_subs_simpL6_qp7_qt10_decompJPEG_1024x1024_Q75, 1.29, 0.475624
to_subs_simpL6_qp7_qt10_decompJPEG_512x512_Q75, 1.33, 0.478611
to_subs_simpL6_qp7_qt8_decompJPEG_512x512_Q25, 1.29, 0.478000
to_subs_simpL6_qp7_qt9_decompJPEG_712x712_Q10, 1.17, 0.483764
to_subs_simpL7_qp8_qt6_decompJPEG_1024x1024_Q10, 1.93, 0.311366
to_subs_simpL7_qp8_qt6_decompJPEG_1440x1440_Q10, 1.74, 0.309470
to_subs_simpL8_qp7_qt10_decompJPEG_2048x2048_Q25, 1.17, 0.440936
to_subs_simpL8_qp7_qt10_decompJPEG_512x512_Q10, 1.11, 0.452011
to_subs_simpL8_qp7_qt6_decompJPEG_1440x1440_Q75, 1.21, 0.454114
to_subs_simpL8_qp7_qt7_decompJPEG_512x512_Q10, 1.23, 0.455138
to_subs_simpL8_qp7_qt9_decompJPEG_512x512_Q10, 1.19, 0.449328
to_subs_simpL8_qp7_qt9_decompJPEG_712x712_Q10, 1.23, 0.454155
to_subs_simpL8_qp8_qt10_decompJPEG_1024x1024_Q25, 1.87, 0.293771
to_subs_simpL8_qp9_qt6_decompJPEG_512x512_Q75, 3.82, 0.159626
to_subs_simpL9_qp10_qt10_decompJPEG_712x712_Q90, 3.81, 0.191838
to_subs_simpL9_qp10_qt9_decompJPEG_2048x2048_Q75, 3.50, 0.187988
to_subs_simpL9_qp11_qt10_decompJPEG_512x512_Q90, 3.79, 0.163519
to_subs_simpL9_qp7_qt10_decompJPEG_2048x2048_Q10, 1.21, 0.531934
to_subs_simpL9_qp7_qt6_decompJPEG_1024x1024_Q10, 1.19, 0.545364
to_subs_simpL9_qp7_qt6_decompJPEG_1440x1440_Q75, 1.16, 0.547655
to_subs_simpL9_qp7_qt6_decompJPEG_2048x2048_Q10, 1.35, 0.539458
to_subs_simpL9_qp7_qt6_decompJPEG_512x512_Q10, 1.23, 0.542843
to_subs_simpL9_qp7_qt6_decompJPEG_512x512_Q25, 1.36, 0.539011
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q10, 1.20, 0.542197
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q50, 1.19, 0.541369
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q75, 1.29, 0.538310
to_subs_simpL9_qp7_qt7_decompJPEG_1024x1024_Q75, 1.16, 0.520535
to_subs_simpL9_qp7_qt7_decompJPEG_2048x2048_Q75, 1.37, 0.520714
to_subs_simpL9_qp7_qt8_decompJPEG_1024x1024_Q25, 1.50, 0.526844
to_subs_simpL9_qp8_qt10_decompJPEG_512x512_Q10, 2.14, 0.351184
to_subs_simpL9_qp8_qt6_decompJPEG_1024x1024_Q25, 2.15, 0.351132
to_subs_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 2.02, 0.353415
to_subs_simpL9_qp8_qt6_decompJPEG_712x712_Q90, 2.30, 0.350805
to_subs_simpL9_qp8_qt7_decompJPEG_512x512_Q10, 2.00, 0.347657
to_subs_simpL9_qp8_qt7_decompJPEG_512x512_Q75, 2.23, 0.343528
to_subs_simpL9_qp8_qt9_decompJPEG_1024x1024_Q25, 2.50, 0.346885
