ObjectName, MOS, LPIPS
Orchid_simpL1_qp11_qt7_decompJPEG_1024x1024_Q75, 4.57, 0.064148
Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50, 4.62, 0.064121
Orchid_simpL1_qp8_qt8_decompJPEG_2048x2048_Q10, 3.81, 0.115438
Orchid_simpL1_qp8_qt9_decompJPEG_1440x1440_Q10, 3.86, 0.117667
Orchid_simpL1_qp9_qt6_decompJPEG_512x512_Q10, 2.86, 0.116607
Orchid_simpL1_qp9_qt7_decompJPEG_512x512_Q75, 4.39, 0.079463
Orchid_simpL2_qp10_qt6_decompJPEG_1440x1440_Q10, 3.46, 0.107117
Orchid_simpL2_qp10_qt7_decompJPEG_512x512_Q75, 4.52, 0.071108
Orchid_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.09, 0.089522
Orchid_simpL2_qp11_qt6_decompJPEG_2048x2048_Q75, 3.75, 0.090365
Orchid_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 4.63, 0.067350
Orchid_simpL2_qp9_qt9_decompJPEG_512x512_Q50, 4.60, 0.077389
Orchid_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.45, 0.100768
Orchid_simpL3_qp10_qt7_decompJPEG_2048x2048_Q25, 4.67, 0.076745
Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 4.39, 0.092841
Orchid_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 4.62, 0.073537
Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75, 4.84, 0.068037
Orchid_simpL4_qp11_qt7_decompJPEG_712x712_Q25, 4.30, 0.074634
Orchid_simpL6_qp8_qt6_decompJPEG_1440x1440_Q25, 3.28, 0.133885
Orchid_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 3.62, 0.122088
Orchid_simpL8_qp10_qt6_decompJPEG_512x512_Q10, 3.09, 0.150535
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.133985
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q50, 4.11, 0.119470
Orchid_simpL8_qp8_qt6_decompJPEG_1024x1024_Q75, 3.22, 0.164390
Orchid_simpL8_qp8_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.149930
Orchid_simpL8_qp8_qt8_decompJPEG_1024x1024_Q25, 4.24, 0.149697
Orchid_simpL9_qp10_qt7_decompJPEG_1024x1024_Q50, 4.36, 0.181967
Orchid_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 3.93, 0.189470
Orchid_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 4.00, 0.185541
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50, 4.05, 0.180191
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.179913
Orchid_simpL9_qp11_qt7_decompJPEG_1440x1440_Q10, 3.95, 0.195994
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q50, 4.20, 0.180537
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q75, 4.47, 0.179861
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 4.31, 0.179771
Orchid_simpL9_qp11_qt9_decompJPEG_1024x1024_Q90, 4.14, 0.172250
Orchid_simpL9_qp11_qt9_decompJPEG_1440x1440_Q90, 4.42, 0.172392
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q75, 4.16, 0.171634
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q90, 4.16, 0.171531
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q50, 3.83, 0.193367
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q75, 4.12, 0.193220
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q10, 3.96, 0.208157
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q25, 4.09, 0.195566
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q10, 3.93, 0.204540
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 3.86, 0.192771
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 4.07, 0.192272
Orchid_simpL9_qp8_qt7_decompJPEG_512x512_Q25, 3.77, 0.201431
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q10, 3.49, 0.208011
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q25, 3.98, 0.196507
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 4.00, 0.195628
Orchid_simpL9_qp8_qt8_decompJPEG_2048x2048_Q10, 4.10, 0.199912
Orchid_simpL9_qp8_qt8_decompJPEG_512x512_Q25, 3.74, 0.200287
Orchid_simpL9_qp8_qt9_decompJPEG_1440x1440_Q10, 4.10, 0.203605
Orchid_simpL9_qp8_qt9_decompJPEG_2048x2048_Q10, 4.14, 0.199309
