ObjectName, MOS, LPIPS
SitzenderKnabeNC_simpL10_qp10_qt6_decompJPEG_2048x2048_Q25, 1.64, 0.750351
SitzenderKnabeNC_simpL10_qp11_qt6_decompJPEG_1440x1440_Q25, 1.81, 0.761160
SitzenderKnabeNC_simpL10_qp8_qt6_decompJPEG_1024x1024_Q75, 1.86, 0.741863
SitzenderKnabeNC_simpL10_qp8_qt8_decompJPEG_712x712_Q75, 1.90, 0.672256
SitzenderKnabeNC_simpL10_qp9_qt10_decompJPEG_2048x2048_Q25, 2.11, 0.630213
SitzenderKnabeNC_simpL1_qp10_qt7_decompJPEG_1440x1440_Q50, 3.33, 0.286859
SitzenderKnabeNC_simpL1_qp10_qt7_decompJPEG_2048x2048_Q50, 3.33, 0.287991
SitzenderKnabeNC_simpL1_qp11_qt10_decompJPEG_1024x1024_Q10, 4.40, 0.244557
SitzenderKnabeNC_simpL1_qp11_qt7_decompJPEG_1440x1440_Q25, 3.42, 0.285982
SitzenderKnabeNC_simpL1_qp11_qt7_decompJPEG_2048x2048_Q90, 3.36, 0.285902
SitzenderKnabeNC_simpL2_qp8_qt8_decompJPEG_2048x2048_Q10, 2.14, 0.459789
SitzenderKnabeNC_simpL3_qp10_qt10_decompJPEG_1440x1440_Q10, 4.37, 0.224327
SitzenderKnabeNC_simpL3_qp10_qt6_decompJPEG_512x512_Q50, 2.60, 0.397187
SitzenderKnabeNC_simpL3_qp10_qt7_decompJPEG_1440x1440_Q75, 3.27, 0.283087
SitzenderKnabeNC_simpL3_qp11_qt10_decompJPEG_1440x1440_Q25, 4.48, 0.096615
SitzenderKnabeNC_simpL3_qp11_qt10_decompJPEG_712x712_Q10, 3.98, 0.307076
SitzenderKnabeNC_simpL3_qp11_qt6_decompJPEG_512x512_Q50, 2.58, 0.396493
SitzenderKnabeNC_simpL3_qp8_qt8_decompJPEG_512x512_Q90, 2.05, 0.376132
SitzenderKnabeNC_simpL3_qp8_qt9_decompJPEG_512x512_Q75, 2.47, 0.368420
SitzenderKnabeNC_simpL3_qp9_qt6_decompJPEG_512x512_Q50, 2.81, 0.416155
SitzenderKnabeNC_simpL4_qp10_qt6_decompJPEG_712x712_Q25, 2.51, 0.421134
SitzenderKnabeNC_simpL4_qp11_qt10_decompJPEG_1024x1024_Q10, 4.16, 0.262252
SitzenderKnabeNC_simpL4_qp11_qt10_decompJPEG_712x712_Q10, 4.00, 0.318425
SitzenderKnabeNC_simpL4_qp11_qt8_decompJPEG_1024x1024_Q10, 4.30, 0.289122
SitzenderKnabeNC_simpL4_qp11_qt8_decompJPEG_712x712_Q10, 3.90, 0.325597
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_1024x1024_Q10, 3.89, 0.275494
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_512x512_Q10, 3.53, 0.381543
SitzenderKnabeNC_simpL5_qp11_qt10_decompJPEG_712x712_Q10, 3.76, 0.337079
SitzenderKnabeNC_simpL5_qp11_qt9_decompJPEG_1024x1024_Q10, 4.10, 0.280132
SitzenderKnabeNC_simpL5_qp8_qt8_decompJPEG_2048x2048_Q50, 2.89, 0.338860
SitzenderKnabeNC_simpL5_qp9_qt6_decompJPEG_2048x2048_Q50, 2.02, 0.441638
SitzenderKnabeNC_simpL5_qp9_qt6_decompJPEG_512x512_Q90, 2.81, 0.398846
SitzenderKnabeNC_simpL6_qp11_qt10_decompJPEG_1024x1024_Q10, 4.00, 0.297622
SitzenderKnabeNC_simpL6_qp11_qt10_decompJPEG_1440x1440_Q10, 4.21, 0.252008
SitzenderKnabeNC_simpL6_qp11_qt7_decompJPEG_1440x1440_Q50, 3.42, 0.314224
SitzenderKnabeNC_simpL6_qp11_qt9_decompJPEG_1024x1024_Q10, 4.15, 0.301223
SitzenderKnabeNC_simpL6_qp8_qt8_decompJPEG_1024x1024_Q25, 2.74, 0.348158
SitzenderKnabeNC_simpL6_qp8_qt9_decompJPEG_2048x2048_Q75, 2.93, 0.303990
SitzenderKnabeNC_simpL6_qp9_qt6_decompJPEG_712x712_Q50, 3.02, 0.442449
SitzenderKnabeNC_simpL7_qp11_qt8_decompJPEG_512x512_Q10, 3.38, 0.433585
SitzenderKnabeNC_simpL7_qp11_qt8_decompJPEG_712x712_Q10, 3.75, 0.400375
SitzenderKnabeNC_simpL7_qp9_qt6_decompJPEG_512x512_Q90, 2.76, 0.460116
SitzenderKnabeNC_simpL8_qp7_qt6_decompJPEG_512x512_Q50, 1.33, 0.770482
SitzenderKnabeNC_simpL8_qp7_qt7_decompJPEG_1024x1024_Q25, 1.33, 0.651313
SitzenderKnabeNC_simpL8_qp8_qt6_decompJPEG_2048x2048_Q10, 2.18, 0.647586
SitzenderKnabeNC_simpL8_qp8_qt7_decompJPEG_512x512_Q75, 2.63, 0.416770
SitzenderKnabeNC_simpL8_qp8_qt9_decompJPEG_512x512_Q50, 2.98, 0.357058
SitzenderKnabeNC_simpL8_qp9_qt6_decompJPEG_2048x2048_Q10, 2.26, 0.614572
SitzenderKnabeNC_simpL8_qp9_qt9_decompJPEG_512x512_Q25, 3.59, 0.354337
SitzenderKnabeNC_simpL9_qp10_qt6_decompJPEG_1440x1440_Q90, 2.23, 0.568540
SitzenderKnabeNC_simpL9_qp10_qt6_decompJPEG_712x712_Q75, 2.37, 0.572374
SitzenderKnabeNC_simpL9_qp11_qt10_decompJPEG_712x712_Q10, 3.32, 0.511115
SitzenderKnabeNC_simpL9_qp11_qt6_decompJPEG_712x712_Q90, 2.38, 0.560833
SitzenderKnabeNC_simpL9_qp7_qt6_decompJPEG_512x512_Q10, 1.41, 0.774264
SitzenderKnabeNC_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 2.76, 0.435949
SitzenderKnabeNC_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 2.81, 0.424303
