ObjectName, MOS, LPIPS
load_objects_simpL10_qp7_qt6_decompJPEG_1440x1440_Q10, 1.95, 0.785255
load_objects_simpL10_qp7_qt8_decompJPEG_1440x1440_Q75, 2.14, 0.685507
load_objects_simpL10_qp8_qt10_decompJPEG_512x512_Q50, 2.00, 0.717631
load_objects_simpL10_qp8_qt8_decompJPEG_1440x1440_Q25, 2.24, 0.679401
load_objects_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 2.12, 0.748308
load_objects_simpL1_qp10_qt10_decompJPEG_1024x1024_Q75, 4.00, 0.293611
load_objects_simpL1_qp10_qt6_decompJPEG_712x712_Q75, 3.61, 0.390556
load_objects_simpL1_qp8_qt7_decompJPEG_2048x2048_Q10, 1.59, 0.976035
load_objects_simpL1_qp9_qt10_decompJPEG_2048x2048_Q10, 3.11, 0.693426
load_objects_simpL1_qp9_qt6_decompJPEG_1440x1440_Q25, 2.67, 0.729432
load_objects_simpL1_qp9_qt6_decompJPEG_2048x2048_Q25, 2.52, 0.730844
load_objects_simpL1_qp9_qt8_decompJPEG_712x712_Q25, 3.00, 0.697235
load_objects_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.964298
load_objects_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.76, 0.961682
load_objects_simpL3_qp8_qt10_decompJPEG_2048x2048_Q10, 1.82, 0.933449
load_objects_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 1.77, 0.946419
load_objects_simpL3_qp8_qt7_decompJPEG_1024x1024_Q25, 1.89, 0.942798
load_objects_simpL3_qp8_qt7_decompJPEG_1440x1440_Q25, 1.85, 0.938545
load_objects_simpL3_qp8_qt7_decompJPEG_2048x2048_Q75, 1.88, 0.931778
load_objects_simpL3_qp9_qt10_decompJPEG_1440x1440_Q90, 3.02, 0.611538
load_objects_simpL3_qp9_qt10_decompJPEG_512x512_Q50, 3.24, 0.643119
load_objects_simpL4_qp8_qt10_decompJPEG_512x512_Q10, 1.73, 0.933420
load_objects_simpL4_qp8_qt6_decompJPEG_2048x2048_Q90, 1.74, 0.925367
load_objects_simpL4_qp8_qt8_decompJPEG_2048x2048_Q10, 2.00, 0.922173
load_objects_simpL4_qp8_qt9_decompJPEG_1024x1024_Q25, 1.88, 0.913868
load_objects_simpL5_qp8_qt10_decompJPEG_1024x1024_Q50, 1.95, 0.876764
load_objects_simpL5_qp8_qt6_decompJPEG_1440x1440_Q25, 2.26, 0.913347
load_objects_simpL5_qp8_qt6_decompJPEG_2048x2048_Q25, 1.81, 0.917421
load_objects_simpL5_qp8_qt7_decompJPEG_1440x1440_Q25, 1.95, 0.902922
load_objects_simpL6_qp7_qt10_decompJPEG_1440x1440_Q90, 1.10, 0.990884
load_objects_simpL6_qp7_qt7_decompJPEG_1440x1440_Q75, 1.19, 0.992435
load_objects_simpL6_qp8_qt6_decompJPEG_1440x1440_Q10, 2.12, 0.901062
load_objects_simpL6_qp8_qt6_decompJPEG_512x512_Q90, 1.95, 0.877885
load_objects_simpL6_qp8_qt7_decompJPEG_512x512_Q10, 1.86, 0.896148
load_objects_simpL6_qp9_qt6_decompJPEG_2048x2048_Q75, 3.33, 0.528497
load_objects_simpL6_qp9_qt9_decompJPEG_712x712_Q25, 3.58, 0.481869
load_objects_simpL7_qp7_qt10_decompJPEG_1440x1440_Q90, 1.16, 0.976947
load_objects_simpL7_qp7_qt10_decompJPEG_2048x2048_Q90, 1.20, 0.975913
load_objects_simpL7_qp7_qt6_decompJPEG_2048x2048_Q90, 1.16, 0.986855
load_objects_simpL7_qp7_qt9_decompJPEG_2048x2048_Q90, 1.30, 0.975940
load_objects_simpL7_qp8_qt6_decompJPEG_1024x1024_Q10, 2.35, 0.837000
load_objects_simpL7_qp8_qt6_decompJPEG_2048x2048_Q25, 2.39, 0.826905
load_objects_simpL7_qp8_qt7_decompJPEG_1024x1024_Q10, 2.46, 0.817637
load_objects_simpL7_qp8_qt8_decompJPEG_1024x1024_Q10, 2.19, 0.809971
load_objects_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.30, 0.793402
load_objects_simpL7_qp9_qt6_decompJPEG_2048x2048_Q50, 3.26, 0.449026
load_objects_simpL8_qp8_qt10_decompJPEG_1024x1024_Q25, 2.56, 0.691190
load_objects_simpL8_qp8_qt10_decompJPEG_2048x2048_Q10, 2.41, 0.712694
load_objects_simpL8_qp8_qt10_decompJPEG_512x512_Q90, 2.49, 0.668198
load_objects_simpL8_qp8_qt6_decompJPEG_1440x1440_Q25, 2.60, 0.736593
load_objects_simpL8_qp8_qt9_decompJPEG_2048x2048_Q10, 2.25, 0.714384
load_objects_simpL9_qp7_qt6_decompJPEG_2048x2048_Q10, 1.50, 0.896672
load_objects_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.50, 0.306769
