ObjectName, MOS, LPIPS
Graphosoma_simpL10_qp11_qt7_decompJPEG_1024x1024_Q50, 4.16, 0.509066
Graphosoma_simpL10_qp11_qt8_decompJPEG_712x712_Q10, 3.91, 0.564777
Graphosoma_simpL10_qp7_qt6_decompJPEG_1024x1024_Q50, 4.07, 0.588712
Graphosoma_simpL10_qp8_qt6_decompJPEG_512x512_Q50, 4.05, 0.569203
Graphosoma_simpL10_qp9_qt6_decompJPEG_1440x1440_Q25, 3.93, 0.556952
Graphosoma_simpL10_qp9_qt6_decompJPEG_2048x2048_Q10, 4.12, 0.563076
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q10, 3.72, 0.614892
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q25, 4.05, 0.570817
Graphosoma_simpL10_qp9_qt6_decompJPEG_512x512_Q50, 4.00, 0.556815
Graphosoma_simpL10_qp9_qt7_decompJPEG_1024x1024_Q90, 3.93, 0.516529
Graphosoma_simpL10_qp9_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.520283
Graphosoma_simpL10_qp9_qt7_decompJPEG_2048x2048_Q75, 4.19, 0.517305
Graphosoma_simpL10_qp9_qt7_decompJPEG_512x512_Q10, 3.67, 0.609959
Graphosoma_simpL10_qp9_qt8_decompJPEG_712x712_Q10, 3.73, 0.575184
Graphosoma_simpL1_qp7_qt6_decompJPEG_1024x1024_Q50, 1.14, 0.991209
Graphosoma_simpL1_qp7_qt6_decompJPEG_1024x1024_Q90, 1.17, 0.990598
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q10, 1.36, 0.989869
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q50, 1.14, 0.989106
Graphosoma_simpL1_qp7_qt6_decompJPEG_2048x2048_Q75, 1.29, 0.989540
Graphosoma_simpL1_qp8_qt7_decompJPEG_712x712_Q90, 2.48, 0.534176
Graphosoma_simpL1_qp8_qt8_decompJPEG_712x712_Q50, 2.45, 0.485134
Graphosoma_simpL2_qp7_qt6_decompJPEG_1024x1024_Q50, 1.43, 0.985196
Graphosoma_simpL2_qp8_qt9_decompJPEG_1440x1440_Q50, 2.57, 0.441571
Graphosoma_simpL3_qp11_qt6_decompJPEG_1024x1024_Q25, 3.00, 0.319072
Graphosoma_simpL3_qp8_qt10_decompJPEG_2048x2048_Q75, 2.77, 0.408776
Graphosoma_simpL3_qp8_qt10_decompJPEG_512x512_Q90, 2.67, 0.398750
Graphosoma_simpL3_qp8_qt10_decompJPEG_712x712_Q90, 2.91, 0.409214
Graphosoma_simpL4_qp7_qt10_decompJPEG_2048x2048_Q25, 1.20, 0.939793
Graphosoma_simpL4_qp8_qt10_decompJPEG_1440x1440_Q25, 2.81, 0.372294
Graphosoma_simpL5_qp10_qt6_decompJPEG_2048x2048_Q50, 2.76, 0.337976
Graphosoma_simpL5_qp11_qt7_decompJPEG_2048x2048_Q90, 3.86, 0.152018
Graphosoma_simpL5_qp8_qt6_decompJPEG_512x512_Q50, 2.21, 0.546890
Graphosoma_simpL6_qp11_qt6_decompJPEG_1440x1440_Q25, 2.98, 0.327992
Graphosoma_simpL6_qp11_qt6_decompJPEG_712x712_Q50, 3.30, 0.315160
Graphosoma_simpL6_qp7_qt6_decompJPEG_2048x2048_Q25, 1.30, 0.907093
Graphosoma_simpL7_qp8_qt10_decompJPEG_1440x1440_Q50, 3.12, 0.284520
Graphosoma_simpL7_qp8_qt6_decompJPEG_1024x1024_Q25, 2.53, 0.455424
Graphosoma_simpL7_qp8_qt9_decompJPEG_1024x1024_Q90, 3.07, 0.277570
Graphosoma_simpL8_qp10_qt6_decompJPEG_2048x2048_Q75, 3.20, 0.338246
Graphosoma_simpL9_qp10_qt6_decompJPEG_1024x1024_Q75, 3.45, 0.339967
Graphosoma_simpL9_qp10_qt6_decompJPEG_1440x1440_Q50, 3.28, 0.345526
Graphosoma_simpL9_qp10_qt8_decompJPEG_1440x1440_Q75, 4.43, 0.219265
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q25, 3.64, 0.334570
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q50, 3.36, 0.334991
Graphosoma_simpL9_qp11_qt6_decompJPEG_1440x1440_Q75, 3.39, 0.332537
Graphosoma_simpL9_qp11_qt6_decompJPEG_2048x2048_Q10, 3.15, 0.355312
Graphosoma_simpL9_qp11_qt6_decompJPEG_2048x2048_Q75, 3.45, 0.336286
Graphosoma_simpL9_qp11_qt6_decompJPEG_512x512_Q90, 3.47, 0.335283
Graphosoma_simpL9_qp7_qt6_decompJPEG_1440x1440_Q10, 1.92, 0.602450
Graphosoma_simpL9_qp8_qt6_decompJPEG_1440x1440_Q50, 2.88, 0.401006
Graphosoma_simpL9_qp9_qt6_decompJPEG_2048x2048_Q10, 3.40, 0.374224
Graphosoma_simpL9_qp9_qt6_decompJPEG_712x712_Q10, 3.17, 0.398458
Graphosoma_simpL9_qp9_qt7_decompJPEG_1024x1024_Q75, 4.23, 0.258580
