ObjectName, MOS, LPIPS
Streblognathus_simpL10_qp11_qt6_decompJPEG_1024x1024_Q90, 3.70, 0.381962
Streblognathus_simpL10_qp7_qt10_decompJPEG_512x512_Q10, 2.77, 0.631819
Streblognathus_simpL10_qp7_qt6_decompJPEG_2048x2048_Q25, 3.30, 0.517218
Streblognathus_simpL10_qp8_qt6_decompJPEG_712x712_Q10, 3.22, 0.496703
Streblognathus_simpL10_qp8_qt7_decompJPEG_512x512_Q10, 3.10, 0.554534
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q10, 3.72, 0.438808
Streblognathus_simpL10_qp9_qt6_decompJPEG_1440x1440_Q50, 4.05, 0.412377
Streblognathus_simpL10_qp9_qt6_decompJPEG_2048x2048_Q75, 3.93, 0.396989
Streblognathus_simpL10_qp9_qt6_decompJPEG_712x712_Q25, 4.18, 0.413447
Streblognathus_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 3.62, 0.226767
Streblognathus_simpL1_qp7_qt6_decompJPEG_2048x2048_Q10, 1.02, 1.000000
Streblognathus_simpL1_qp8_qt6_decompJPEG_2048x2048_Q50, 1.67, 0.950836
Streblognathus_simpL2_qp11_qt6_decompJPEG_1024x1024_Q25, 2.72, 0.290273
Streblognathus_simpL2_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 1.000000
Streblognathus_simpL2_qp7_qt9_decompJPEG_1440x1440_Q10, 1.05, 1.000000
Streblognathus_simpL2_qp8_qt6_decompJPEG_1440x1440_Q10, 1.64, 0.927218
Streblognathus_simpL2_qp9_qt6_decompJPEG_2048x2048_Q75, 2.74, 0.576584
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q10, 1.05, 1.000000
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q25, 1.07, 0.997126
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q50, 1.14, 0.995845
Streblognathus_simpL3_qp7_qt6_decompJPEG_2048x2048_Q75, 1.02, 0.996920
Streblognathus_simpL4_qp7_qt6_decompJPEG_2048x2048_Q75, 1.10, 0.998923
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q10, 1.77, 0.910440
Streblognathus_simpL4_qp8_qt6_decompJPEG_1440x1440_Q25, 2.00, 0.909436
Streblognathus_simpL4_qp8_qt6_decompJPEG_512x512_Q75, 1.73, 0.888203
Streblognathus_simpL5_qp7_qt9_decompJPEG_2048x2048_Q10, 1.09, 0.992013
Streblognathus_simpL5_qp8_qt7_decompJPEG_1440x1440_Q90, 1.79, 0.773663
Streblognathus_simpL5_qp8_qt7_decompJPEG_2048x2048_Q25, 2.05, 0.774610
Streblognathus_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.192189
Streblognathus_simpL6_qp7_qt6_decompJPEG_712x712_Q50, 1.10, 0.995984
Streblognathus_simpL6_qp8_qt6_decompJPEG_512x512_Q10, 1.93, 0.713117
Streblognathus_simpL6_qp8_qt7_decompJPEG_1440x1440_Q50, 2.23, 0.685978
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q50, 2.10, 0.647380
Streblognathus_simpL7_qp8_qt7_decompJPEG_2048x2048_Q75, 2.14, 0.652108
Streblognathus_simpL8_qp11_qt8_decompJPEG_512x512_Q75, 4.58, 0.056452
Streblognathus_simpL8_qp7_qt10_decompJPEG_512x512_Q75, 1.09, 0.987282
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q10, 1.14, 0.991726
Streblognathus_simpL8_qp7_qt6_decompJPEG_2048x2048_Q50, 1.07, 0.989266
Streblognathus_simpL8_qp7_qt6_decompJPEG_512x512_Q25, 1.09, 0.989300
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q25, 1.30, 0.986036
Streblognathus_simpL8_qp7_qt7_decompJPEG_1024x1024_Q50, 1.15, 0.986510
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q25, 1.05, 0.986729
Streblognathus_simpL8_qp7_qt7_decompJPEG_1440x1440_Q50, 1.20, 0.986604
Streblognathus_simpL8_qp7_qt7_decompJPEG_2048x2048_Q90, 1.19, 0.986175
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q10, 1.14, 0.988304
Streblognathus_simpL8_qp7_qt7_decompJPEG_512x512_Q50, 1.19, 0.985048
Streblognathus_simpL8_qp7_qt9_decompJPEG_512x512_Q75, 1.07, 0.986576
Streblognathus_simpL8_qp8_qt6_decompJPEG_712x712_Q25, 2.00, 0.519899
Streblognathus_simpL8_qp8_qt8_decompJPEG_2048x2048_Q10, 2.22, 0.528430
Streblognathus_simpL8_qp8_qt8_decompJPEG_712x712_Q90, 2.43, 0.490169
Streblognathus_simpL9_qp7_qt6_decompJPEG_512x512_Q50, 1.43, 0.866591
Streblognathus_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 2.44, 0.387960
Streblognathus_simpL9_qp8_qt9_decompJPEG_1024x1024_Q10, 2.37, 0.448790
