ObjectName, MOS, LPIPS
skiboot_BakedUV_simpL1_qp10_qt6_decompJPEG_1024x1024_Q75, 2.00, 0.641350
skiboot_BakedUV_simpL1_qp11_qt6_decompJPEG_1024x1024_Q75, 1.84, 0.640355
skiboot_BakedUV_simpL1_qp11_qt6_decompJPEG_512x512_Q90, 1.95, 0.617473
skiboot_BakedUV_simpL1_qp8_qt10_decompJPEG_1440x1440_Q25, 2.63, 0.346783
skiboot_BakedUV_simpL1_qp8_qt6_decompJPEG_1440x1440_Q10, 1.74, 0.824853
skiboot_BakedUV_simpL1_qp8_qt6_decompJPEG_1440x1440_Q25, 1.28, 0.816511
skiboot_BakedUV_simpL1_qp8_qt9_decompJPEG_512x512_Q50, 2.38, 0.502459
skiboot_BakedUV_simpL2_qp11_qt6_decompJPEG_512x512_Q90, 2.02, 0.617923
skiboot_BakedUV_simpL2_qp9_qt10_decompJPEG_1024x1024_Q90, 3.88, 0.090714
skiboot_BakedUV_simpL3_qp10_qt6_decompJPEG_512x512_Q90, 2.05, 0.628459
skiboot_BakedUV_simpL3_qp11_qt6_decompJPEG_512x512_Q75, 1.98, 0.621966
skiboot_BakedUV_simpL3_qp11_qt6_decompJPEG_512x512_Q90, 2.20, 0.620376
skiboot_BakedUV_simpL3_qp8_qt6_decompJPEG_1440x1440_Q25, 1.56, 0.797343
skiboot_BakedUV_simpL3_qp8_qt6_decompJPEG_2048x2048_Q75, 1.61, 0.794144
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_1024x1024_Q25, 1.84, 0.678374
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_1024x1024_Q75, 1.90, 0.679341
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_1024x1024_Q90, 1.85, 0.679243
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_1440x1440_Q25, 1.67, 0.689128
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_2048x2048_Q10, 1.86, 0.699795
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_2048x2048_Q25, 1.80, 0.686559
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_2048x2048_Q50, 2.05, 0.687978
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_2048x2048_Q75, 1.83, 0.692317
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_2048x2048_Q90, 1.85, 0.688208
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_512x512_Q75, 2.05, 0.657265
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_512x512_Q90, 1.86, 0.658138
skiboot_BakedUV_simpL3_qp9_qt6_decompJPEG_712x712_Q10, 1.74, 0.731931
skiboot_BakedUV_simpL4_qp10_qt6_decompJPEG_512x512_Q90, 1.93, 0.627493
skiboot_BakedUV_simpL4_qp10_qt6_decompJPEG_712x712_Q75, 1.82, 0.638272
skiboot_BakedUV_simpL4_qp10_qt8_decompJPEG_1024x1024_Q75, 3.36, 0.189138
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_1024x1024_Q25, 2.10, 0.639923
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_1024x1024_Q75, 2.04, 0.643533
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_1024x1024_Q90, 1.89, 0.644400
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_512x512_Q75, 2.17, 0.623152
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_512x512_Q90, 1.76, 0.622095
skiboot_BakedUV_simpL4_qp11_qt6_decompJPEG_712x712_Q90, 1.90, 0.638671
skiboot_BakedUV_simpL4_qp8_qt6_decompJPEG_1440x1440_Q10, 1.44, 0.790069
skiboot_BakedUV_simpL4_qp9_qt6_decompJPEG_1024x1024_Q75, 1.90, 0.668420
skiboot_BakedUV_simpL4_qp9_qt6_decompJPEG_512x512_Q75, 1.76, 0.648402
skiboot_BakedUV_simpL4_qp9_qt6_decompJPEG_512x512_Q90, 2.02, 0.648806
skiboot_BakedUV_simpL5_qp11_qt6_decompJPEG_512x512_Q90, 2.07, 0.639738
skiboot_BakedUV_simpL5_qp8_qt10_decompJPEG_512x512_Q25, 2.23, 0.496537
skiboot_BakedUV_simpL5_qp8_qt9_decompJPEG_512x512_Q75, 2.53, 0.390218
skiboot_BakedUV_simpL5_qp9_qt6_decompJPEG_512x512_Q90, 1.82, 0.657481
skiboot_BakedUV_simpL6_qp10_qt10_decompJPEG_1024x1024_Q90, 4.49, 0.088886
skiboot_BakedUV_simpL6_qp11_qt6_decompJPEG_512x512_Q90, 2.02, 0.646906
skiboot_BakedUV_simpL6_qp7_qt6_decompJPEG_712x712_Q75, 1.15, 0.877490
skiboot_BakedUV_simpL6_qp8_qt10_decompJPEG_512x512_Q75, 2.67, 0.363667
skiboot_BakedUV_simpL6_qp9_qt10_decompJPEG_512x512_Q25, 2.79, 0.393476
skiboot_BakedUV_simpL7_qp7_qt6_decompJPEG_712x712_Q75, 1.12, 0.861660
skiboot_BakedUV_simpL8_qp10_qt10_decompJPEG_2048x2048_Q75, 3.93, 0.147038
skiboot_BakedUV_simpL8_qp10_qt8_decompJPEG_512x512_Q75, 2.95, 0.367401
skiboot_BakedUV_simpL9_qp7_qt6_decompJPEG_1440x1440_Q50, 1.20, 0.791180
skiboot_BakedUV_simpL9_qp7_qt6_decompJPEG_1440x1440_Q90, 1.10, 0.789264
