ObjectName, MOS, LPIPS
bear_simpL10_qp10_qt8_decompJPEG_1024x1024_Q25, 2.21, 0.479554
bear_simpL10_qp11_qt10_decompJPEG_1440x1440_Q50, 2.05, 0.456479
bear_simpL10_qp11_qt8_decompJPEG_2048x2048_Q25, 2.16, 0.457544
bear_simpL10_qp7_qt10_decompJPEG_1024x1024_Q75, 2.12, 0.499713
bear_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 2.14, 0.496093
bear_simpL1_qp10_qt6_decompJPEG_1440x1440_Q10, 2.55, 0.357453
bear_simpL1_qp11_qt10_decompJPEG_712x712_Q50, 4.72, 0.090802
bear_simpL1_qp8_qt6_decompJPEG_2048x2048_Q10, 1.30, 0.903394
bear_simpL2_qp10_qt7_decompJPEG_1024x1024_Q10, 3.86, 0.273177
bear_simpL2_qp8_qt6_decompJPEG_2048x2048_Q10, 1.43, 0.883435
bear_simpL2_qp8_qt6_decompJPEG_512x512_Q25, 1.42, 0.878972
bear_simpL2_qp9_qt8_decompJPEG_2048x2048_Q50, 3.10, 0.507941
bear_simpL3_qp7_qt6_decompJPEG_1024x1024_Q25, 1.05, 0.988523
bear_simpL4_qp11_qt7_decompJPEG_512x512_Q90, 3.52, 0.157865
bear_simpL4_qp9_qt9_decompJPEG_1024x1024_Q10, 2.95, 0.442143
bear_simpL5_qp11_qt10_decompJPEG_512x512_Q25, 4.19, 0.158813
bear_simpL5_qp7_qt9_decompJPEG_2048x2048_Q75, 1.07, 0.977191
bear_simpL5_qp9_qt8_decompJPEG_1024x1024_Q10, 3.14, 0.392836
bear_simpL5_qp9_qt9_decompJPEG_1440x1440_Q10, 3.09, 0.385974
bear_simpL5_qp9_qt9_decompJPEG_712x712_Q10, 3.05, 0.397987
bear_simpL6_qp10_qt10_decompJPEG_512x512_Q10, 4.26, 0.224007
bear_simpL6_qp11_qt10_decompJPEG_512x512_Q50, 4.09, 0.145084
bear_simpL6_qp11_qt10_decompJPEG_712x712_Q50, 4.51, 0.103704
bear_simpL6_qp7_qt6_decompJPEG_512x512_Q50, 1.09, 0.963204
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 3.05, 0.369336
bear_simpL6_qp9_qt7_decompJPEG_2048x2048_Q90, 3.27, 0.371083
bear_simpL6_qp9_qt8_decompJPEG_1024x1024_Q25, 3.05, 0.332477
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q50, 4.15, 0.167406
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q75, 4.48, 0.142681
bear_simpL7_qp11_qt10_decompJPEG_512x512_Q90, 4.29, 0.118870
bear_simpL7_qp11_qt9_decompJPEG_512x512_Q50, 4.15, 0.159009
bear_simpL7_qp9_qt10_decompJPEG_512x512_Q75, 3.37, 0.282618
bear_simpL7_qp9_qt9_decompJPEG_512x512_Q10, 3.36, 0.327567
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q50, 4.21, 0.189215
bear_simpL8_qp10_qt10_decompJPEG_512x512_Q75, 4.34, 0.169258
bear_simpL8_qp10_qt8_decompJPEG_512x512_Q25, 3.98, 0.201307
bear_simpL8_qp10_qt9_decompJPEG_512x512_Q50, 4.07, 0.183662
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q50, 4.19, 0.191507
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q75, 4.27, 0.166542
bear_simpL8_qp11_qt10_decompJPEG_512x512_Q90, 4.39, 0.139325
bear_simpL8_qp11_qt10_decompJPEG_712x712_Q75, 4.62, 0.122051
bear_simpL8_qp11_qt7_decompJPEG_1024x1024_Q10, 3.91, 0.221302
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q50, 4.23, 0.184897
bear_simpL8_qp11_qt9_decompJPEG_512x512_Q75, 4.15, 0.162501
bear_simpL8_qp11_qt9_decompJPEG_712x712_Q25, 4.55, 0.165603
bear_simpL8_qp9_qt6_decompJPEG_1024x1024_Q90, 2.69, 0.351196
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q75, 4.10, 0.233277
bear_simpL8_qp9_qt9_decompJPEG_1024x1024_Q90, 3.86, 0.230761
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q25, 4.29, 0.231579
bear_simpL9_qp10_qt8_decompJPEG_712x712_Q75, 4.14, 0.193709
bear_simpL9_qp11_qt10_decompJPEG_512x512_Q75, 4.14, 0.231221
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q10, 3.32, 0.341079
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q50, 3.80, 0.251337
bear_simpL9_qp11_qt9_decompJPEG_512x512_Q75, 4.07, 0.228681
bear_simpL9_qp8_qt10_decompJPEG_512x512_Q50, 2.48, 0.414681
bear_simpL9_qp8_qt9_decompJPEG_512x512_Q10, 1.93, 0.454975
bear_simpL9_qp9_qt10_decompJPEG_512x512_Q90, 3.79, 0.227358
bear_simpL9_qp9_qt9_decompJPEG_2048x2048_Q75, 4.32, 0.198449
bear_simpL9_qp9_qt9_decompJPEG_512x512_Q25, 3.77, 0.298284
bear_simpL9_qp9_qt9_decompJPEG_712x712_Q50, 4.16, 0.229013
