ObjectName, MOS, LPIPS
rescue_craft_simpL1_qp10_qt7_decompJPEG_2048x2048_Q25, 3.24, 0.314831
rescue_craft_simpL1_qp10_qt7_decompJPEG_512x512_Q25, 3.54, 0.298643
rescue_craft_simpL1_qp11_qt6_decompJPEG_712x712_Q50, 2.73, 0.416732
rescue_craft_simpL1_qp8_qt7_decompJPEG_1440x1440_Q25, 1.30, 0.896849
rescue_craft_simpL1_qp9_qt9_decompJPEG_512x512_Q50, 2.65, 0.340034
rescue_craft_simpL2_qp10_qt8_decompJPEG_712x712_Q50, 3.64, 0.198921
rescue_craft_simpL2_qp11_qt8_decompJPEG_1440x1440_Q90, 4.49, 0.170365
rescue_craft_simpL2_qp9_qt6_decompJPEG_512x512_Q10, 2.34, 0.628035
rescue_craft_simpL3_qp10_qt8_decompJPEG_712x712_Q10, 3.70, 0.299883
rescue_craft_simpL4_qp10_qt8_decompJPEG_712x712_Q75, 3.62, 0.197521
rescue_craft_simpL4_qp11_qt9_decompJPEG_712x712_Q10, 4.21, 0.265402
rescue_craft_simpL4_qp9_qt7_decompJPEG_1024x1024_Q50, 2.23, 0.438044
rescue_craft_simpL5_qp11_qt10_decompJPEG_512x512_Q10, 3.73, 0.350112
rescue_craft_simpL5_qp11_qt10_decompJPEG_712x712_Q10, 4.26, 0.274956
rescue_craft_simpL6_qp10_qt10_decompJPEG_1440x1440_Q50, 4.02, 0.174777
rescue_craft_simpL6_qp11_qt10_decompJPEG_512x512_Q25, 4.07, 0.216746
rescue_craft_simpL6_qp11_qt10_decompJPEG_712x712_Q10, 4.00, 0.286874
rescue_craft_simpL6_qp8_qt7_decompJPEG_2048x2048_Q90, 1.64, 0.743475
rescue_craft_simpL7_qp10_qt6_decompJPEG_512x512_Q25, 2.98, 0.496020
rescue_craft_simpL7_qp10_qt8_decompJPEG_712x712_Q90, 3.54, 0.234802
rescue_craft_simpL7_qp11_qt7_decompJPEG_2048x2048_Q10, 3.71, 0.352015
rescue_craft_simpL7_qp11_qt8_decompJPEG_712x712_Q10, 3.79, 0.331577
rescue_craft_simpL7_qp11_qt9_decompJPEG_712x712_Q10, 3.95, 0.320818
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q50, 2.60, 0.427215
rescue_craft_simpL7_qp9_qt7_decompJPEG_2048x2048_Q90, 2.48, 0.424444
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q10, 3.45, 0.384222
rescue_craft_simpL8_qp10_qt10_decompJPEG_712x712_Q50, 3.67, 0.247323
rescue_craft_simpL8_qp10_qt8_decompJPEG_2048x2048_Q25, 3.58, 0.279201
rescue_craft_simpL8_qp10_qt9_decompJPEG_1024x1024_Q25, 3.84, 0.251781
rescue_craft_simpL8_qp11_qt10_decompJPEG_512x512_Q25, 3.72, 0.292047
rescue_craft_simpL8_qp11_qt7_decompJPEG_512x512_Q75, 3.45, 0.334621
rescue_craft_simpL9_qp10_qt10_decompJPEG_1440x1440_Q25, 3.59, 0.328910
rescue_craft_simpL9_qp10_qt6_decompJPEG_1024x1024_Q50, 2.24, 0.573569
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q10, 2.88, 0.483713
rescue_craft_simpL9_qp10_qt7_decompJPEG_1024x1024_Q75, 2.91, 0.422197
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q25, 2.88, 0.423921
rescue_craft_simpL9_qp10_qt7_decompJPEG_1440x1440_Q90, 3.07, 0.418524
rescue_craft_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25, 3.16, 0.423882
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 2.93, 0.462056
rescue_craft_simpL9_qp10_qt7_decompJPEG_512x512_Q50, 3.00, 0.441715
rescue_craft_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 3.02, 0.441183
rescue_craft_simpL9_qp10_qt8_decompJPEG_1440x1440_Q25, 3.20, 0.360577
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q25, 3.14, 0.411805
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q50, 3.26, 0.384278
rescue_craft_simpL9_qp10_qt8_decompJPEG_512x512_Q75, 3.20, 0.366905
rescue_craft_simpL9_qp11_qt8_decompJPEG_1024x1024_Q50, 3.19, 0.345470
rescue_craft_simpL9_qp8_qt10_decompJPEG_1024x1024_Q10, 1.70, 0.662812
rescue_craft_simpL9_qp8_qt10_decompJPEG_712x712_Q10, 1.79, 0.704843
rescue_craft_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 1.51, 0.777359
rescue_craft_simpL9_qp8_qt9_decompJPEG_1024x1024_Q90, 1.93, 0.606487
rescue_craft_simpL9_qp8_qt9_decompJPEG_2048x2048_Q50, 1.84, 0.610176
rescue_craft_simpL9_qp9_qt7_decompJPEG_1440x1440_Q10, 2.52, 0.529097
rescue_craft_simpL9_qp9_qt8_decompJPEG_1440x1440_Q10, 2.64, 0.465760
