ObjectName, MOS, LPIPS
pizza_bakedUV_simpL10_qp11_qt8_decompJPEG_512x512_Q90, 1.57, 0.652614
pizza_bakedUV_simpL10_qp7_qt9_decompJPEG_1024x1024_Q90, 1.20, 0.627192
pizza_bakedUV_simpL1_qp10_qt10_decompJPEG_512x512_Q25, 3.71, 0.333835
pizza_bakedUV_simpL1_qp11_qt10_decompJPEG_512x512_Q25, 3.84, 0.330642
pizza_bakedUV_simpL1_qp11_qt10_decompJPEG_512x512_Q50, 4.07, 0.284698
pizza_bakedUV_simpL1_qp11_qt10_decompJPEG_512x512_Q75, 3.98, 0.237940
pizza_bakedUV_simpL1_qp11_qt9_decompJPEG_512x512_Q50, 3.95, 0.285309
pizza_bakedUV_simpL1_qp7_qt7_decompJPEG_2048x2048_Q25, 2.45, 0.472679
pizza_bakedUV_simpL1_qp7_qt7_decompJPEG_712x712_Q10, 2.13, 0.573186
pizza_bakedUV_simpL2_qp10_qt10_decompJPEG_712x712_Q50, 4.33, 0.215586
pizza_bakedUV_simpL2_qp10_qt9_decompJPEG_712x712_Q50, 4.19, 0.219662
pizza_bakedUV_simpL2_qp11_qt10_decompJPEG_512x512_Q25, 3.79, 0.334096
pizza_bakedUV_simpL2_qp11_qt10_decompJPEG_512x512_Q50, 3.98, 0.288925
pizza_bakedUV_simpL2_qp11_qt10_decompJPEG_512x512_Q75, 4.07, 0.242806
pizza_bakedUV_simpL2_qp7_qt9_decompJPEG_1440x1440_Q50, 2.39, 0.397186
pizza_bakedUV_simpL2_qp8_qt8_decompJPEG_2048x2048_Q50, 3.79, 0.243107
pizza_bakedUV_simpL2_qp9_qt6_decompJPEG_512x512_Q50, 2.70, 0.598569
pizza_bakedUV_simpL2_qp9_qt7_decompJPEG_1024x1024_Q90, 3.84, 0.264890
pizza_bakedUV_simpL3_qp10_qt10_decompJPEG_1024x1024_Q10, 3.62, 0.283522
pizza_bakedUV_simpL3_qp11_qt8_decompJPEG_2048x2048_Q90, 4.28, 0.169372
pizza_bakedUV_simpL3_qp9_qt10_decompJPEG_512x512_Q10, 2.92, 0.467858
pizza_bakedUV_simpL4_qp10_qt10_decompJPEG_712x712_Q25, 3.90, 0.267487
pizza_bakedUV_simpL4_qp11_qt10_decompJPEG_712x712_Q50, 3.93, 0.229230
pizza_bakedUV_simpL4_qp11_qt9_decompJPEG_712x712_Q25, 3.93, 0.269543
pizza_bakedUV_simpL4_qp8_qt10_decompJPEG_712x712_Q25, 3.64, 0.314724
pizza_bakedUV_simpL4_qp9_qt8_decompJPEG_512x512_Q50, 3.57, 0.329684
pizza_bakedUV_simpL5_qp10_qt8_decompJPEG_1440x1440_Q25, 3.71, 0.216588
pizza_bakedUV_simpL5_qp11_qt10_decompJPEG_512x512_Q50, 3.74, 0.312597
pizza_bakedUV_simpL5_qp9_qt8_decompJPEG_712x712_Q25, 3.68, 0.306731
pizza_bakedUV_simpL6_qp10_qt7_decompJPEG_1440x1440_Q25, 3.48, 0.287628
pizza_bakedUV_simpL6_qp11_qt10_decompJPEG_712x712_Q25, 3.32, 0.295115
pizza_bakedUV_simpL6_qp7_qt9_decompJPEG_512x512_Q10, 2.24, 0.614853
pizza_bakedUV_simpL6_qp8_qt7_decompJPEG_2048x2048_Q90, 3.16, 0.306129
pizza_bakedUV_simpL6_qp9_qt9_decompJPEG_512x512_Q75, 3.37, 0.303947
pizza_bakedUV_simpL7_qp10_qt10_decompJPEG_2048x2048_Q75, 3.64, 0.203707
pizza_bakedUV_simpL7_qp10_qt6_decompJPEG_512x512_Q50, 2.39, 0.581572
pizza_bakedUV_simpL7_qp10_qt6_decompJPEG_512x512_Q75, 2.49, 0.568009
pizza_bakedUV_simpL7_qp10_qt8_decompJPEG_1024x1024_Q90, 3.57, 0.235364
pizza_bakedUV_simpL7_qp10_qt8_decompJPEG_512x512_Q25, 3.12, 0.408619
pizza_bakedUV_simpL8_qp11_qt7_decompJPEG_1440x1440_Q75, 3.02, 0.321500
pizza_bakedUV_simpL8_qp11_qt9_decompJPEG_2048x2048_Q10, 3.07, 0.300764
pizza_bakedUV_simpL8_qp7_qt7_decompJPEG_2048x2048_Q90, 2.40, 0.423023
pizza_bakedUV_simpL8_qp8_qt7_decompJPEG_1440x1440_Q75, 2.70, 0.347114
pizza_bakedUV_simpL8_qp8_qt7_decompJPEG_2048x2048_Q75, 2.77, 0.343404
