ObjectName, MOS, LPIPS
yourMesh_simpL10_qp10_qt10_decompJPEG_1024x1024_Q50, 3.50, 0.350437
yourMesh_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90, 3.84, 0.338805
yourMesh_simpL10_qp10_qt7_decompJPEG_1024x1024_Q90, 3.29, 0.415924
yourMesh_simpL10_qp10_qt7_decompJPEG_1440x1440_Q90, 3.33, 0.412146
yourMesh_simpL10_qp10_qt7_decompJPEG_2048x2048_Q90, 3.21, 0.410582
yourMesh_simpL10_qp10_qt8_decompJPEG_1440x1440_Q25, 3.55, 0.389921
yourMesh_simpL10_qp10_qt9_decompJPEG_1024x1024_Q75, 3.60, 0.347336
yourMesh_simpL10_qp10_qt9_decompJPEG_2048x2048_Q10, 3.31, 0.401016
yourMesh_simpL10_qp11_qt10_decompJPEG_2048x2048_Q25, 3.45, 0.349882
yourMesh_simpL10_qp11_qt6_decompJPEG_712x712_Q10, 2.30, 0.668059
yourMesh_simpL10_qp11_qt7_decompJPEG_2048x2048_Q10, 3.60, 0.472331
yourMesh_simpL10_qp11_qt9_decompJPEG_1440x1440_Q75, 3.63, 0.347795
yourMesh_simpL10_qp7_qt7_decompJPEG_1024x1024_Q25, 2.93, 0.498461
yourMesh_simpL10_qp7_qt7_decompJPEG_2048x2048_Q10, 3.12, 0.511629
yourMesh_simpL10_qp7_qt7_decompJPEG_2048x2048_Q50, 3.47, 0.465551
yourMesh_simpL10_qp7_qt7_decompJPEG_2048x2048_Q75, 3.43, 0.461061
yourMesh_simpL10_qp7_qt7_decompJPEG_2048x2048_Q90, 3.17, 0.460465
yourMesh_simpL10_qp7_qt7_decompJPEG_512x512_Q25, 3.25, 0.578626
yourMesh_simpL10_qp7_qt7_decompJPEG_712x712_Q50, 3.09, 0.501286
yourMesh_simpL10_qp7_qt8_decompJPEG_1024x1024_Q25, 3.19, 0.464336
yourMesh_simpL10_qp7_qt8_decompJPEG_1440x1440_Q25, 3.30, 0.441425
yourMesh_simpL10_qp8_qt10_decompJPEG_1024x1024_Q50, 3.50, 0.364515
yourMesh_simpL10_qp8_qt7_decompJPEG_1440x1440_Q10, 3.05, 0.514710
yourMesh_simpL10_qp9_qt7_decompJPEG_1440x1440_Q10, 3.36, 0.503060
yourMesh_simpL10_qp9_qt8_decompJPEG_1440x1440_Q75, 3.42, 0.376950
yourMesh_simpL1_qp10_qt8_decompJPEG_512x512_Q50, 3.93, 0.517764
yourMesh_simpL1_qp10_qt8_decompJPEG_712x712_Q75, 4.08, 0.482464
yourMesh_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 2.52, 0.604468
yourMesh_simpL1_qp11_qt8_decompJPEG_1024x1024_Q25, 4.12, 0.423043
yourMesh_simpL1_qp11_qt8_decompJPEG_512x512_Q75, 4.25, 0.426251
yourMesh_simpL1_qp7_qt9_decompJPEG_1024x1024_Q25, 1.39, 0.963996
yourMesh_simpL1_qp8_qt8_decompJPEG_512x512_Q75, 3.07, 0.830952
yourMesh_simpL1_qp8_qt9_decompJPEG_712x712_Q50, 2.93, 0.771483
yourMesh_simpL1_qp9_qt8_decompJPEG_512x512_Q10, 3.32, 0.732801
yourMesh_simpL2_qp10_qt8_decompJPEG_512x512_Q25, 4.00, 0.530221
yourMesh_simpL2_qp10_qt8_decompJPEG_512x512_Q50, 4.05, 0.500182
yourMesh_simpL2_qp10_qt9_decompJPEG_712x712_Q90, 4.59, 0.279040
yourMesh_simpL2_qp11_qt8_decompJPEG_2048x2048_Q50, 4.17, 0.383699
yourMesh_simpL2_qp11_qt8_decompJPEG_512x512_Q75, 4.49, 0.412984
yourMesh_simpL3_qp11_qt7_decompJPEG_2048x2048_Q90, 2.84, 0.591108
yourMesh_simpL3_qp11_qt8_decompJPEG_512x512_Q50, 4.32, 0.413799
yourMesh_simpL3_qp11_qt8_decompJPEG_512x512_Q75, 4.33, 0.400430
yourMesh_simpL3_qp7_qt10_decompJPEG_1024x1024_Q10, 1.74, 0.962746
yourMesh_simpL3_qp7_qt10_decompJPEG_1440x1440_Q90, 1.77, 0.934411
yourMesh_simpL3_qp7_qt6_decompJPEG_512x512_Q25, 1.55, 0.987954
yourMesh_simpL3_qp9_qt8_decompJPEG_1024x1024_Q10, 3.42, 0.670863
yourMesh_simpL3_qp9_qt8_decompJPEG_1440x1440_Q25, 3.40, 0.604928
yourMesh_simpL4_qp11_qt8_decompJPEG_512x512_Q50, 4.50, 0.408578
yourMesh_simpL4_qp11_qt8_decompJPEG_712x712_Q10, 3.74, 0.495858
yourMesh_simpL4_qp11_qt8_decompJPEG_712x712_Q90, 3.89, 0.361961
yourMesh_simpL4_qp7_qt10_decompJPEG_2048x2048_Q75, 1.91, 0.917378
yourMesh_simpL4_qp9_qt8_decompJPEG_712x712_Q10, 3.41, 0.668308
yourMesh_simpL5_qp7_qt9_decompJPEG_512x512_Q10, 1.76, 0.945321
yourMesh_simpL5_qp9_qt8_decompJPEG_712x712_Q75, 3.62, 0.544750
yourMesh_simpL6_qp7_qt9_decompJPEG_1024x1024_Q10, 2.12, 0.924015
yourMesh_simpL6_qp8_qt10_decompJPEG_1440x1440_Q90, 3.24, 0.536392
yourMesh_simpL7_qp9_qt7_decompJPEG_1024x1024_Q10, 2.70, 0.703203
yourMesh_simpL7_qp9_qt8_decompJPEG_2048x2048_Q25, 3.83, 0.427632
yourMesh_simpL9_qp7_qt10_decompJPEG_1024x1024_Q10, 2.41, 0.675420
