ObjectName, MOS, LPIPS
Beethoven_bakedUV2_simpL10_qp10_qt10_decompJPEG_512x512_Q10, 1.70, 0.737045
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q50, 1.40, 0.725290
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1024x1024_Q90, 1.31, 0.724905
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_1440x1440_Q90, 1.34, 0.730118
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q75, 1.33, 0.722948
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_2048x2048_Q90, 1.20, 0.721162
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_512x512_Q10, 1.33, 0.769021
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q10, 1.38, 0.763491
Beethoven_bakedUV2_simpL10_qp10_qt6_decompJPEG_712x712_Q25, 1.39, 0.736758
Beethoven_bakedUV2_simpL10_qp10_qt9_decompJPEG_512x512_Q10, 1.57, 0.739246
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_512x512_Q10, 1.43, 0.771710
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q10, 1.26, 0.763487
Beethoven_bakedUV2_simpL10_qp11_qt6_decompJPEG_712x712_Q25, 1.36, 0.743752
Beethoven_bakedUV2_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 1.32, 0.693291
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_1024x1024_Q10, 1.31, 0.778464
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q10, 1.23, 0.776201
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_2048x2048_Q50, 1.37, 0.760775
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_512x512_Q10, 1.43, 0.810459
Beethoven_bakedUV2_simpL10_qp7_qt6_decompJPEG_712x712_Q10, 1.21, 0.802560
Beethoven_bakedUV2_simpL10_qp8_qt6_decompJPEG_512x512_Q10, 1.50, 0.784901
