ObjectName, MOS, LPIPS
Jomon_bakedUV_simpL10_qp7_qt10_decompJPEG_2048x2048_Q75, 1.23, 0.817292
Jomon_bakedUV_simpL10_qp7_qt8_decompJPEG_512x512_Q10, 1.11, 0.942752
Jomon_bakedUV_simpL10_qp7_qt9_decompJPEG_1440x1440_Q50, 1.34, 0.837267
Jomon_bakedUV_simpL10_qp9_qt10_decompJPEG_1440x1440_Q90, 1.48, 0.815290
Jomon_bakedUV_simpL1_qp10_qt6_decompJPEG_2048x2048_Q90, 2.21, 0.527792
Jomon_bakedUV_simpL1_qp11_qt6_decompJPEG_1440x1440_Q90, 2.16, 0.485393
Jomon_bakedUV_simpL1_qp11_qt6_decompJPEG_2048x2048_Q90, 2.05, 0.501167
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_1440x1440_Q75, 3.43, 0.286482
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_1440x1440_Q90, 3.53, 0.283451
Jomon_bakedUV_simpL1_qp11_qt7_decompJPEG_512x512_Q10, 3.20, 0.428467
Jomon_bakedUV_simpL1_qp9_qt6_decompJPEG_712x712_Q25, 2.42, 0.572403
Jomon_bakedUV_simpL2_qp11_qt6_decompJPEG_2048x2048_Q90, 2.27, 0.508096
Jomon_bakedUV_simpL2_qp8_qt10_decompJPEG_1440x1440_Q25, 2.74, 0.506542
Jomon_bakedUV_simpL2_qp8_qt9_decompJPEG_512x512_Q90, 2.84, 0.503835
Jomon_bakedUV_simpL2_qp9_qt6_decompJPEG_1024x1024_Q10, 2.17, 0.653960
Jomon_bakedUV_simpL2_qp9_qt7_decompJPEG_1440x1440_Q90, 3.40, 0.415332
Jomon_bakedUV_simpL3_qp10_qt6_decompJPEG_2048x2048_Q90, 2.49, 0.540687
Jomon_bakedUV_simpL3_qp10_qt7_decompJPEG_512x512_Q10, 3.19, 0.457304
Jomon_bakedUV_simpL3_qp11_qt6_decompJPEG_1024x1024_Q90, 2.32, 0.503251
Jomon_bakedUV_simpL3_qp11_qt6_decompJPEG_2048x2048_Q90, 2.36, 0.518757
Jomon_bakedUV_simpL3_qp8_qt9_decompJPEG_1024x1024_Q90, 2.98, 0.445398
Jomon_bakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q75, 2.59, 0.536769
Jomon_bakedUV_simpL4_qp10_qt6_decompJPEG_2048x2048_Q90, 2.07, 0.539442
Jomon_bakedUV_simpL4_qp11_qt6_decompJPEG_2048x2048_Q90, 2.42, 0.531865
Jomon_bakedUV_simpL4_qp11_qt6_decompJPEG_712x712_Q25, 2.91, 0.516455
Jomon_bakedUV_simpL4_qp8_qt8_decompJPEG_712x712_Q90, 2.84, 0.475756
Jomon_bakedUV_simpL4_qp9_qt7_decompJPEG_512x512_Q75, 3.52, 0.396648
Jomon_bakedUV_simpL5_qp10_qt6_decompJPEG_2048x2048_Q50, 2.21, 0.558813
Jomon_bakedUV_simpL5_qp10_qt6_decompJPEG_2048x2048_Q90, 2.23, 0.550803
Jomon_bakedUV_simpL5_qp10_qt7_decompJPEG_512x512_Q10, 3.14, 0.471661
Jomon_bakedUV_simpL5_qp11_qt6_decompJPEG_2048x2048_Q90, 2.20, 0.549349
Jomon_bakedUV_simpL5_qp8_qt6_decompJPEG_2048x2048_Q90, 1.82, 0.704914
Jomon_bakedUV_simpL5_qp9_qt6_decompJPEG_2048x2048_Q75, 2.14, 0.590139
Jomon_bakedUV_simpL6_qp10_qt10_decompJPEG_2048x2048_Q10, 3.95, 0.292462
Jomon_bakedUV_simpL6_qp11_qt7_decompJPEG_1440x1440_Q25, 3.75, 0.367642
Jomon_bakedUV_simpL6_qp11_qt7_decompJPEG_2048x2048_Q25, 3.50, 0.376866
Jomon_bakedUV_simpL6_qp7_qt6_decompJPEG_1440x1440_Q90, 1.14, 0.913832
Jomon_bakedUV_simpL6_qp8_qt10_decompJPEG_512x512_Q90, 3.22, 0.416209
Jomon_bakedUV_simpL6_qp8_qt7_decompJPEG_2048x2048_Q75, 2.58, 0.565866
Jomon_bakedUV_simpL6_qp8_qt9_decompJPEG_2048x2048_Q10, 2.83, 0.554526
Jomon_bakedUV_simpL7_qp10_qt10_decompJPEG_712x712_Q25, 4.09, 0.261811
Jomon_bakedUV_simpL7_qp10_qt7_decompJPEG_2048x2048_Q10, 3.22, 0.523687
Jomon_bakedUV_simpL7_qp8_qt10_decompJPEG_1440x1440_Q10, 2.84, 0.545241
Jomon_bakedUV_simpL7_qp8_qt10_decompJPEG_2048x2048_Q10, 2.98, 0.537335
Jomon_bakedUV_simpL7_qp8_qt9_decompJPEG_2048x2048_Q10, 2.73, 0.562831
Jomon_bakedUV_simpL8_qp10_qt9_decompJPEG_712x712_Q10, 2.95, 0.501989
Jomon_bakedUV_simpL8_qp11_qt7_decompJPEG_512x512_Q10, 2.63, 0.598957
Jomon_bakedUV_simpL8_qp8_qt10_decompJPEG_1440x1440_Q10, 2.50, 0.544888
Jomon_bakedUV_simpL8_qp8_qt8_decompJPEG_2048x2048_Q25, 3.19, 0.473785
Jomon_bakedUV_simpL8_qp8_qt9_decompJPEG_512x512_Q75, 2.89, 0.442932
Jomon_bakedUV_simpL9_qp10_qt6_decompJPEG_2048x2048_Q50, 1.85, 0.731569
Jomon_bakedUV_simpL9_qp10_qt7_decompJPEG_712x712_Q90, 3.07, 0.466441
Jomon_bakedUV_simpL9_qp9_qt6_decompJPEG_1440x1440_Q75, 1.41, 0.731450
Jomon_bakedUV_simpL9_qp9_qt8_decompJPEG_512x512_Q25, 2.86, 0.507038
