ObjectName, MOS, LPIPS
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q25, 4.15, 0.223648
piano_simpL1_qp10_qt7_decompJPEG_1024x1024_Q75, 4.30, 0.207220
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q50, 4.03, 0.206542
piano_simpL1_qp10_qt7_decompJPEG_2048x2048_Q90, 4.43, 0.205019
piano_simpL1_qp11_qt7_decompJPEG_1024x1024_Q25, 4.05, 0.215428
piano_simpL1_qp11_qt7_decompJPEG_2048x2048_Q25, 4.10, 0.203387
piano_simpL1_qp11_qt7_decompJPEG_712x712_Q75, 4.12, 0.211452
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q75, 3.86, 0.241059
piano_simpL1_qp9_qt7_decompJPEG_1024x1024_Q90, 4.22, 0.240789
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q50, 3.93, 0.240776
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q75, 3.93, 0.239845
piano_simpL1_qp9_qt7_decompJPEG_2048x2048_Q90, 4.05, 0.239655
piano_simpL2_qp10_qt7_decompJPEG_1024x1024_Q75, 4.15, 0.209392
piano_simpL2_qp10_qt7_decompJPEG_712x712_Q90, 4.44, 0.220211
piano_simpL2_qp11_qt7_decompJPEG_2048x2048_Q75, 4.05, 0.198595
piano_simpL2_qp11_qt7_decompJPEG_712x712_Q75, 4.47, 0.210858
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q75, 4.12, 0.240377
piano_simpL2_qp9_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.240142
piano_simpL3_qp10_qt7_decompJPEG_1440x1440_Q25, 4.02, 0.225116
piano_simpL3_qp9_qt7_decompJPEG_1024x1024_Q90, 4.10, 0.243530
piano_simpL4_qp11_qt7_decompJPEG_1024x1024_Q25, 4.30, 0.216240
piano_simpL4_qp11_qt7_decompJPEG_1440x1440_Q25, 4.40, 0.209757
piano_simpL4_qp11_qt7_decompJPEG_2048x2048_Q90, 4.41, 0.197173
piano_simpL4_qp9_qt7_decompJPEG_1024x1024_Q90, 4.24, 0.238031
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q25, 4.34, 0.223368
piano_simpL5_qp10_qt7_decompJPEG_1024x1024_Q90, 4.05, 0.206252
piano_simpL5_qp11_qt7_decompJPEG_1440x1440_Q50, 4.05, 0.205742
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q25, 4.39, 0.215441
piano_simpL6_qp10_qt7_decompJPEG_2048x2048_Q50, 4.23, 0.209712
piano_simpL6_qp10_qt7_decompJPEG_712x712_Q75, 4.05, 0.225692
piano_simpL6_qp11_qt7_decompJPEG_1024x1024_Q75, 4.05, 0.205574
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q50, 4.05, 0.203854
piano_simpL6_qp11_qt7_decompJPEG_2048x2048_Q75, 4.07, 0.203584
piano_simpL6_qp11_qt7_decompJPEG_712x712_Q90, 4.08, 0.212212
piano_simpL6_qp9_qt7_decompJPEG_2048x2048_Q75, 4.32, 0.239508
piano_simpL7_qp10_qt7_decompJPEG_2048x2048_Q50, 4.32, 0.209427
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q50, 4.22, 0.237612
piano_simpL7_qp10_qt7_decompJPEG_712x712_Q90, 3.84, 0.220338
piano_simpL7_qp11_qt7_decompJPEG_1024x1024_Q25, 4.36, 0.226790
piano_simpL8_qp10_qt7_decompJPEG_1024x1024_Q50, 4.07, 0.252506
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q25, 4.12, 0.253199
piano_simpL8_qp10_qt7_decompJPEG_2048x2048_Q50, 4.11, 0.247940
piano_simpL8_qp11_qt7_decompJPEG_1024x1024_Q75, 3.91, 0.244672
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q50, 3.88, 0.245744
piano_simpL8_qp11_qt7_decompJPEG_1440x1440_Q90, 3.66, 0.243444
piano_simpL9_qp10_qt7_decompJPEG_1440x1440_Q50, 3.67, 0.297301
piano_simpL9_qp11_qt6_decompJPEG_2048x2048_Q25, 2.92, 0.341067
piano_simpL9_qp11_qt7_decompJPEG_1440x1440_Q25, 3.70, 0.309099
piano_simpL9_qp11_qt7_decompJPEG_512x512_Q25, 3.65, 0.377930
piano_simpL9_qp8_qt6_decompJPEG_1440x1440_Q75, 3.07, 0.412605
piano_simpL9_qp8_qt6_decompJPEG_2048x2048_Q75, 3.19, 0.403159
piano_simpL9_qp9_qt6_decompJPEG_1024x1024_Q90, 3.19, 0.358991
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q25, 3.33, 0.370344
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q50, 3.09, 0.366586
piano_simpL9_qp9_qt6_decompJPEG_1440x1440_Q90, 3.09, 0.365003
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q75, 3.00, 0.357496
piano_simpL9_qp9_qt6_decompJPEG_2048x2048_Q90, 3.44, 0.357772
piano_simpL9_qp9_qt6_decompJPEG_712x712_Q90, 3.02, 0.367807
piano_simpL9_qp9_qt7_decompJPEG_1440x1440_Q25, 3.56, 0.332684
piano_simpL9_qp9_qt7_decompJPEG_2048x2048_Q50, 3.57, 0.324937
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q25, 3.55, 0.401431
piano_simpL9_qp9_qt7_decompJPEG_512x512_Q75, 3.52, 0.356701
