ObjectName, MOS, LPIPS
Orchid_simpL1_qp11_qt7_decompJPEG_1024x1024_Q75, 4.57, 0.078387
Orchid_simpL1_qp11_qt7_decompJPEG_1440x1440_Q50, 4.62, 0.078202
Orchid_simpL1_qp8_qt8_decompJPEG_2048x2048_Q10, 3.81, 0.142110
Orchid_simpL1_qp8_qt9_decompJPEG_1440x1440_Q10, 3.86, 0.144568
Orchid_simpL1_qp9_qt6_decompJPEG_512x512_Q10, 2.86, 0.144924
Orchid_simpL1_qp9_qt7_decompJPEG_512x512_Q75, 4.39, 0.096960
Orchid_simpL2_qp10_qt6_decompJPEG_1440x1440_Q10, 3.46, 0.132351
Orchid_simpL2_qp10_qt7_decompJPEG_512x512_Q75, 4.52, 0.087003
Orchid_simpL2_qp11_qt6_decompJPEG_1440x1440_Q75, 3.09, 0.109397
Orchid_simpL2_qp11_qt6_decompJPEG_2048x2048_Q75, 3.75, 0.110310
Orchid_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 4.63, 0.082162
Orchid_simpL2_qp9_qt9_decompJPEG_512x512_Q50, 4.60, 0.096174
Orchid_simpL3_qp10_qt6_decompJPEG_512x512_Q25, 3.45, 0.124722
Orchid_simpL3_qp10_qt7_decompJPEG_2048x2048_Q25, 4.67, 0.093134
Orchid_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 4.39, 0.111712
Orchid_simpL3_qp9_qt8_decompJPEG_2048x2048_Q90, 4.62, 0.089350
Orchid_simpL4_qp10_qt9_decompJPEG_512x512_Q75, 4.84, 0.083151
Orchid_simpL4_qp11_qt7_decompJPEG_712x712_Q25, 4.30, 0.089901
Orchid_simpL6_qp8_qt6_decompJPEG_1440x1440_Q25, 3.28, 0.161708
Orchid_simpL7_qp10_qt6_decompJPEG_712x712_Q50, 3.62, 0.149770
Orchid_simpL8_qp10_qt6_decompJPEG_512x512_Q10, 3.09, 0.187002
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q10, 4.18, 0.166263
Orchid_simpL8_qp10_qt8_decompJPEG_1024x1024_Q50, 4.11, 0.147228
Orchid_simpL8_qp8_qt6_decompJPEG_1024x1024_Q75, 3.22, 0.199580
Orchid_simpL8_qp8_qt7_decompJPEG_2048x2048_Q90, 4.02, 0.181415
Orchid_simpL8_qp8_qt8_decompJPEG_1024x1024_Q25, 4.24, 0.182641
Orchid_simpL9_qp10_qt7_decompJPEG_1024x1024_Q50, 4.36, 0.224449
Orchid_simpL9_qp10_qt7_decompJPEG_512x512_Q25, 3.93, 0.236679
Orchid_simpL9_qp10_qt7_decompJPEG_712x712_Q25, 4.00, 0.228872
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50, 4.05, 0.221974
Orchid_simpL9_qp11_qt7_decompJPEG_1024x1024_Q90, 3.95, 0.221280
Orchid_simpL9_qp11_qt7_decompJPEG_1440x1440_Q10, 3.95, 0.243102
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q50, 4.20, 0.222023
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q75, 4.47, 0.221446
Orchid_simpL9_qp11_qt7_decompJPEG_2048x2048_Q90, 4.31, 0.221443
Orchid_simpL9_qp11_qt9_decompJPEG_1024x1024_Q90, 4.14, 0.212882
Orchid_simpL9_qp11_qt9_decompJPEG_1440x1440_Q90, 4.42, 0.213357
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q75, 4.16, 0.212147
Orchid_simpL9_qp11_qt9_decompJPEG_2048x2048_Q90, 4.16, 0.212201
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q50, 3.83, 0.234287
Orchid_simpL9_qp8_qt7_decompJPEG_1024x1024_Q75, 4.12, 0.233612
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q10, 3.96, 0.253809
Orchid_simpL9_qp8_qt7_decompJPEG_1440x1440_Q25, 4.09, 0.237281
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q10, 3.93, 0.249441
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q50, 3.86, 0.233156
Orchid_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90, 4.07, 0.232538
Orchid_simpL9_qp8_qt7_decompJPEG_512x512_Q25, 3.77, 0.247562
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q10, 3.49, 0.255116
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q25, 3.98, 0.237862
Orchid_simpL9_qp8_qt7_decompJPEG_712x712_Q50, 4.00, 0.237030
Orchid_simpL9_qp8_qt8_decompJPEG_2048x2048_Q10, 4.10, 0.243158
Orchid_simpL9_qp8_qt8_decompJPEG_512x512_Q25, 3.74, 0.245077
Orchid_simpL9_qp8_qt9_decompJPEG_1440x1440_Q10, 4.10, 0.249239
Orchid_simpL9_qp8_qt9_decompJPEG_2048x2048_Q10, 4.14, 0.243938
